name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_assassin	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_scouter	require_class_summoner	require_level	require_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp		cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	critical	skill_range	skill_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	bonus_exp	bonus_money	bonus_drop_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	skill_block	FACTOR_MAGNIFY	movement	atk_speed
	10	0	1		1			1									49	1											240												85				1330	1330	7330	1330	33000			2				150																																															2000																																																																																																																																																			
데스 모멘트	1	0	1		1			1									28	1											260												50				1330	1330	7330	1330				2																																										40															5600																																																																																																																																													
	2	0	1		1			1									31	1											270												55				1330	1330	7330	1330				2																																										48																16000																																																																																																																																												
	3	0	1		1			1									34	1											280												60				1330	1330	7330	1330				2																																										56																48000																																																																																																																																												
	4	0	1		1			1									37	1											290												65				1330	1330	7330	1330				2																																										64																64000																																																																																																																																												
	5	0	1		1			1									40	1											300												70				1330	1330	7330	1330				2																																										72																120000																																																																																																																																												
	6	0	1		1			1									43	1											310												75				1330	1330	7330	1330				2																																										80																																																																																																																																																												
	7	0	1		1			1									46	1											320												80				1330	1330	7330	1330				2																																										80																																																																																																																																																												
	8	0	1		1			1									49	1											330												85				1330	1330	7330	1330				2																																										80																																																																																																																																																												
	9	0	1		1			1									52	1											340												90				1330	1330	7330	1330				2																																										80																																																																																																																																																												
	10	0	1		1			1									55	1											350												95				1330	1330	7330	1330				2																																										80																																																																																																																																																												
후크	1	0	1		1			1									34	1											110												60				1490	1490	9500	1490				3	3																																																								16000																																																																																																																																													
	2	0	1		1			1									37	1											120												65				1490	1490	9500	1490				3	3																																																									32000																																																																																																																																												
	3	0	1		1			1									40	1											130												70				1490	1490	9500	1490				3	3																																																									72000																																																																																																																																												
	4	0	1		1			1									43	1											140												75				1490	1490	9500	1490				3	3																																																									128000																																																																																																																																												
	5	0	1		1			1									46	1											150												80				1490	1490	9500	1490				3	3																																																									240000																																																																																																																																												
	6	0	1		1			1									49	1											160												85				1490	1490	9500	1490				3	3																																																																																																																																																																																																					
	7	0	1		1			1									52	1											170												90				1490	1490	9500	1490				3	3																																																																																																																																																																																																					
	8	0	1		1			1									55	1											180												95				1490	1490	9500	1490				3	3																																																																																																																																																																																																					
	9	0	1		1			1									58	1											190												100				1490	1490	9500	1490				3	3																																																																																																																																																																																																					
	10	0	1		1			1									61	1											200												105				1490	1490	9500	1490				3	3																																																																																																																																																																																																					
빅 휠	1	0	1		1			1									40	1											160												70				1480	1480	9500	1480				3	3																																																								24000																																																																																																																																													
	2	0	1		1			1									43	1											170												75				1480	1480	9500	1480				3	3																																																									64000																																																																																																																																												
	3	0	1		1			1									46	1											180												80				1480	1480	9500	1480				3	3																																																									144000																																																																																																																																												
	4	0	1		1			1									49	1											190												85				1480	1480	9500	1480				3	3																																																									224000																																																																																																																																												
	5	0	1		1			1									52	1											200												90				1480	1480	9500	1480				3	3																																																									400000																																																																																																																																												
	6	0	1		1			1									55	1											210												95				1480	1480	9500	1480				3	3																																																																																																																																																																																																					
	7	0	1		1			1									58	1											220												100				1480	1480	9500	1480				3	3																																																																																																																																																																																																					
	8	0	1		1			1									61	1											230												105				1480	1480	9500	1480				3	3																																																																																																																																																																																																					
	9	0	1		1			1									64	1											240												110				1480	1480	9500	1480				3	3																																																																																																																																																																																																					
	10	0	1		1			1									67	1											250												115				1480	1480	9500	1480				3	3																																																																																																																																																																																																					
드래곤 디바이드	1	0	1		1			1									46	1											220												80				1860	1860	9500	1860				2		3	3																																																						48000																																																																																																																																													
	2	0	1		1			1									49	1											230												85				1860	1860	9500	1860				2		3	3																																																							112000																																																																																																																																												
	3	0	1		1			1									52	1											240												90				1860	1860	9500	1860				2		3	3																																																							240000																																																																																																																																												
	4	0	1		1			1									55	1											250												95				1860	1860	9500	1860				2		3	3																																																							384000																																																																																																																																												
	5	0	1		1			1									58	1											260												100				1860	1860	9500	1860				2		3	3																																																							640000																																																																																																																																												
	6	0	1		1			1									61	1											270												105				1860	1860	9500	1860				2		3	3																																																																																																																																																																																																			
	7	0	1		1			1									64	1											280												110				1860	1860	9500	1860				2		3	3																																																																																																																																																																																																			
	8	0	1		1			1									67	1											290												115				1860	1860	9500	1860				2		3	3																																																																																																																																																																																																			
	9	0	1		1			1									70	1											300												120				1860	1860	9500	1860				2		3	3																																																																																																																																																																																																			
	10	0	1		1			1									73	1											310												125				1860	1860	9500	1860				2		3	3																																																																																																																																																																																																			
퀵커	1	1		0	1			1									5	1																							30				1330	1330	288000	1330	240000																																																												80		5	16																																																	4					11									12																																					10																																						
	2	1		0	1			1									8	1																							35				1330	1330	324000	1330	270000																																																													160	5	17																																																	7					13									14																																					11																																						
	3	1		0	1			1									11	1																							40				1330	1330	360000	1330	300000																																																													240	5	18																																																	10					15									16																																					12																																						
	4	1		0	1			1									14	1																							45				1330	1330	396000	1330	330000																																																													320	5	19																																																	13					17									18																																					13																																						
	5	1		0	1			1									17	1																							50				1330	1330	432000	1330	360000																																																													400	5	20																																																	16					19									20																																					14																																						
	6	1		0	1			1									20	1																							55				1330	1330	468000	1330	390000																																																														5	21																																																	19					21									22																																					15																																						
	7	1		0	1			1									23	1																							60				1330	1330	504000	1330	420000																																																														5	22																																																	22					23									24																																					16																																						
	8	1		0	1			1									26	1																							65				1330	1330	540000	1330	450000																																																														5	23																																																	25					25									26																																					17																																						
	9	1		0	1			1									29	1																							70				1330	1330	576000	1330	480000																																																														5	24																																																	28					27									28																																					18																																						
	10	1		0	1			1									32	1																							75				1330	1330	612000	1330	510000																																																														5	25																																																	31					29									30																																					19																																						
컴뱃 에코	1	1		0	1			1									13	1																							40				1330	1330	432000	1330	360000			7	7																																																								720																																			14	30		6																																																																																																							
	2	1		0	1			1									16	1																							45				1330	1330	468000	1330	390000			7	7																																																									1920																																		18	35		7																																																																																																							
	3	1		0	1			1									19	1																							50				1330	1330	504000	1330	420000			7	7																																																									4800																																		22	40		8																																																																																																							
	4	1		0	1			1									22	1																							55				1330	1330	540000	1330	450000			7	7																																																									9600																																		26	45		9																																																																																																							
	5	1		0	1			1									25	1																							60				1330	1330	576000	1330	480000			7	7																																																									16000																																		30	50		10																																																																																																							
	6	1		0	1			1									28	1																							65				1330	1330	612000	1330	510000			7	7																																																																																											34	55		11																																																																																																							
	7	1		0	1			1									31	1																							70				1330	1330	648000	1330	540000			7	7																																																																																											38	60		12																																																																																																							
	8	1		0	1			1									34	1																							75				1330	1330	684000	1330	570000			7	7																																																																																											42	65		13																																																																																																							
	9	1		0	1			1									37	1																							80				1330	1330	720000	1330	600000			7	7																																																																																											46	70		14																																																																																																							
	10	1		0	1			1									40	1																							85				1330	1330	756000	1330	630000			7	7																																																																																											50	75		15																																																																																																							
굿 블레이드	1	1		0	1			1									21	1																							50				1330	1330	576000	1330	480000																																																												1600																																																									11									12																																																																											
	2	1		0	1			1									24	1																							55				1330	1330	600000	1330	500000																																																													6400																																																								13									14																																																																											
	3	1		0	1			1									27	1																							60				1330	1330	624000	1330	520000																																																													14400																																																								15									16																																																																											
