lottery_box_tid	pot_Item_tid	min_stack	max_stack	percent
3320	3759	1	10	500
3320	3760	1	10	500
3320	3761	1	10	500
3320	246	2	3	400
3320	262	2	3	400
3320	254	2	3	400
3320	258	2	3	400
3320	464	3	5	1000
3320	472	3	5	1000
3320	486	7	12	1000
3320	nothing	0	0	0
3321	266	2	3	800
3321	246	2	3	800
3321	262	2	3	800
3321	3758	1	10	500
3321	3759	1	10	500
3321	3760	1	10	500
3321	3761	1	10	500
3321	4331	1	1	800
3321	4327	1	1	900
3321	4328	1	1	1000
3321	4329	1	1	1100
3321	4330	1	1	1200
3321	4364	1	1	800
3321	4360	1	1	700
3321	4361	1	1	800
3321	4362	1	1	500
3321	4363	1	1	800
3321	254	2	3	800
3321	258	2	3	800
3321	464	4	6	1000
3321	486	15	20	300
3321	486	10	15	1000
3321	nothing	0	0	0
3322	266	4	5	800
3322	246	4	5	800
3322	262	4	5	800
3322	254	4	5	800
3322	258	4	5	800
3322	464	10	15	1000
3322	486	20	30	100
3322	486	5	20	1000
3322	nothing	0	0	0
3606	6001	1	1	800
3606	6002	1	1	900
3606	6003	1	1	1000
3606	6004	1	1	1100
3606	6005	1	1	1200
3606	6006	1	1	1300
3606	6007	1	1	1400
3606	6008	1	1	1500
3606	6009	1	1	1600
3606	6010	1	1	1700
3606	6011	1	1	700
3606	6012	1	1	1300
3606	6013	1	1	1300
3606	6014	1	1	1300
3606	6015	1	1	1300
3606	6016	1	1	1300
3606	6017	1	1	1500
3606	6018	1	1	1500
3606	6019	1	1	1500
3606	6020	1	1	1500
3606	6021	1	1	1500
3606	6022	1	1	1500
3606	6023	1	1	1500
3606	6024	1	1	1700
3606	6025	1	1	1700
3606	6026	1	1	1700
3606	6027	1	1	1700
3606	6028	1	1	1700
3606	6029	1	1	1700
3606	6030	1	1	1800
3606	6031	1	1	1800
3606	6032	1	1	1800
3606	6033	1	1	1800
3606	6034	1	1	1800
3606	6035	1	1	1800
3606	6036	1	1	1800
3606	6037	1	1	1300
3606	6038	1	1	1300
3606	6039	1	1	1300
3606	6040	1	1	1300
3606	6041	1	1	1300
3606	6042	1	1	1300
3606	6043	1	1	1300
3606	6044	1	1	1300
3606	nothing	0	0	0
3607	1125	10	50	100
3607	2227	1	1	500
3607	2228	1	1	500
3607	2230	1	1	500
3607	2231	1	1	500
3607	2232	1	1	500
3607	2275	1	1	500
3607	2276	1	1	500
3607	2278	1	1	1800
3607	2279	1	1	500
3607	2280	1	1	500
3607	1126	10	30	100
3607	486	2	3	100
3607	nothing	0	0	0
3617	464	1	2	1000
3617	468	3	4	1000
3617	589	1	2	570
3617	6226	1	1	800
3617	6225	1	1	900
3617	599	1	1	1000
3617	470	1	1	1100
3617	472	1	1	1200
3617	475	1	1	1300
3617	481	1	1	1400
3617	841	1	1	1500
3617	601	1	1	1600
3617	1170	1	1	1700
3617	1173	1	1	1800
3617	3314	1	1	500
3617	3313	1	1	500
3617	3312	1	1	500
3617	254	1	10	500
3617	258	1	20	1000
3617	262	1	20	1000
3617	254	2	30	1000
3617	246	1	2	1000
3617	266	10	20	30
3617	nothing	0	0	0
3616	3311	10	10	800
3616	247	1	3	900
3616	267	1	3	1000
3616	1882	1	3	1100
3616	5024	1	1	1200
3616	5023	1	1	1300
3616	5022	1	1	1400
3616	5021	1	1	1500
3616	5020	1	1	1600
3616	5006	1	1	1700
3616	5005	1	1	1800
3616	6241	1	1	800
3616	6228	1	1	900
3616	5009	1	1	1000
3616	5010	1	1	1100
3616	5011	1	1	1200
3616	5012	1	1	1300
3616	5013	1	1	1400
3616	5014	1	1	1500
3616	5015	1	1	1600
3616	5016	1	1	1700
3616	5017	1	1	1800
3616	6227	1	1	800
3616	5019	1	1	900
3616	3313	1	1	1000
3616	3314	1	1	1100
3616	3312	1	1	1200
3616	593	1	5	1300
3616	596	1	5	1400
3616	602	1	5	1500
3616	615	1	5	1600
3616	618	1	5	1700
3616	842	1	5	1800
3616	1127	30	99	1800
3616	255	1	3	1800
3616	3909	1	3	1800
3616	259	1	3	1800
3616	3616	nothing	0	0
