TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling
3923	Armour of Riley	1	85	90	2	1				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
3925	Arm pad of Riley	1	85	90	2	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
3926	Trousers of Riley	1	85	90	2	1				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
3927	Boots of Riley	1	85	90	2	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
3992	Headband of Sirian	1	85	90	4	1				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
3987	Garb of Sirian	1	85	90	4	1				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
3989	Bracelet of Sirian	1	85	90	4	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
3990	Kilt of Sirian	1	85	90	4	1				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
3991	Boots of Sirian	1	85	90	4	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
4548	Helmet of Mongola	1	85	90	1	2				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4527	Armour of Mongola	1	85	90	1	2				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
4529	Gauntlet of Mongola	1	85	90	1	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
4530	Greave of Mongola	1	85	90	1	2				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
4531	Boots of Mongola	1	85	90	1	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
4488	Cap of Vortok	1	85	90	2	2				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4467	Armour of Vortok	1	85	90	2	2				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
4469	Arm pad of Vortok	1	85	90	2	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
4470	Trousers of Vortok	1	85	90	2	2				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
4471	Boots of Vortok	1	85	90	2	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
4518	Headband of Calaren	1	85	90	4	2				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4497	Garb of Calaren	1	85	90	4	2				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					0																																									15																				
4499	Bracelet of Calaren	1	85	90	4	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
4500	Kilt of Calaren	1	85	90	4	2				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					25																																									15																				
4501	Boots of Calaren	1	85	90	4	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
4429	Hair lace of Dalpherin	1	85	90	2	3				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4408	Cuirass of Dalpherin	1	85	90	2	3				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
4410	Bracer of Dalpherin	1	85	90	2	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
4411	Tights of Dalpherin	1	85	90	2	3				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
4412	Gem Boer of Dalpherin	1	85	90	2	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
4459	Cap of Paula	1	85	90	4	3				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4775	Garb of Paula	1	85	90	4	3				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
4440	Sleeve of Paula	1	85	90	4	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
4441	Skirt of Paula	1	85	90	4	3				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
4442	Boots of Paula	1	85	90	4	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
1855	Quickness Prayer Stone<Lv1>	1	8	24				9	25										10000	1000	99		3																																																										3					41	Prayer Stone	300	Level 1																					
1856	Quickness Prayer Stone<Lv2>	1	24	44				9	25										10000	1000	99		3																																																										6					41	Prayer Stone	306	Level 2																					
1857	Quickness Prayer Stone<Lv3>	1	44	74				9	25										10000	1000	99		3																																																										9					41	Prayer Stone	307	Level 3																					
1860	Light Speed Prayer Stone<Lv1>	1	8	24				9											10000	1000	99		3																																																										5					41	Prayer Stone	300	Level 1																					
1861	Light Speed Prayer Stone<Lv2>	1	24	44				9											10000	1000	99		3																																																										10					41	Prayer Stone	306	Level 2																					
1862	Light Speed Prayer Stone<Lv3>	1	44	74				9											10000	1000	99		3																																																										15					41	Prayer Stone	307	Level 3																					
1890	Critical Hit Prayer Stone<Lv1>	1	8	24				9											10000	1000	99		3																																																										5					41	Prayer Stone	300	Level 1																					
1891	Critical Hit Prayer Stone<Lv2>	1	24	44				9											10000	1000	99		3																																																										10					41	Prayer Stone	306	Level 2																					
1892	Critical Hit Prayer Stone<Lv3>	1	44	74				9											10000	1000	99		3																																																										15					41	Prayer Stone	307	Level 3																					
1865	Might Prayer Stone<Lv1>	1	1	19				9	0										500000	150	99		1																																																										2					41	Prayer Stone	300	Level 1																					
1866	Might Prayer Stone<Lv2>	1	19	39				9	0										1000000	150	99		1																																																										3					41	Prayer Stone	306	Level 2																					
1867	Might Prayer Stone<Lv3>	1	39	59				9	0										2500000	300	99		2																																																										5					41	Prayer Stone	307	Level 3																					
1870	Agility Prayer Stone<Lv1>	1	1	19				9	0										500000	150	99		1																																																										2					41	Prayer Stone	300	Level 1																					
1871	Agility Prayer Stone<Lv2>	1	19	39				9	0										1000000	150	99		1																																																										3					41	Prayer Stone	306	Level 2																					
1872	Agility Prayer Stone<Lv3>	1	39	59				9	0										2500000	300	99		2																																																										4					41	Prayer Stone	307	Level 3																					
1875	Prayer Stone of Knowledge <Lv1>	1	1	19				9	0										500000	150	99		1																																																										2					41	Prayer Stone	300	Level 1																					
1876	Prayer Stone of Knowledge <Lv2>	1	19	39				9	0										1000000	150	99		1																																																										3					41	Prayer Stone	306	Level 2																					
1877	Prayer Stone of Knowledge <Lv3>	1	39	99				9	0										2500000	300	99		2																																																										4					41	Prayer Stone	307	Level 3																					
1880	Stamina Prayer Stone<Lv1>	1	1	19				9	8					3	300	3			500000	150	99		1																																																										50					41	Prayer Stone	300	Level 1																					
1881	Stamina Prayer Stone<Lv2>	1	19	45				9	8					3	300	3			1000000	150	99		1																																																										150					41	Prayer Stone	306	Level 2																					
1882	Stamina Prayer Stone<Lv3>	1	45	99				9	8					3	300	3			2500000	300	99		2																																																										150					41	Prayer Stone	307	Level 3																					
1885	Wisdom Prayer Stone<Lv1>	1	1	19				9	9					3	300	3			500000	150	99		1																																																										50					41	Prayer Stone	300	Level 1																					
1886	Wisdom Prayer Stone<Lv2>	1	19	45				9	9					3	300	3			1000000	150	99		1																																																										150					41	Prayer Stone	306	Level 2																					
1887	Wisdom Prayer Stone<Lv3>	1	45	99				9	9					3	300	3			2500000	300	99		2																																																										150					41	Prayer Stone	307	Level 3																					
11016	Scion Prayer Stone	1	40	70				9						3	300	3			8000	1000	99		3																																																										3					41	Prayer Stone	306	Attack																		3252			
11259	Fragments of Ashtal	1	40	70				9											8000	1000	99		3																																																										3					41	Prayer Stone	306	Attack																		134			
6339	Human Burn Clouder	85				1			1403	1																																																																																					25000															
6340	Human Ash Clouder	86				1			1408	1									4500000	562500				252000																																																																							15000															
6341	Orc Burn Clouder	85				2			1405	1									4500000	562500				252000																																																																							15000															
6342	Orc Ash Clouder	86				2			1407	1									4500000	562500				252000																																																																							15000															
6343	MoonElf Burn Clouder	85				3			1404	1									4500000	562500				252000																																																																							15000															
6344	MoonElf Ash Clouder	86				3			1406	1									4500000	562500				252000																																																																							15000															
6345	开孔石<L2>							9	22								16750848		1	3000	99																																																												1																													
6346	开孔石<L1>							9	22								16750848		1	3000	99																																																												1																													
5005	Red Sign Ring	8	1	11										13	150	2			4500	450					1	3																																												10																141	Unique Accessories	341	Unique Rings																					
5006	Barom Ring	17	12	22										13	150	2			16300	1100					1	3					10	10																																						15				15												141	Unique Accessories	341	Unique Rings																					
5007	Shuta Ring	26	21	31										13	150	2			16300	1100					1	3																																												15																141	Unique Accessories	341	Unique Rings																					
5008	Flying Ring	35	30	40										13	150	2			94000	9100					1	3				3,9																								10	10	10	10	10												10																141	Unique Accessories	341	Unique Rings																					
5009	Pargon Ring	44	40	48										13	150	2			94000	9100					1	3																																														14														141	Unique Accessories	341	Unique Rings																					
5010	Blode Ring	53	49	57										13	150	2			160000	15000					1	3																																												25																141	Unique Accessories	341	Unique Rings																					
5011	Haul Ring	61	57	65										13	150	2			160000	15000					1	3																												10	10	10	10	10	10	10	10																									141	Unique Accessories	341	Unique Rings																					
5012	Logo Ring	69	64	74										13	150	2			387000	39000					1	3				6,5			10	10	10	10	10	20	20	20	10	10	10	10	10	20	20	20																																						141	Unique Accessories	341	Unique Rings																					
5013	Ohkeros Ring	76	71	81										13	150	2			387000	39000					1	3					14	14																																										10												141	Unique Accessories	341	Unique Rings																					
5014	Gaudius Ring	83	78	87										13	150	2			387000	39000					1	3																							14																																					141	Unique Accessories	341	Unique Rings																					
5015	Podon Necklace	28	23	33										13	150	2			84000	8100					1	3													20								20													5								5		14	14	14	14	14												141	Unique Accessories	342	Unique Necklace																					
5016	Lilin Necklace	28	23	33										13	150	2			84000	8100					1	3												20								20													5								5			14	14	14	14	14												141	Unique Accessories	342	Unique Necklace																					
5017	Release Necklace	28	23	33										13	150	2			84000	8100					1	3														20								20													5								5	14	14	14	14	14												141	Unique Accessories	342	Unique Necklace																					
5018	Karkaen Necklace	37	32	42										13	150	2			149000	13900					1	3																																																												141	Unique Accessories	342	Unique Necklace																					
5019	Darila Necklace	46	41	51										13	150	2			149000	13900					1	3																							10					8	8	8	8	8												10	10	10	10	10												141	Unique Accessories	342	Unique Necklace																					
5020	Biglos Necklace	55	50	60										13	150	2			149000	13900					1	3																												10	10	10	10	10												10	10	10	10	10												141	Unique Accessories	342	Unique Necklace																					
5021	Guardimesh Necklace	63	58	67										13	150	2			357000	35000					1	3				6,25																																										14														141	Unique Accessories	342	Unique Necklace																					
5022	Zucker Necklace	71	66	76										13	150	2			357000	35000					1	3																																												25																141	Unique Accessories	342	Unique Necklace																					
5023	Shocker Necklace	78	73	83										13	150	2			357000	35000					1	3												32	32	32						32	32	32																																						141	Unique Accessories	342	Unique Necklace																					
5024	Luke Necklace	85	80	90										13	150	2			357000	35000					1	3					14	14	10	10	10	10	10				10	10	10	10	10																																									141	Unique Accessories	342	Unique Necklace																					
5026	肺虐馆瘤	4	1	11										13	150	2			357000	35000					1	3				3,9	4	4																																																						141	Unique Accessories	341	Unique Rings																					
5027	Necklace of Fortune	19	11	24										13	150	2			3500	350					1	3				3,9																			5																																					141	Unique Accessories	342	Unique Necklace																					
