기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	어쌔신클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	요구레벨	요구스킬포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%			소모생명	소모마나		소모화살	생명감소	시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사															방패블럭	스턴타임	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	보너스경험치	보너스겔드	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	스킬블럭	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	스킬블럭				desc
네가티브	일정시간동안 정령속성 저항력 증가	V	V		V	V												V	V																							V				V	V	V	V																																																												V																																																																											V	V	V	V	V																																																													정령저항증가
이모탈 콜링	일정시간동안 영웅의 혼이 강림하여 자신의 상태 강화	V	V		V	V												V	V																							V				V	V	V	V																																																												V																																		V	V		V																																					V																																																																		상태강화
스프린트	일정시간동안 이동속도 증가	V	V		V	V												V	V																							V				V	V	V	V																																																												V		V	V																																																																																									V																																																이동속도증가
써드 어택	일정시간동안 크리티컬 공격증가	V	V		V	V												V	V																							V				V	V	V	V																																											V		V															V																																																																																																																																												크리티컬증가
샤프 어태커	일정시간동안 일반공격과 정령공격의 성공율 증가	V	V		V	V												V	V																							V				V	V	V	V																																																												V																																																					V																																																																																							명중률증가
세크리파이스	일정시간동안 자신을 희생하여 생명력 증가	V	V		V	V												V	V																							V				V	V	V	V																																																												V																																																								V									V									V																								V																																										생명력증가
스피리트 실드	일정시간동안 방패에 의한 정령속성 방어 증가	V	V		V	V												V	V																							V				V	V	V	V																																																												V																																																																											V	V	V	V	V																																																													정령저항력증가
리썰 어택	일정시간동안 공격 대미지를 최대로 고정	V	V		V				V									V	V																							V				V	V	V	V																																																												V																																																																																																																																												최대물리공격력고정
위크 엔드	일정시간동안 대상의 공격력을 최소 대미지로 고정	V	V		V				V									V	V																							V				V	V	V	V			V																																																									V																																																																																																																																												
버서크	일정시간동안 자신의 상태 강화 및 이동속도 증가. 기술 종료후 생명소모	V	V		V				V									V	V																							V			V	V	V	V	V																																																												V		V	V																															V	V		V																			V									V									V																		V																																																상태강화\n이동속도증가
바이탈 차지	일정시간동안 대미지를 흡수하여 생명으로 전환	V	V		V				V									V	V																							V				V	V	V	V																																													V	V														V																																																																																																																																												물리공격흡수생명전환
네츄럴 워리어	일정시간동안 정령속성 공격력과 저항력 증가. 기술 종료후 생명소모	V	V		V				V									V	V																							V			V	V	V	V	V																																																												V																																																									V	V	V	V	V				V	V	V	V	V	V					V	V	V	V	V																																																													정령공격력증가\n정령저항력증가
브레이크 바디	일정시간동안 대상의 방어력 감소	V	V		V				V									V	V																							V				V	V	V	V			V	V																																																								V																																																																										V																																																																		방어력감소
페닉	일정시간동안 대상의 이동속도 감소	V	V		V				V									V	V																							V				V	V	V	V																																																												V																																																																																												V																																																이동속도감소
파워레스 쇼	일정시간동안 대상의 공격력을 감소	V	V		V				V									V	V																							V				V	V	V	V			V																																																									V																																																								V									V																																																																											물리공격력감소
대미지 맥시마	크리티컬 공격 증가	V	V			V			V									V	V																																																																									V		V															V																																																																																																																																												
홀드 디펜스	기본 방어력 증가	V	V			V												V	V																																																																																										V																																																																										V																																																																		
헬스 번	생명력 증가	V	V			V												V	V																																																																																										V																																																																																																		V																																										
스피리트 스냅	정령속성 저항	V	V			V												V	V																																																																																										V																																																																											V	V	V	V	V																																																													
레드 히트	명중률 증가	V	V						V									V	V																																																																																										V																																																					V																																																																																							
카운터 어택	방어 후 추가 공격	V	V						V									V	V																																																								V																			V															V																																																																																																																																												
데스 스트라이크	"공격할 때, 일정확률로 적의 생명력을 크게 감소"	V	V						V									V	V																																																																											V														V	V																																																																																																																																												
듀얼샷	대상을 이중으로 공격	V	V	V			V			V								V	V											V												V		V		V	V	V			V	V																																																									V				V																																																																																																																																								
피어스샷	직선 범위의 대상을 관통 공격	V	V	V			V			V								V	V											V												V		V		V	V	V				V		V	V																																																						V																																																																																																																																												
마나체이서	대상을 마나화살로 공격	V	V	V			V			V								V	V											V	V											V				V	V	V				V																																																									V				V																																																																																																																																								
트리플샷	대상을 삼중으로 공격	V	V	V			V			V								V	V											V												V		V		V	V	V			V	V																																																									V				V																																																																																																																																								
체인 액션	일정시간동안 대상의 이동속도와 공격속도 감소	V	V	V			V			V								V	V											V												V		V		V	V	V	V			V																																																									V																																																																																												V									V																																							
블링크샷	일정시간동안 대상의 공격성공률 감소	V	V	V			V			V								V	V											V												V		V		V	V	V	V			V																																																									V				V																																																	V																																																																																							
파이어샷	대상을 불화살로 공격	V	V	V			V			V								V	V						V					V					V							V		V		V	V	V	V			V									V																																										V						V				V																																																																																																																																								
파워샷	대상을 강하게 공격	V	V	V			V			V								V	V											V												V		V		V	V	V				V																																																									V				V																																																																																																																																								
스나이프샷	대상을 먼거리에서 공격	V	V	V			V			V								V	V											V												V		V		V	V	V				V																																																									V				V																																																																																																																																								
스틸바스터	대상을 폭발화살로 공격	V	V	V			V			V								V	V											V												V		V		V	V	V				V	V																																																								V				V																																																																																																																																								
멀티플 애로우	원거리로 원형범위 내의 대상들을 쏟아지는 화살로 공격	V	V	V			V			V								V	V											V												V		V		V	V	V				V	V																																																								V																																																																																																																																												
피닉스샷	대상을 연속적으로 강하게 공격	V	V	V			V			V								V	V											V					V							V		V		V	V	V				V	V																																																								V																																																																																																																																												
네이쳐샷	일정시간 대상의 이동속도를 감소	V	V	V	V		V			V								V	V											V												V		V		V	V	V	V			V																																																									V				V																																																																																								V																																																이동속도감소
소울 오브 애니멀	일정시간동안 정령의 힘으로 자신 중심 원형 범위 내 파티의 공격력과 방어력 증가	V	V		V		V			V								V	V																							V				V	V	V	V			V	V																																																								V																																																								V									V									V																																																																		물리공격력증가\n물리방어력증가
굿 보우	활의 대미지 추가	V	V		V		V			V								V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
굿 크로스보우	석궁의 대미지 추가	V	V		V		V			V								V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
스네어샷	원거리 원형 범위 내 대상들을 일정 시간 이동속도를 감소	V	V	V	V		V			V								V	V											V												V		V		V	V	V	V			V	V																																																								V																																																																																												V																																																이동속도감소
우드스킨	일정시간동안 방어력 증가	V	V		V		V											V	V																							V				V	V	V	V																																																												V																																																																										V																																																																		물리방어력증가
샤프 슈터	일정시간동안 자신의 명중률 증가. 자신의 공격속도 감소	V	V		V		V											V	V																							V				V	V	V	V																																																												V																																																					V																																																V																																							명중률증가
윈드 애로우	대상을 공기 정령속성 공격	V	V	V			V											V	V				V							V			V									V		V		V	V	V				V																																																									V																																																																																																																																												
리얼 레인지	일정시간동안 무기의 사정거리 증가	V	V		V		V											V	V																							V				V	V	V	V																																																												V																																																		V																																																																																										사정거리증가
포이즌 애로우	대상을 독 정령속성 공격	V	V	V			V											V	V							V				V						V						V		V		V	V	V	V			V										V																																									V						V				V																																																																																																																																								
브레스 소울	일정시간동안 정령속성 공격력 증가	V	V		V		V											V	V																							V				V	V	V	V																																																												V																																																									V	V	V	V	V					V	V	V	V	V																																																																						정령공격력증가
헬프리스	일정시간동안 대상의 방어력 감소	V	V		V		V											V	V											V												V		V		V	V	V	V			V																																																									V				V																																																																						V																																																																		물리방어력감소
헤비 핸드	일정시간동안 대상의 공격속도 감소	V	V		V		V											V	V											V												V		V		V	V	V	V			V																																																									V				V																																																																																																	V																																							공격속도감소
어게인스트	일정시간동안 정령속성 저항력 증가	V	V		V					V								V	V																							V				V	V	V	V																																																												V																																																																											V	V	V	V	V																																																													정령저항력증가
미스 리더	일정시간동안 자신의 회피율 및 스킬블럭 증가	V	V		V					V								V	V																							V				V	V	V	V																																																												V																																																						V	V																													V																																																								회피율증가\n스킬블럭
페인 애로우	일정시간 지속적인 손상을 입힘	V	V	V						V								V	V											V												V		V		V	V	V	V			V				V																																															V						V																																																																																																																																												
큐어	일정시간동안 디버프 스킬에 대한 방어력 증가. 디버프 기술 치료	V	V		V					V								V	V																							V				V	V	V	V																																																												V																																																																																																																																												상태약화방어
치터	일정시간동안 자신의 적대치 날림. PVP시 자신에게 걸린 타겟팅 날림	V	V		V					V								V	V																							V				V	V	V	V																																													V															V																																																																																																																																												
그레이트 바스터	대상을 극단적인 대미지로 공격	V	V	V						V								V	V											V												V		V		V	V	V				V																																																									V				V																																																																																																																																								
어스 빌	대상의 땅 정령속성 공격	V	V	V						V								V	V					V						V				V								V		V		V	V	V				V	    																																																								V				V																																																																																																																																								
나이트워크	일정시간동안 선공몬스터에 대한 적대치 사라짐. 자신의 이동속도 감소	V	V		V					V								V	V																							V				V	V	V	V																																																												V																																																																																												V																																																선공적대감소\n이동속도감소
스커드	이동속도 증가	V	V				V			V								V	V																																																																																										V		V	V																																																																																									V																																																
크리티컬 히트	크리티컬 공격 증가	V	V				V											V	V																																																																									V		V															V																																																																																																																																												
퍼펙트 골드	공격 명중률 증가	V	V				V											V	V																																																																																										V																																																					V																																																																																							
퍼슈어링	마나 증가	V	V				V											V	V																																																																																										V																																																																																																			V																																									
이베이드	근거리 공격에 대한 회피율 증가	V	V							V								V	V																																																																																										V																																																						V																																																																																						
다지	원거리 공격에 대한 회피율 증가	V	V							V								V	V																																																																																										V																																																							V																																																																																					
스프라이트 콜링	정령속성 저항	V	V							V								V	V																																																																																										V																																																																											V	V	V	V	V																																																													
포스	마법사 클래스의 기본 원거리 공격스킬	V	V					V			V							V																								V				V	V	V				V																																																													V																																																																																																																																								
플레임 코어	원거리 대상을 불꽃으로 공격	V	V	V				V			V							V	V						V					V					V							V				V	V	V				V																																																									V				V																																																																																																																																								
블레이즈 월	불꽃의 벽으로 직선 범위의 대상 공격	V	V	V				V			V							V	V						V					V					V							V				V	V	V				V		V	V																																																						V				V																																																																																																																																								
매직 볼트	원거리의 대상을 마법으로 공격	V	V	V				V			V							V	V		V									V	V											V				V	V	V				V																																																									V				V																																																																																																																																								
워터 스파우트	"원거리의 대상을 물의 힘으로 공격, 일정시간 물정령지속대미지 추가"	V	V	V				V			V							V	V			V								V		V										V				V	V	V	V			V						V																																													V						V																																																																																																																																												
네이팜 플레임	일정거리 원거리의 대상을 지속적으로 불태움	V	V	V				V			V							V	V						V					V					V							V				V	V	V	V			V									V																																										V						V																																																																																																																																												
멀티플 스프린터	자신 중심 원형 범위 내의 대상들을 땅의 힘으로 이동속도와 공격속도를 감소	V	V	V				V			V							V	V					V						V				V								V				V	V	V	V			V	V																																																								V																																																																																												V									V																																							
윈드 스매쉬	원거리의 대상을 바람으로 공격	V	V	V				V			V							V	V				V							V			V									V				V	V	V				V																																																									V																																																																																																																																												
헬 타이푼	원거리 원형 범위의 대상들을 바람으로 공격	V	V	V				V			V							V	V				V							V			V									V				V	V	V				V	V																																																								V																																																																																																																																												
어스퀘이크	자신 중심 원형 범위의 대상들을 지진으로 공격	V	V	V				V			V							V	V					V						V				V								V				V	V	V				V	V																																																								V																																																																																																																																												
애시드 레인	자신 중심 원형 범위내의 대상들을 산성 비로 공격. 일정시간동안 추가 손상을 입힘	V	V	V				V			V							V	V			V								V		V										V				V	V	V	V			V	V					V																																													V						V																																																																																																																																												
휠 기어	원거리 원형 범위내의 대상들을 물로 공격	V	V	V				V			V							V	V			V								V		V										V				V	V	V				V	V																																																								V																																																																																																																																												
소울 케오스	자신 중심 원거리형 범위내의 대상들을 마법으로 공격	V	V	V				V			V							V	V		V									V	V											V				V	V	V				V	V																																																								V																																																																																																																																												
바이탈 컨버젼	자신의 마나를 소모하여 생명으로 전환	V	V					V			V							V	V																							V				V	V	V																																																											V		V																																																																																																																																												
지오 샤드	"원거리 대상을 땅의 힘으로 묶어, 이동속도와 공격속도 감소"	V	V	V				V			V							V	V					V						V				V								V				V	V	V	V			V																																																									V																																																																																												V									V																																							
굿 스태프	스태프 대미지 추가	V	V		V			V			V							V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
굿 완드	완드 대미지 추가	V	V		V			V			V							V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
윈드 쉐이크	자신 중심 원형 범위내의 대상들을 바람으로 묶음	V	V	V				V			V							V	V				V							V			V									V				V	V	V	V			V	V																																																								V																																																																																												V																																																
데몰리션 송	대상에 대한 극단적인 대미지 공격	V	V	V				V										V	V											V												V				V	V	V				V																																																									V																																																																																																																																												
루즈 디펜스	일정시간동안 대상의 방어력 감소	V	V		V			V										V	V																							V				V	V	V	V			V																																																									V																																																																										V																																																																		물리방어력감소
그라인드 풀링	일정시간동안 대상의 이동속도 감소. 지속 대미지 추가	V	V	V	V			V										V	V											V												V				V	V	V	V			V				V																																															V						V																																																																																												V																																																
스터너	일정시간동안 적의 공격을 일정확률로 방어하고 스킬블럭 증가	V	V		V			V										V	V																							V				V	V	V	V																																													V															V																																																																																				V																																																								공격방어\n스킬블럭
데스 마크	원거리의 대상에게 주문을 걸어 일정시간 상태 약화	V	V		V			V										V	V																							V				V	V	V	V			V																																																									V																																		V	V	V	V		V																	V									V									V																																																																		
리플렉션	일정시간동안 일정확률로 공격대미지를 반사	V	V		V			V										V	V																							V				V	V	V	V																										V																			V															V																																																																																																																																												공격반사
엑스퍼트	일정시간동안 스킬레벨 증가	V	V		V			V										V	V																							V				V	V	V	V																																																									V			V																																																																																																																																												스킬레벨증가
콘퓨젼	일정시간동안 대상의 이동속도와 공격성공률을 감소	V	V		V			V										V	V																							V				V	V	V	V			V																																																									V																																																					V																																							V																																																이동속도감소\n명중률감소
테스타먼트	일정시간 동안 영웅의 혼의 강림으로 자신의 상태를 강화	V	V		V						V							V	V																							V				V	V	V	V																																																												V																																		V		V			V																																			V																																																																		상태강화
세이브 미니츠	생명력에 대한 재생 능력 증가	V	V		V						V							V	V																							V				V	V	V	V																																																V												V																																																																																																																																												생명재생
콜 스웜프	"습지를 만들어 움직이지 못하게 하고, 대미지 연속 공격"	V	V	V							V							V	V											V												V				V	V	V	V			V				V																																															V						V																																																																																												V																																																
마나 시퀀스	연속 공격	V	V	V							V							V	V											V												V				V	V	V			V	V																																																									V				V																																																																																																																																								
옵티멈	일정시간동안 기술사용 마나소모량을 감소	V	V		V						V							V	V																							V				V	V	V	V																																																							V					V																																																																																																																																												마나소모감소
할트	일정시간동안 대상의 공격을 방해	V	V		V						V							V	V																							V				V	V	V	V			V																																										V															V																																																																																																																																												공격방해
멘탈 서킷	일정시간동안 대미지를 흡수하여 생명으로 전환	V	V		V						V							V	V																							V				V	V	V	V																																													V	V														V																																																																																																																																												물리공격흡수생명전환
풀링 마나	일정시간동안 대미지를 흡수하여 마나로 전환	V	V		V						V							V	V																							V				V	V	V	V																																													V		V													V																																																																																																																																												물리공격흡수마나전환
파 홀드	기술의 사정거리 증가	V	V					V			V							V	V																																																																										V																V																																																																																																																																												
스펠 크리티컬	크리티컬 공격 증가	V	V					V										V	V																																																																									V		V															V																																																																																																																																												
마나 이펙트	기술사용시 마나소모량 감소	V	V					V										V	V																																																																																					V					V																																																																																																																																												
베네딕션	생명력 증가	V	V					V										V	V																																																																																										V																																																																																																		V																																										
인텐스 매직	기술사용시 일정확률로 마나소모 없음	V	V								V							V	V																																																																											V										V					V																																																																																																																																												
마인드 콘트롤	마나 증가	V	V								V							V	V																																																																																										V																																																																																																			V																																									
인사이드 펌	정령속성 저항	V	V								V							V	V																																																																																										V																																																																											V	V	V	V	V																																																													
파워서지	힘수치 증가	V	V			V	V	V	V	V	V		V	V				V	V																																																																																										V																																			V																																																																																																									
리스마트	민첩수치 증가	V	V			V	V	V	V	V	V		V	V				V	V																																																																																										V																																					V																																																																																																							
샤프센스	지식수치 증가	V	V			V	V	V	V	V	V		V	V				V	V																																																																																										V																																				V																																																																																																								
마인드붐	지혜수치 증가	V	V			V	V	V	V	V	V		V	V				V	V																																																																																										V																																							V																																																																																																					
빌드업	체력수치 증가	V	V			V	V	V	V	V	V		V	V				V	V																																																																																										V																																		V																																																																																																										
무적상태																																																																																																																																																																																																																																																									30초간 무적상태
익스플로전 스크롤		V																							V																					V	V					V	V																																																										V	V	V																																																																																									V																																															
포이즌 스크롤		V																																												V	V		V			V										V																																									V								V	V	V																																																																																																																																								
라이트닝 스크롤		V																										V																		V	V					V																																							V			V																	V	V	V																																																																																																																																								
이동속도물약 소		V																																													V		V																																																														V	V																																																																																									V																																																작은 신속의 물약\n이동속도10%상승
이동속도물약 중		V																																													V		V																																																														V	V																																																																																									V																																																보통 신속의 물약\n이동속도15%상승
이동속도물약 대		V																																													V		V																																																														V	V																																																																																									V																																																대형 신속의 물약\n이동속도20%상승
공격속도물약 소		V																																													V		V																																																														V	V																																																																																																		V																																							작은 광속의 물약\n공격속도5%상승
공격속도물약 중		V																																													V		V																																																														V	V																																																																																																		V																																							보통 광속의 물약\n공격속도10%상승
공격속도물약 대		V																																													V		V																																																														V	V																																																																																																		V																																							대형 광속의 물약\n공격속도15%상승
최대체력증가 스킬 1레벨		V																																													V		V																																																														V	V																																																																																															V																																										활력의 구이\n최대생명15%상승
최대체력증가 스킬 2레벨		V																																													V		V																																																														V	V																																																																																															V																																										생명의 구이\n최대생명25%상승
최대체력증가 스킬 3레벨		V																																													V		V																																																														V	V																																																																																															V																																										초월의 구이\n최대생명35%상승
최대마나증가 스킬 1레벨		V																																													V		V																																																														V	V																																																																																																V																																									순화의 바베큐\n최대마나15%상승
최대마나증가 스킬 2레벨		V																																													V		V																																																														V	V																																																																																																V																																									현자의 바베큐\n최대마나25%상승
최대마나증가 스킬 3레벨		V																																													V		V																																																														V	V																																																																																																V																																									열반의 바베큐\n최대마나35%상승
공격력증가 스킬 1레벨		V																																													V		V																																																														V	V																																																					V									V																																																																											공격의 스프\n물리공격력3포인트상승
공격력증가 스킬 2레벨		V																																													V		V																																																														V	V																																																					V									V																																																																											습격의 스프\n물리공격력5포인트상승
공격력증가 스킬 3레벨		V																																													V		V																																																														V	V																																																					V									V																																																																											분노의 스프\n물리공격력7포인트상승
방어력증가 스킬 1레벨		V																																													V		V																																																														V	V																																																																							V																																																																		방어의 맛탕\n물리방어력3포인트상승
방어력증가 스킬 2레벨		V																																													V		V																																																														V	V																																																																							V																																																																		수비의 맛탕\n물리방어력5포인트상승
방어력증가 스킬 3레벨		V																																													V		V																																																														V	V																																																																							V																																																																		방위의 맛탕\n물리방어력7포인트상승
마나회복 스킬 1레벨		V																																													V		V																																																	V													V	V																																																																																																																																									회복의 파이\n마나회복 10초마다 20증가
마나회복 스킬 2레벨		V																																													V		V																																																	V													V	V																																																																																																																																									치유의 파이\n마나회복 10초마다 40증가
마나회복 스킬 3레벨		V																																													V		V																																																	V													V	V																																																																																																																																									건강의 파이\n마나회복 10초마다 60증가
체력회복 스킬 1레벨		V																																													V		V																																																V														V	V																																																																																																																																									회복의 로스트\n생명회복 10초마다 20증가
체력회복 스킬 2레벨		V																																													V		V																																																V														V	V																																																																																																																																									치유의 로스트\n생명회복 10초마다 40증가
체력회복 스킬 3레벨		V																																													V		V																																																V														V	V																																																																																																																																									건강의 로스트\n생명회복 10초마다 60증가
