TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
503	Long Sword	32	26	37	1	1;2;3		0							1	400	1			63000	1575		1	1	88	1	4	1	3	180	71	49	51																																																						1	Normal Weapon	11	One-Handed Sword	10																				1		1	1			26	37				
1898	Phantom Blade	35	29	40	1	1;2;3		0							2	300	2	16777040		75600	1890		1	2	106	2	6	2	4	180	71	53	55																																																						3	Rare Weapon	31	One-Handed Sword	11																				1		1	2			29	40				
1899	Brutal Sword	38	32	43	1	1;2;3		0							3	100	3	11968874		88200	2205		1	3	123	4	8	3	5	180	71	57	59																																																						5	Unique Weapon	51	One-Handed Sword	12																			223;224;225;226;126;128;3;75	1		1	3			32	43				
4004	Brutal Sword	38	32	43	1	1;2;3		0							4	100	4	11427313		88200	2205		1	4	158	4	8	3	5	180	71	67	69																																																						7	Elite Weapon	71	One-Handed Sword	13																			223;224;225;226;126;128;3;75	1		1	4			32	43				
504	Double Long Sword	41	35	46	1	1;2;3		0							1	400	1			160000	4000		1	1	88	1	4	1	3	180	71	63	65																																																						1	Normal Weapon	11	One-Handed Sword	11																				1		1	1			35	46				
1900	Blaze Sabre	44	38	49	1	1;2;3		0							2	300	2	16777040		192000	4800		1	2	106	2	6	2	4	180	71	67	69																																																						3	Rare Weapon	31	One-Handed Sword	12																				1		1	2			38	49				
1901	Blood Scimitar	47	41	52	1	1;2;3		0							3	100	3	11968874		224000	5600		1	3	123	4	8	3	5	180	71	71	73																																																						5	Unique Weapon	51	One-Handed Sword	13																			223;224;225;226;126;128;3;75	1		1	3			41	52				
4005	Blood Scimitar	47	41	52	1	1;2;3		0							4	100	4	11427313		224000	5600		1	4	158	4	8	3	5	180	71	81	83																																																						7	Elite Weapon	71	One-Handed Sword	14																			223;224;225;226;126;128;3;75	1		1	4			41	52				
3200	Crescent Sword	50	44	55	1	1;2;3		0							1	400	1			215000	5375		1	1	88	1	4	1	3	180	71	77	79																																																						1	Normal Weapon	11	One-Handed Sword	11																				1		1	1			44	55				
3201	Fiercelord Sword	53	47	58	1	1;2;3		0							2	300	2	16777040		258000	6450		1	2	106	2	6	2	4	180	71	81	83																																																						3	Rare Weapon	31	One-Handed Sword	12																				1		1	2			47	58				
3202	Harshslaughter Sword	55	49	60	1	1;2;3		0							3	100	3	11968874		301000	7525		1	3	123	4	8	3	5	180	71	85	87																																																						5	Unique Weapon	51	One-Handed Sword	13																			223;224;225;226;126;128;3;75	1		1	3			49	60				
4006	Harshslaughter Sword	55	49	60	1	1;2;3		0							4	100	4	11427313		301000	7525		1	4	158	4	8	3	5	180	71	95	97																																																						7	Elite Weapon	71	One-Handed Sword	14																			223;224;225;226;126;128;3;75	1		1	4			49	60				
3203	Helix Sabre	58	52	63	1	1;2;3		0							1	400	1			259000	6475		1	1	88	1	4	1	3	180	71	91	93																																																						1	Normal Weapon	11	One-Handed Sword	12																				1		1	1			52	63				
3204	Life-eater Sabre	61	55	66	1	1;2;3		0							2	300	2	16777040		310800	7770		1	2	106	2	6	2	4	180	71	95	97																																																						3	Rare Weapon	31	One-Handed Sword	13																				1		1	2			55	66				
3205	Redtrail Sabre	63	57	68	1	1;2;3		0							3	100	3	11968874		362600	9065		1	3	123	4	8	3	5	180	71	99	101																																																						5	Unique Weapon	51	One-Handed Sword	14																			223;224;225;226;126;128;3;75	1		1	3			57	68				
4007	Redtrail Sabre	63	57	68	1	1;2;3		0							4	100	4	11427313		362600	9065		1	4	158	4	8	3	5	180	71	109	111																																																						7	Elite Weapon	71	One-Handed Sword	15																			223;224;225;226;126;128;3;75	1		1	4			57	68				
3206	Shot Piercer	66	60	71	1	1;2;3		0							1	400	1			319000	7975		1	1	88	1	4	1	3	180	71	106	108																																																						1	Normal Weapon	11	One-Handed Sword	13																				1		1	1			60	71				
3207	Eraser Sword	69	63	74	1	1;2;3		0							2	300	2	16777040		382800	9570		1	2	106	2	6	2	4	180	71	110	112																																																						3	Rare Weapon	31	One-Handed Sword	14																				1		1	2			63	74				
3208	Flashdust Piercer	71	65	76	1	1;2;3		0							3	100	3	11968874		446600	11165		1	3	123	4	8	3	5	180	71	114	116																																																						5	Unique Weapon	51	One-Handed Sword	15																			223;224;225;226;126;128;3;75	1		1	3			65	76				
4008	Flashdust Piercer	71	65	76	1	1;2;3		0							4	100	4	11427313		446600	11165		1	4	158	4	8	3	5	180	71	124	126																																																						7	Elite Weapon	71	One-Handed Sword	16																			223;224;225;226;126;128;3;75	1		1	4			65	76				
3209	Cracked Saber	74	68	79	1	1;2;3		0							1	400	1			435000	10875		1	1	88	1	4	1	3	180	71	121	123																																																						1	Normal Weapon	11	One-Handed Sword	13																				1		1	1			68	79				
3210	Holylight Saber	76	70	81	1	1;2;3		0							2	300	2	16777040		522000	13050		1	2	106	2	6	2	4	180	71	125	127																																																						3	Rare Weapon	31	One-Handed Sword	14																				1		1	2			70	81				
3211	Neverfallen Sword	78	72	83	1	1;2;3		0							3	100	3	11968874		609000	15225		1	3	123	4	8	3	5	180	71	129	131																																																						5	Unique Weapon	51	One-Handed Sword	15																			223;224;225;226;126;128;3;75	1		1	3			72	83				
4584	Neverfallen Sword	78	72	83	1	1;2;3		0							4	100	4	11427313		609000	15225		1	4	158	4	8	3	5	180	71	139	141																																																						7	Elite Weapon	71	One-Handed Sword	16																			223;224;225;226;126;128;3;75	1		1	4			72	83				
5221	Heavy Slicer	81	75	86	1	1;2;3		0							1	400	1			495000	12375		1	1	88	1	4	1	3	180	71	135	137																																																						1	Normal Weapon	11	One-Handed Sword	13																				1		1	1			75	86				
5222	Dimage Sword	83	77	88	1	1;2;3		0							2	300	2	16777040		594000	14850		1	2	106	2	6	2	4	180	71	139	141																																																						3	Rare Weapon	31	One-Handed Sword	14																				1		1	2			77	88				
5223	Insane Bane's Slicer	85	79	90	1	1;2;3		0							3	100	3	11968874		693000	17325		1	3	123	4	8	3	5	180	71	143	145																																																						5	Unique Weapon	51	One-Handed Sword	15																			223;224;225;226;126;128;3;75	1		1	3			79	90				
4585	Insane Bane's Slicer	85	79	90	1	1;2;3		0							4	100	4	11427313		693000	17325		1	4	158	4	8	3	5	180	71	153	155																																																						7	Elite Weapon	71	One-Handed Sword	16																			223;224;225;226;126;128;3;75	1		1	4			79	90				
5033	Vital Slicer	88	82	93	1	1;2;3		0							1	400	1			605000	15125		1	1	88	1	4	1	3	180	71	150	152																																																						1	Normal Weapon	11	One-Handed Sword	13																				1		1	1			82	93				
5034	Darkbyte Sword	90	84	99	1	1;2;3		0							2	300	2	16777040		726000	18150		1	2	106	2	6	2	4	180	71	154	156																																																						3	Rare Weapon	31	One-Handed Sword	14																				1		1	2			84	95				
5035	Night Nomad Sword	92	86	99	1	1;2;3		0							3	100	3	11968874		847000	21175		1	3	123	4	8	3	5	180	71	158	160																																																						5	Unique Weapon	51	One-Handed Sword	15																			223;224;225;226;126;128;3;75	1		1	3			86	99				
5666	Night Nomad Sword	92	86	99	1	1;2;3		0							4	100	4	11427313		847000	21175		1	4	158	4	8	3	5	180	71	168	170																																																						7	Elite Weapon	71	One-Handed Sword	16																			223;224;225;226;126;128;3;75	1		1	4			86	99				
10	Short Axe	1	1	6	1	1;2		1							1	400	1			100	5		1	1	81	1	4	1	3	180	65	10	16																																																						1	Normal Weapon	12	One-Handed Axe	8																				1		1	1			1	6				
1902	Gear Axe	1	1	6	1	1;2		1							2	400	1	16777040		800	20		1	2	81	2	6	2	4	180	65	14	20																																																						3	Rare Weapon	32	One-Handed Axe	9																				1		1	2			1	6				
35	Battle Axe	5	1	10	1	1;2		1							1	400	1			2000	50		1	1	81	1	4	1	3	180	65	16	23																																																						1	Normal Weapon	12	One-Handed Axe	8																				1		1	1			1	10				
1903	Assault Axe	8	2	13	1	1;2		1							2	400	1	16777040		2400	60		1	2	81	2	6	2	4	180	65	20	27																																																						3	Rare Weapon	32	One-Handed Axe	9																				1		1	2			2	13				
2216	Krimbelt Axe	11	5	16	1	1;2		1							3	100	3	11968874		2800	70		1	3	113	4	8	3	5	180	65	24	31																																																						5	Unique Weapon	52	One-Handed Axe	10																			1;57;7	1		1	3			5	16				
4009	Krimbelt Axe	11	5	16	1	1;2		1							4	100	4	11427313		2800	70		1	4	146	4	8	3	5	180	65	34	41																																																						7	Elite Weapon	72	One-Handed Axe	11																			1;57;7	1		1	4			5	16				
491	Crush Battle Axe	14	8	19	1	1;2		1							1	400	1			6000	150		1	1	81	1	4	1	3	180	65	26	33																																																						1	Normal Weapon	12	One-Handed Axe	9																				1		1	1			8	19				
1904	Barbarian Axe	17	11	22	1	1;2		1							2	300	2	16777040		7200	180		1	2	97	2	6	2	4	180	65	30	37																																																						3	Rare Weapon	32	One-Handed Axe	10																				1		1	2			11	22				
1905	Saw Divider	20	14	25	1	1;2		1							3	100	3	11968874		8400	210		1	3	113	4	8	3	5	180	65	34	41																																																						5	Unique Weapon	52	One-Handed Axe	11																			57;7;49;223;224;225;226	1		1	3			14	25				
4010	Saw Divider	20	14	25	1	1;2		1							4	100	4	11427313		8400	210		1	4	146	4	8	3	5	180	65	44	51																																																						7	Elite Weapon	72	One-Handed Axe	12																			57;7;49;223;224;225;226	1		1	4			14	25				
1906	Blood Tomahawk	23	17	28	1	1;2		1							1	400	1			21000	525		1	1	81	1	4	1	3	180	65	38	45																																																						1	Normal Weapon	12	One-Handed Axe	10																				1		1	1			17	28				
507	Hazard Tomahawk	26	20	31	1	1;2		1							2	300	2	16777040		25200	630		1	2	97	2	6	2	4	180	65	42	49																																																						3	Rare Weapon	32	One-Handed Axe	11																				1		1	2			20	31				
2224	Infernocall Tomahawk	29	23	34	1	1;2		1							3	100	3	11968874		29400	735		1	3	113	4	8	3	5	180	65	46	53																																																						5	Unique Weapon	52	One-Handed Axe	12																			49;223;224;225;226;126;128	1		1	3			23	34				
4011	Infernocall Tomahawk	29	23	34	1	1;2		1							4	100	4	11427313		29400	735		1	4	146	4	8	3	5	180	65	56	63																																																						7	Elite Weapon	72	One-Handed Axe	13																			49;223;224;225;226;126;128	1		1	4			23	34				
508	Divider	32	26	37	1	1;2		1							1	400	1			63000	1575		1	1	81	1	4	1	3	180	65	51	58																																																						1	Normal Weapon	12	One-Handed Axe	10																				1		1	1			26	37				
1907	Spit Axe	35	29	40	1	1;2		1							2	300	2	16777040		75600	1890		1	2	97	2	6	2	4	180	65	55	62																																																						3	Rare Weapon	32	One-Handed Axe	11																				1		1	2			29	40				
2217	Dark Seed Axe	38	32	43	1	1;2		1							3	100	3	11968874		88200	2205		1	3	113	4	8	3	5	180	65	59	66																																																						5	Unique Weapon	52	One-Handed Axe	12																			223;224;225;226;126;128;3;75	1		1	3			32	43				
4012	Dark Seed Axe	38	32	43	1	1;2		1							4	100	4	11427313		88200	2205		1	4	146	4	8	3	5	180	65	69	76																																																						7	Elite Weapon	72	One-Handed Axe	13																			223;224;225;226;126;128;3;75	1		1	4			32	43				
509	Grand Divider	41	35	46	1	1;2		1							1	400	1			160000	4000		1	1	81	1	4	1	3	180	65	66	73																																																						1	Normal Weapon	12	One-Handed Axe	11																				1		1	1			35	46				
1909	Gore Axe	44	38	49	1	1;2		1							2	300	2	16777040		192000	4800		1	2	97	2	6	2	4	180	65	70	77																																																						3	Rare Weapon	32	One-Handed Axe	12																				1		1	2			38	49				
2220	Scarlet Eye Axe	47	41	52	1	1;2		1							3	100	3	11968874		224000	5600		1	3	113	4	8	3	5	180	65	74	81																																																						5	Unique Weapon	52	One-Handed Axe	13																			223;224;225;226;126;128;3;75	1		1	3			41	52				
4013	Scarlet Eye Axe	47	41	52	1	1;2		1							4	100	4	11427313		224000	5600		1	4	146	4	8	3	5	180	65	84	91																																																						7	Elite Weapon	72	One-Handed Axe	14																			223;224;225;226;126;128;3;75	1		1	4			41	52				
3212	Glow Axe	50	44	55	1	1;2		1							1	400	1			215000	5375		1	1	81	1	4	1	3	180	65	81	88																																																						1	Normal Weapon	12	One-Handed Axe	11																				1		1	1			44	55				
3213	Blood Stream Axe	53	47	58	1	1;2		1							2	300	2	16777040		258000	6450		1	2	97	2	6	2	4	180	65	85	92																																																						3	Rare Weapon	32	One-Handed Axe	12																				1		1	2			47	58				
3214	Winterizer Divider	55	49	60	1	1;2		1							3	100	3	11968874		301000	7525		1	3	113	4	8	3	5	180	65	89	96																																																						5	Unique Weapon	52	One-Handed Axe	13																			223;224;225;226;126;128;3;75	1		1	3			49	60				
4014	Winterizer Divider	55	49	60	1	1;2		1							4	100	4	11427313		301000	7525		1	4	146	4	8	3	5	180	65	99	106																																																						7	Elite Weapon	72	One-Handed Axe	14																			223;224;225;226;126;128;3;75	1		1	4			49	60				
3215	Flash Divider	58	52	63	1	1;2		1							1	400	1			259000	6475		1	1	81	1	4	1	3	180	65	97	103																																																						1	Normal Weapon	12	One-Handed Axe	12																				1		1	1			52	63				
3216	Reddrop Axe	61	55	66	1	1;2		1							2	300	2	16777040		310800	7770		1	2	97	2	6	2	4	180	65	101	107																																																						3	Rare Weapon	32	One-Handed Axe	13																				1		1	2			55	66				
3217	Dark Impeller Divider	63	57	68	1	1;2		1							3	100	3	11968874		362600	9065		1	3	113	4	8	3	5	180	65	105	111																																																						5	Unique Weapon	52	One-Handed Axe	14																			223;224;225;226;126;128;3;75	1		1	3			57	68				
4015	Dark Impeller Divider	63	57	68	1	1;2		1							4	100	4	11427313		362600	9065		1	4	146	4	8	3	5	180	65	115	121																																																						7	Elite Weapon	72	One-Handed Axe	15																			223;224;225;226;126;128;3;75	1		1	4			57	68				
3218	Blood Crasher	66	60	71	1	1;2		1							1	400	1			319000	7975		1	1	81	1	4	1	3	180	65	113	119																																																						1	Normal Weapon	12	One-Handed Axe	13																				1		1	1			60	71				
3219	Soulspin Axe	69	63	74	1	1;2		1							2	300	2	16777040		382800	9570		1	2	97	2	6	2	4	180	65	117	123																																																						3	Rare Weapon	32	One-Handed Axe	14																				1		1	2			63	74				
3220	Immortal Power Crasher	71	65	76	1	1;2		1							3	100	3	11968874		446600	11165		1	3	113	4	8	3	5	180	65	121	127																																																						5	Unique Weapon	52	One-Handed Axe	15																			223;224;225;226;126;128;3;75	1		1	3			65	76				
4016	Immortal Power Crasher	71	65	76	1	1;2		1							4	100	4	11427313		446600	11165		1	4	146	4	8	3	5	180	65	131	137																																																						7	Elite Weapon	72	One-Handed Axe	16																			223;224;225;226;126;128;3;75	1		1	4			65	76				
3221	Bighead Divider	74	68	79	1	1;2		1							1	400	1			435000	10875		1	1	81	1	4	1	3	180	65	129	135																																																						1	Normal Weapon	12	One-Handed Axe	13																				1		1	1			68	79				
3222	Bonebuster Divider	76	70	81	1	1;2		1							2	300	2	16777040		522000	13050		1	2	97	2	6	2	4	180	65	133	139																																																						3	Rare Weapon	32	One-Handed Axe	14																				1		1	2			70	81				
3223	Curselink Divider	78	72	83	1	1;2		1							3	100	3	11968874		609000	15225		1	3	113	4	8	3	5	180	65	137	143																																																						5	Unique Weapon	52	One-Handed Axe	15																			223;224;225;226;126;128;3;75	1		1	3			72	83				
4586	Curselink Divider	78	72	83	1	1;2		1							4	100	4	11427313		609000	15225		1	4	146	4	8	3	5	180	65	147	153																																																						7	Elite Weapon	72	One-Handed Axe	16																			223;224;225;226;126;128;3;75	1		1	4			72	83				
5224	Teeth Ax	81	75	86	1	1;2		1							1	400	1			495000	12375		1	1	81	1	4	1	3	180	65	144	151																																																						1	Normal Weapon	12	One-Handed Axe	13																				1		1	1			75	86				
5225	Armorbreaker Ax	83	77	88	1	1;2		1							2	300	2	16777040		594000	14850		1	2	97	2	6	2	4	180	65	148	155																																																						3	Rare Weapon	32	One-Handed Axe	14																				1		1	2			77	88				
5226	Hell Impresa's Ax	85	79	90	1	1;2		1							3	100	3	11968874		693000	17325		1	3	113	4	8	3	5	180	65	152	159																																																						5	Unique Weapon	52	One-Handed Axe	15																			223;224;225;226;126;128;3;75	1		1	3			79	90				
4587	Hell Impresa's Ax	85	79	90	1	1;2		1							4	100	4	11427313		693000	17325		1	4	146	4	8	3	5	180	65	162	169																																																						7	Elite Weapon	72	One-Handed Axe	16																			223;224;225;226;126;128;3;75	1		1	4			79	90				
5036	Par Divider	88	82	93	1	1;2		1							1	400	1			605000	15125		1	1	81	1	4	1	3	180	65	160	167																																																						1	Normal Weapon	12	One-Handed Axe	13																				1		1	1			82	93				
5037	Dark Level Divider	90	84	99	1	1;2		1							2	300	2	16777040		726000	18150		1	2	97	2	6	2	4	180	65	164	171																																																						3	Rare Weapon	32	One-Handed Axe	14																				1		1	2			84	95				
5038	Wise Isle Divider	92	86	99	1	1;2		1							3	100	3	11968874		847000	21175		1	3	113	4	8	3	5	180	65	168	175																																																						5	Unique Weapon	52	One-Handed Axe	15																			223;224;225;226;126;128;3;75	1		1	3			86	99				
5667	Wise Isle Divider	92	86	99	1	1;2		1							4	100	4	11427313		847000	21175		1	4	146	4	8	3	5	180	65	178	185																																																						7	Elite Weapon	72	One-Handed Axe	16																			223;224;225;226;126;128;3;75	1		1	4			86	99				
4	Club	1	1	6	1	1;2		2							1	400	1			100	5		1	1	74	1	4	1	3	180	60	9	21																																																						1	Normal Weapon	13	One-Handed Blunt	8																				1		1	1			1	6				
317	Battle Pick	1	1	6	1	1;2		2							2	400	1	16777040		800	20		1	2	74	2	6	2	4	180	60	13	25																																																						3	Rare Weapon	33	One-Handed Blunt	9																				1		1	2			1	6				
20	Mace	5	1	10	1	1;2		2							1	400	1			2000	50		1	1	74	1	4	1	3	180	60	16	28																																																						1	Normal Weapon	13	One-Handed Blunt	8																				1		1	1			1	10				
514	Savage Battle Club	8	2	13	1	1;2		2							2	400	1	16777040		2400	60		1	2	74	2	6	2	4	180	60	20	32																																																						3	Rare Weapon	33	One-Handed Blunt	9																				1		1	2			2	13				
1910	Cruel Battle Club	11	5	16	1	1;2		2							3	100	3	11968874		2800	70		1	3	104	4	8	3	5	180	60	24	36																																																						5	Unique Weapon	53	One-Handed Blunt	10																			1;57;7	1		1	3			5	16				
4017	Cruel Battle Club	11	5	16	1	1;2		2							4	100	4	11427313		2800	70		1	4	133	4	8	3	5	180	60	34	46																																																						7	Elite Weapon	73	One-Handed Blunt	11																			1;57;7	1		1	4			5	16				
1911	Hammer	14	8	19	1	1;2		2							1	400	1			6000	150		1	1	74	1	4	1	3	180	60	26	38																																																						1	Normal Weapon	13	One-Handed Blunt	9																				1		1	1			8	19				
517	Centurion Hammer	17	11	22	1	1;2		2							2	300	2	16777040		7200	180		1	2	89	2	6	2	4	180	60	30	42																																																						3	Rare Weapon	33	One-Handed Blunt	10																				1		1	2			11	22				
2222	Boundchaser Hammer	20	14	25	1	1;2		2							3	100	3	11968874		8400	210		1	3	104	4	8	3	5	180	60	34	46																																																						5	Unique Weapon	53	One-Handed Blunt	11																			57;7;49;223;224;225;226	1		1	3			14	25				
4018	Boundchaser Hammer	20	14	25	1	1;2		2							4	100	4	11427313		8400	210		1	4	133	4	8	3	5	180	60	44	56																																																						7	Elite Weapon	73	One-Handed Blunt	12																			57;7;49;223;224;225;226	1		1	4			14	25				
41	Morningstar	23	17	28	1	1;2		2							1	400	1			21000	525		1	1	74	1	4	1	3	180	60	39	51																																																						1	Normal Weapon	13	One-Handed Blunt	10																				1		1	1			17	28				
515	Helios Morningstar	26	20	31	1	1;2		2							2	300	2	16777040		25200	630		1	2	89	2	6	2	4	180	60	43	55																																																						3	Rare Weapon	33	One-Handed Blunt	11																				1		1	2			20	31				
1912	Arcadian Maul	29	23	34	1	1;2		2							3	100	3	11968874		29400	735		1	3	104	4	8	3	5	180	60	47	59																																																						5	Unique Weapon	53	One-Handed Blunt	12																			49;223;224;225;226;126;128	1		1	3			23	34				
4019	Arcadian Maul	29	23	34	1	1;2		2							4	100	4	11427313		29400	735		1	4	133	4	8	3	5	180	60	57	69																																																						7	Elite Weapon	73	One-Handed Blunt	13																			49;223;224;225;226;126;128	1		1	4			23	34				
512	Maul	32	26	37	1	1;2		2							1	400	1			63000	1575		1	1	74	1	4	1	3	180	60	53	65																																																						1	Normal Weapon	13	One-Handed Blunt	10																				1		1	1			26	37				
518	Guardian Maul	35	29	40	1	1;2		2							2	300	2	16777040		75600	1890		1	2	89	2	6	2	4	180	60	57	69																																																						3	Rare Weapon	33	One-Handed Blunt	11																				1		1	2			29	40				
2225	Pythonhead Maul	38	32	43	1	1;2		2							3	100	3	11968874		88200	2205		1	3	104	4	8	3	5	180	60	61	73																																																						5	Unique Weapon	53	One-Handed Blunt	12																			223;224;225;226;126;128;3;75	1		1	3			32	43				
4020	Pythonhead Maul	38	32	43	1	1;2		2							4	100	4	11427313		88200	2205		1	4	133	4	8	3	5	180	60	71	83																																																						7	Elite Weapon	73	One-Handed Blunt	13																			223;224;225;226;126;128;3;75	1		1	4			32	43				
513	Power Mace	41	35	46	1	1;2		2							1	400	1			160000	4000		1	1	74	1	4	1	3	180	60	70	82																																																						1	Normal Weapon	13	One-Handed Blunt	11																				1		1	1			35	46				
