½ΊΕ³Έν	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb																																																																																																																																																																																																	
Arrow Hail	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
Transform	10	1		100	1	1			96											10								1																																																																																																																																																																																																																																					
Chain Action	21	1	1	1	202	1								101			3			10																					1																																																																																																																																																																																																																								
Burst Shot	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
Magic Arrow	1	1	1	1	202	1	1000							101			1																								1																																																																																																																																																																																																																								
Blinding Strike	11	1	1	1	202	1								101						10																					1																																																																																																																																																																																																																								
Fire Shot	11	1	1	1	202	1								101																10002											1																																																																																																																																																																																																																								
Charge Shot	1	1	1	1	202	1								101																											1																																																																																																																																																																																																																								
Sniper Shot	1	1	1	1	202	1								101																											1																																																																																																																																																																																																																								
Phoenix	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
Nightwalk	10	1	2	100	1	1											6			10																					2																																																																																																																																																																																																																								
Sharp Shooter	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Animal Soul	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Forces of Nature	11	1	1	1	202	1								101						116												1									1																																																																																																																																																																																																																								
Snare Shot	11	1	1	1	1304	1								101						116												1									1																																																																																																																																																																																																																								
Misleader	10	1	2	100	1	1			2											10																					2																																																																																																																																																																																																																								
Cure	10	1	2	100	1	1	1000																				10002														2																																																																																																																																																																																																																								
Helpless	11	1	1	1	202	1								109						10																					1																																																																																																																																																																																																																								
Heavy Hand	11	1	1	1	1304	1								101						10																					1																																																																																																																																																																																																																								
Wind Arrow	5	1	1	1	202	1			5					103																											1																																																																																																																																																																																																																								
Power Bow	10	1	2	100	1	11			6											107																					2																																																																																																																																																																																																																								
Power Crossbow	10	1	2	100	1	12			7											107																					2																																																																																																																																																																																																																								
Poison Shot	11	1	1	1	202	1								103																10002											1																																																																																																																																																																																																																								
Far Sight	10	1	2	100	1	1			8											107																					2																																																																																																																																																																																																																								
Soul Breath	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Aggro Doll		1																																							2																																																																																																																																																																																																																								
Rock skin	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Pain Arrow	11	1	1	1	202	1								101																10001		1									1																																																																																																																																																																																																																								
Hustler	10	1	2	100	1	1											7																								2									1																																																																																																																																																																																																															
Pulverize	21	1	1	1	202	1	1000		50	400				109						10																					1																																																																																																																																																																																																																								
Earth Attack	21	1	1	1	202	1								110						10																					1																																																																																																																																																																																																																								
Defiance	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Sure Sight	9	1	2	111	1															10																																																																																																																																																																																																																																													
Critical Hit	9	1	2	111	1		1000		3	150				106																																																																																																																																																																																																																																																			
Epic Blow	9	1	2	111	1				5	150				106																																																																																																																																																																																																																																																			
Death Heat	9	1	2	111	1				7	200				106																																																																																																																																																																																																																																																			
Evade	9	1	2	111	1															10																																																																																																																																																																																																																																													
Free Dodging	9	1	2	111	1															10																																																																																																																																																																																																																																													
Predict	9	1	2	111	1															10																																																																																																																																																																																																																																													
Sprite Protect	9	1	2	111	1															10																																																																																																																																																																																																																																													
Sprite Shining	9	1	2	111	1															10																																																																																																																																																																																																																																													
Mana Gain	9	1	2	111	1															10																																																																																																																																																																																																																																													
Dodge	9	1	2	111	1				1											10																																																																																																																																																																																																																																													
Dash	9	1	2	111	1															116																																																																																																																																																																																																																																													
Flame Core	3	1	1	1	202	1			3					103																											1																																																																																																																																																																																																																								
Napalm Flame	21	1	1	1	202	1			3					103																10002		1									1																																																																																																																																																																																																																								
Blaze Wall	3	1	1	1	404	1			3					103																											1																																																																																																																																																																																																																								
Earthquake	4	1	1	101	304	1			4					103																											1																																																																																																																																																																																																																								
Mass Snare	11	1	1	101	304	1			4					103						116												1									1																																																																																																																																																																																																																								
Whirlwind	5	1	1	1	202	1			5					103					1																						1																																																																																																																																																																																																																								
Hell Typhoon	5	1	1	1	1304	1			5					103																											1																																																																																																																																																																																																																								
Water Spout	21	1	1	1	202	1			2					103						10										10002		1									1																																																																																																																																																																																																																								
Acid Rain	21	1	1	101	304	1			2					103																10002		1									1																																																																																																																																																																																																																								
Whirlpool	6	1	1	1	1304	1			2					103																											1																																																																																																																																																																																																																								
Magic Bolt	2	1	1	1	202	1			1					103																											1																																																																																																																																																																																																																								
Soul Chaos	2	1	1	101	304	1			1					103																											1																																																																																																																																																																																																																								
Wind Quake	21	1	1	101	304	1			5					103						10												1									1																																																																																																																																																																																																																								
Geo Shards	11	1	1	1	202	1			4					103						116												1									1																																																																																																																																																																																																																								
Reflection	10	1	2	100	1	1														10				4																	2																																																																																																																																																																																																																								
Confusion	10	1	1	1	202	1														10																					1																																																																																																																																																																																																																								
Halt	20	1	1	1	202	1											9																								1																																																																																																																																																																																																																								
Stunner	10	1	2	100	1	1	1000													10	2																				2																																																																																																																																																																																																																								
Mana Pull	10	1	2	100	1	1	1000													10																	2				2																																																																																																																																																																																																																								
Vital Conversion	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Life Restore	10	1	2	100	1	1														10																1					2																																																																																																																																																																																																																								
Power Staff	10	1	2	100	1	9			10											107																					2																																																																																																																																																																																																																								
Power Wand	10	1	2	100	1	10			11											107																					2																																																																																																																																																																																																																								
Death Mark	20	1	1	1	202	1														10																					2																																																																																																																																																																																																																								
Demolition Song	1	1	1	1	202	1								103																											2																																																																																																																																																																																																																								
Penetrate Defense	10	1	1	1	1304	1														10																					1																																																																																																																																																																																																																								
Expert Skill	10	1	2	100	1	1														10																			1		2																																																																																																																																																																																																																								
Grind Pull	11	1	1	1	202	1								103						10										10001											1																																																																																																																																																																																																																								
Testament	10	1	2	100	1	1														10	8																				2																																																																																																																																																																																																																								
Quagmire	11	1	1	1	202	1								103			3			10										10001											1																																																																																																																																																																																																																								
Mana Sequence	1	1	1	1	202	1								103																											1																																																																																																																																																																																																																								
Assimilate	10	1	2	100	1	1	1000																														1				2																																																																																																																																																																																																																								
Optimum	10	1	2	100	1	1														10														2							2																																																																																																																																																																																																																								
Critical Spells	9	1	2	111	1		1000		1	150				106						10																																																																																																																																																																																																																																													
Brilliant Charm	9	1	2	111	1				2	150					109																																																																																																																																																																																																																																																		
Chant Erection	9	1	2	111	1				4	180					109																																																																																																																																																																																																																																																		
Intense Magic	9	1	2	111	1		1000		1																									2																																																																																																																																																																																																																															
Mind Control	9	1	2	111	1															10																																																																																																																																																																																																																																													
Hawk Eye	9	1	2	111	1																													4																																																																																																																																																																																																																															
Armament	9	1	2	111	1															10																																																																																																																																																																																																																																													
Casting Mastery	9	1	2	111	1				100	85																								5																																																																																																																																																																																																																															
Physical Gain	9	1	2	111	1				100	105										10																																																																																																																																																																																																																																													
Mana Effect	9	1	2	111	1															10														2																																																																																																																																																																																																																															
Power Surge	9	1	2	111	1															10																																																																																																																																																																																																																																													
Nimbleness	9	1	2	111	1															10																																																																																																																																																																																																																																													
Endurance	9	1	2	111	1															10																																																																																																																																																																																																																																													
Mind Boost	9	1	2	111	1															10																																																																																																																																																																																																																																													
Intellect	9	1	2	111	1															10																																																																																																																																																																																																																																													
Enlarge Fierce	1	1	1	1	202	1								101																											2																																																																																																																																																																																																																								
Acrobatic Charge	21	1	1	1	1404	1								101					2	10																					2			8																																																																																																																																																																																																																					
Braking Arms	21	1	1	1	202	15								101						10																					2			7																																																																																																																																																																																																																					
Close Skirmish	21	1	1	1	202	1								101						10																					2			7																																																																																																																																																																																																																					
Precise Assault	21	1	1	1	202	16								101			1001			10																					2			8																																																																																																																																																																																																																					
Blue Dire	21	1	1	1	1304	15								101						10																					2			8																																																																																																																																																																																																																					
Recite of Breeze	21	1	1	1	1404	16								101																10001											2			7																																																																																																																																																																																																																					
Insightful X	21	1	1	1	1304	15								101						10																					2			7																																																																																																																																																																																																																					
Explosion Image	21	1	1	1	1304	1								101						10																					2			8																																																																																																																																																																																																																					
Water Dream	21	1	1	1	202	1								101						10																					2			7																																																																																																																																																																																																																					
Wounding Critical	21	1	1	1	1304	1								101																10002											2			8																																																																																																																																																																																																																					
Barrage Strike	1	1	1	1	1304	1								101																											2			7																																																																																																																																																																																																																					
