	ID	EID	OFFSET_X	OFFSET_Y	OFFSET_Z	SCALE	NODE_ID	GAP	EFFECT01	EFFECT02	EFFECT03	EFFECT04	EFFECT05
SOUL2_CLOAK_MS	149	3579	18	0	8	0.95	13	0					
SOUL2_CLOAK_MR	150	3579	24	0	8	0.86	13	0					
SOUL2_CLOAK_ME	151	3581	20	0	8	0.8	13	0					
HALLOWEEN	152	3675	0	0	0	1	-2	0					
AIR_CLOAK_SLA	153	3561	36	0	11	1.5	13	0					
AIR_CLOAK_SCI	154	3561	13	0	4.5	0.9	13	0					
AIR_CLOAK_OBI	155	3561	18	0	11	1.1	13	0					
FIRE_CLOAK_SLA	156	3562	36	0	11	1.5	13	0					
FIRE_CLOAK_SCI	157	3562	13	0	4.5	0.9	13	0					
FIRE_CLOAK_OBI	158	3562	18	0	11	1.1	13	0					
MAGIC_CLOAK_SLA	159	3566	36	0	11	1.5	13	0					
MAGIC_CLOAK_SCI	160	3566	13	0	4.5	0.9	13	0					
MAGIC_CLOAK_OBI	161	3566	18	0	11	1.1	13	0					
GROUND_CLOAK_SLA	162	3567	36	0	11	1.5	13	0					
GROUND_CLOAK_SCI	163	3567	13	0	4.5	0.9	13	0					
GROUND_CLOAK_OBI	164	3567	18	0	11	1.1	13	0					
WATER_CLOAK_SLA	165	3568	36	0	11	1.5	13	0					
WATER_CLOAK_SCI	166	3568	13	0	4.5	0.9	13	0					
WATER_CLOAK_OBI	167	3568	18	0	11	1.1	13	0					
SOUL_CLOAK_SLA	168	3571	36	0	11	1.5	13	0					
SOUL_CLOAK_SCI	169	3571	13	0	4.5	0.9	13	0					
SOUL_CLOAK_OBI	170	3571	18	0	11	1.1	13	0					
POISON_CLOAK_SLA	171	3574	36	0	11	1.5	13	0					
POISON_CLOAK_SCI	172	3574	13	0	4.5	0.9	13	0					
POISON_CLOAK_OBI	173	3574	18	0	11	1.1	13	0					
SOUL2_CLOAK_SLA	174	3579	36	0	11	1.5	13	0					
SOUL2_CLOAK_SCI	175	3579	13	0	4.5	0.9	13	0					
SOUL2_CLOAK_OBI	176	3579	18	0	11	1.1	13	0					
WINGS_OF_KING_SLA	177	3563	10	0	20	0.55	13	0					
WINGS_OF_KING_SCI	178	3563	0	0	10	0.4	13	0					
WINGS_OF_KING_OBI	179	3563	0	0	14	0.45	13	0					
WINGS_OF_ANGEL_SLA	180	3569	20	0	15	0.4	13	0					
WINGS_OF_ANGEL_SCI	181	3569	6	0	8	0.28	13	0					
WINGS_OF_ANGEL_OBI	182	3569	6	0	8	0.3	13	0					
WINGS_OF_BAT_SLA	183	3577	10	0	-13	0.4	13	0					
WINGS_OF_BAT_SCI	184	3577	-5	0	-13	0.28	13	0					
WINGS_OF_BAT_OBI	185	3577	-5	0	-11	0.32	13	0					
WINGS_OF_DEVIL_SLA	186	3578	10	0	10	0.4	13	0					
WINGS_OF_DEVIL_SCI	187	3578	8	0	8	0.28	13	0					
WINGS_OF_DEVIL_OBI	188	3578	8	0	8	0.3	13	0					
WINGS_OF_15_SLA	189	3586	26	0	10	0.9	13	0					
WINGS_OF_15_SCI	190	3586	8	0	2	0.5	13	0					
WINGS_OF_15_OBI	191	3586	12	0	7	0.65	13	0					
WINGS_OF_JUDGE_SLA	192	3576	-5	0	10	0.7	13	0					
WINGS_OF_JUDGE_SCI	193	3576	-5	0	3	0.4	13	0					
WINGS_OF_JUDGE_OBI	194	3576	-9	0	0	0.55	13	0					
WINGS_OF_MESSIAH_SLA	195	3575	20	0	15	0.5	13	0					
WINGS_OF_MESSIAH_SCI	196	3575	10	0	5	0.3	13	0					
WINGS_OF_MESSIAH_OBI	197	3575	5	0	10	0.4	13	0					
SCION_TRANSFORM	198	3677	0	0	0	1	0	0					
4TH_EVENT	199	3678	0	0	0	1	-2	0					
