MakeId	Category	Result_TID	Result_name	UsingMonster	ItemLv	MakingPrice	SucessProb	Recipe_TID	Recipe_Name	Recipe_addProb	ItemA_TID	ItemA_name	ItemA_quantity	ItemB_TID	ItemB_name	ItemB_quantity	ItemC_TID	ItemC_name	ItemC_quantity	ItemD_TID	ItemD_name	ItemD_quantity
	Cook	1009	Syrupy Sweet Potato		8	6500	70	622	Sweet Seasoning	5	4926	Finest Meat	4	4947	Finest Tail	2	4932	Finest Horn	2	640	Sweet Potato	2
	Cook	1015	Health Roast		8	6500	70	626	Spicy Seasoning	5	4926	Finest Meat	4	4941	Finest Scale	2	4935	Finest Leather	2	634	Spicy Onion	2
	Cook	1012	Health Pie		8	6500	70	625	Sour Seasoning	5	4926	Finest Meat	4	4938	Finest Feather	2	4938	Finest Feather	2	639	Milk	2
	Cook	111	Scorching Stew		8	6500	70	623	Salty Seasoning	5	4926	Finest Meat	6	4935	Finest Leather	4	4962	Finest Bug Meat	3	641	Potato	3
	Cook	112	Gentle Breeze Defense Stew		8	6500	70	624	Bitter Seasoning	5	4935	Finest Leather	6	4932	Finest Horn	4	4938	Finest Feather	3	633	Parsley	3
	Cook	113	Mist Stew		8	6500	70	627	Cool Seasoning	5	4953	Intact Bone	6	4935	Finest Leather	4	4971	Finest Claw	3	632	Lettuce	3
	Cook	114	Soil Stew		8	6500	70	622	Sweet Seasoning	5	4926	Finest Meat	6	4971	Finest Claw	4	4932	Finest Horn	3	640	Sweet Potato	3
	Cook	115	Meditation Defense Stew		8	6500	70	626	Spicy Seasoning	5	4926	Finest Meat	6	4932	Finest Horn	4	4935	Finest Leather	3	634	Spicy Onion	3
	Cook	116	Molten Stew		9	6500	70	625	Sour Seasoning	5	4926	Finest Meat	7	4974	Finest Organ	5	4947	Finest Tail	4	641	Potato	5
	Cook	117	Silence Defense Stew		9	8000	70	623	Salty Seasoning	5	4926	Finest Meat	7	4947	Finest Tail	5	4944	Finest Tooth	4	633	Parsley	5
	Cook	120	Waterfall Stew		9	8000	70	624	Bitter Seasoning	5	4926	Finest Meat	7	4944	Finest Tooth	5	4947	Finest Tail	4	632	Lettuce	5
	Cook	126	Mountain Defense Stew		9	8000	70	627	Cool Seasoning	5	4926	Finest Meat	7	4929	Finest Skin	5	4971	Finest Claw	4	640	Sweet Potato	5
	Cook	132	Transcendence Stew		9	8000	70	622	Sweet Seasoning	5	4926	Finest Meat	7	4956	Soul Struck Stone Fragment	5	4929	Finest Skin	4	634	Spicy Onion	5
	Cook	12240	Ugdrasil's Nectar	200002	10	50000	80				4941	Finest Scale	5	4944	Finest Tooth	5	1175	Gold Nugget	5	1977	Absorption Stone	5
	Cook	12241	Dikain's Nectar	200002	10	50000	80				4932	Finest Horn	5	4935	Finest Leather	5	1175	Gold Nugget	5	1977	Absorption Stone	5
	Cook	12242	Gracia's Nectar	200002	10	50000	80				4938	Finest Feather	5	4971	Finest Claw	5	1175	Gold Nugget	5	1977	Absorption Stone	5
	Cook	12243	Zian's Nectar	200002	10	50000	80				4926	Finest Meat	5	4959	Intact Blade	5	1175	Gold Nugget	5	1977	Absorption Stone	5
	Cook	12244	Syripus' Nectar	200002	10	50000	80				4965	Finest Spider Web	5	4968	Finest Bell	5	1175	Gold Nugget	5	1977	Absorption Stone	5
