TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType	StaminaPoint	PetType	StartStamina	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
1361 	Rakundel	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1362 	Doogie	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1365 	Lu	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1386 	Latiman	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
195 	Ramda	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1392 	Milfi	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1398 	Bloom	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1391 	Abrahya	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1396 	Teful	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1395 	Pekki	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1507 	Rudolf	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1800 	Rudolf Deer	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1997 	T펫	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1970 	멀쿤_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1971 	람다_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1972 	아브라햐_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
2016 	용펫_j	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 			7200	1	10800			
1640 	Doggy	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1641 	Kitty	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1580 	설이벤트쥐_A	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1581 	설이벤트쥐_B	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1582 	설이벤트쥐_C	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1583 	설이벤트쥐_D	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1584 	설이벤트쥐_E	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
132 	Membreathen Guard Commander	196625 	1 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
133 	Membreathen Guard	196625 	1 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
130 	Trilgard Guard Commander	196625 	2 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
131 	Trilgard Guard	196625 	2 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
896 	MoonElf Guard	196625 	3 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
1824 	DragonScion Guard	196625 	4 			120 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	25000 	30000 	65 	250 	100 	100 	100 	100 	100 																																																													77A0FE				0 		1 	1 								
98 	GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
97 	White GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
99 	Black GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
134 	Orc GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1 		1 	1 								
462 	MoonElf GM Elementalist	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
463 	MoonElf GM Ranger	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
886 	MoonElf GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
887 	MoonElf GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
2014 	GM Robin	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
2015 	GM Den	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
2017 	GM Andy	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	25000 	30000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0 		1 	1 								
567 	White Horse	196672 	1 			35 															9000 																																																																														1 		1 	1 								
568 	Lightly-armored White Horse	196672 	1 			50 															10500 																																																																														1 		1 	1 								
569 	Heavily-armored White Horse	196672 	1 			61 															12000 																																																																														1 		1 	1 								
436 	휴먼_고렙탈것_백마	196672 	1 			72 															13500 																																																																														1 		1 	1 								
570 	Black Horse	196672 	1 			36 															9000 																																																																														1 		1 	1 								
571 	Lightly-armored Black Horse	196672 	1 			51 															10500 																																																																														1 		1 	1 								
572 	Heavily-armored Black Horse	196672 	1 			62 															12000 																																																																														1 		1 	1 								
437 	휴먼_고렙탈것_흑마	196672 	1 			73 															13500 																																																																														1 		1 	1 								
573 	Black Desert Rhino	196672 	2 			35 															9000 																																																																														1 		1 	1 								
574 	Lightly-armored Black Desert Rhino	196672 	2 			50 															10500 																																																																														1 		1 	1 								
575 	Heavily-armored Black Desert Rhino	196672 	2 			61 															12000 																																																																														1 		1 	1 								
438 	오크_고렙탈것_백	196672 	2 			72 															13500 																																																																														1 		1 	1 								
602 	Gray Desert Rhino	196672 	2 			36 															9000 																																																																														1 		1 	1 								
