LineDelimiter	___
Transform_Remain_Notice	%d분 후 변신 상태가 풀립니다.
Transform_Restore_Notice	변신 상태가 풀립니다.
Item_Already_Use_Transform	변신 상태에서는 변신 물약을 사용할 수 없습니다.
Teleport_TransformChar	변신 상태에서는 포탈을 사용할 수 없습니다.
Teleport_ReturnOnly	되돌아가기
Teleport_CombatMode	전투 상태에서는 포탈을 이용할 수 없습니다.

Item_Split_Stack_Count	몇개로 나누시겠습니까?
Item_TryUseTelScrollInPvPZone	위험전투지역에서는 이동문서를 사용할 수 없습니다
Item_TryUseTelScrollOnDead	죽은 상태에선 이동문서를 사용할 수 없습니다.
Item_TryUseTelScrollOnTransform	변신 상태에서는 이동문서를 사용할 수 없습니다.
Item_TryUseTelScrollOnCombat	전투 상태에서는 이동문서를 사용할 수 없습니다.

Guild_Main_Text	______길드를 만들텐가?___아니면 해체 할 텐가?______길드의 생성은 캐릭터 레벨___%d 이상이 되야 신청 가능 하다네.______또` 길드 하나에 소속이___되어 있다면 다른 길드에___들어가거나 만드는 일은___할 수 없네.
Guild_Create_Text	______만들고자 하는 길드의___이름을 아래의 빈 칸에___적은 후 \만들기\를 해주게.______그리고 길드의 권한을 제한하는___비밀번호를 입력하는___작업도 필요하네.___(4자리~12자리)______특수문자` 한자 이름은___등록이 안되!
Guild_Destroy_Text	______길드를 해체하려나?______해체 할 경우___길드마스터의 본인확인을___위해 길드 비밀번호를___확인 해야 해.______아래 입력 칸에___비밀번호를 넣게!
Guild_Notice_Text	______[ 공지사항 ]______%s
Guild_Create_Confirm_Text	정말로 해당 길드 이름으로 길드를___만들겠는가?
Guild_Create_Complete_Text	길드 \%s\이 만들어 졌군!___이제부터 자네는 \%s\의___길드 마스터 \%s\이라네.______소중하게 사용하라구!

Guild_Name	길드의 이름
Guild_Password	비밀번호 입력
Guild_Password_Check	비밀번호 확인
Guild_Destroy_Name	해체할 길드의 이름 :___\%s\
Guild_Guild_Info	길드이름 : %s___길마이름 : %s
Guild_Member_Info	접속자 현황 : %d / %d___%d승 / %d무 / %d패
Guild_Master	마스터
Guild_Member	길드원

Bank_InputMoneyConfirm	위의 금액을 입금 하시겠습니까?
Bank_OutputMoneyConfirm	위의 금액을 출금 하시겠습니까?

Chat_Party_Header	[파티]
Chat_Guild_Header	[길드]
Chat_Whisper_Header	[귓속말]
Chat_WhisperSelf_header	[보내기]
Chat_Notice_Header	[공지사항]
Chat_System_Header	[System]
Chat_Area_Header	[외치기]
Chat_Block_Whisper_Msg	님이 귓속말을 거부 중입니다.
Chat_Offline_Whisper_Target_Msg	님은 현재 접속중이 아닙니다.
Chat_Filter_Text	고운말을 사용합시다.

Chat_Tab_Normal	일반
Chat_Tab_Party	파티
Chat_Tab_Guild	길드
Chat_Tab_Whisper	귓말

Guild_Msg_NeedMoreLevel	캐릭터 레벨이 20이상이 되어야 길드를 만들 수 있습니다.
Guild_Msg_NeedMoreMoney	겔드가 %d이상 있어야 길드를 만들 수 있습니다.
Guild_Msg_NeedItem	%s이 %d개이상 있어야 길드를 만들 수 있습니다.
Guild_Msg_AlreadyMember	길드에 가입한 상태입니다. 탈퇴 후 다시 오십시오.
Guild_Msg_MaxMember	길드원이 다 찾습니다.
Guild_Msg_ExistGuildID	같은 길드명이 이미 있습니다. 다시 작성해주십시오.
Guild_Msg_UseSpecialChar	특수 문자는 사용할 수 없습니다.
Guild_Msg_JoinFail	가입에 실패하였습니다.
Guild_Msg_JoinReject	상대방이 가입을 거절하였습니다.
Guild_Msg_Join	%s님이 새 길드원이 되었습니다.
Guild_Msg_InvalidPassword	비밀번호가 맞지 않습니다.
Guild_Msg_CreateComplete	길드를 생성하였습니다.
Guild_Msg_Destroy	길드가 해체되었습니다.
Guild_Msg_LevelUp	레벨 20이 되면 길드를 만들 수 있습니다.
Guild_Msg_Leave	길드원 %s님이 탈퇴하였습니다.
Guild_Msg_ForcedLeave	길드원 %s님이 강퇴당하였습니다.
Guild_Msg_CheckPassword	비밀번호를 다시 확인해 주십시오.
Guild_Destroy_Confirm_Text	정말로 해당 길드를 해체 할건가?
Guild_Destroy_Complete_Text	길드마스터의 권한으로___\%s\ 이 해체 되었군.______길드 마스터 : \%s\

Product_Main_Text	어서오게` 용맹스런 멤브레덴의___용사여! 만물상에 온것을___환영하네.______이곳에서는 아이템을 조합할___수도` 타 종족의 해골을 교환할___수도 있다네.______자` 무엇을 하고싶은 겐가?
Product_Select_Text	어떤 아이템을 원하는가?___한 번 골라보게.
Skeleton_Select_Text	자네가 가져온 해골이라면___이 정도 아이템으로 교환해___줄 수 있네.______자` 마음에 드는 것으로___골라보게! 어떤 것을 원하는가?
Product_Make_Text	호오~ 필요한 재료는 이미 다___가지고 있었군.\확인\ 버튼을___누르면 바로 진행하겠네.
Product_Make_Success_Text	멋지게 성공했네!______- 조합 결과물 -___%s______내게 더 볼일이 남았다면 \계속\을`___그만 두려면 \나가기\를 선택하게.
Product_Make_Fail1_Text	이 아이템의 조합은 매우___까다롭네. 주문서만 있었다면___성공할 수 있었을텐데…___미안하지만 다음에 다시___의뢰해주게.
Product_Make_Fail2_Text	아무리 간단한 아이템이라도___운이 뒤따르지 않는다면___실패할수도 있네.___미안하지만 다음에 다시___의뢰해 주게.
Skeleton_Make_Text	이 아이템을 가지겠는가?______- 요구재료 -______[%s]___%s %d개
Skeleton_Make_Success_Text	여기 있네.___자네한테 맞는 아이템인지는___모르겠으나 요긴하게___사용하길 바라네.______- 교환 결과물 -___%s______내게 더 볼일이 남았다면 \계속\을`___그만 두려면 \나가기\를 선택하게.

Guild_Msg_AlreadyMember2	이미 길드에 가입한 상태입니다.
Guild_Msg_ForcedLeave2	길드에서 강퇴당하였습니다.
Guild_Msg_Member_Online	%s 님이 접속하였습니다.
Guild_Msg_Member_Offline	%s 님이 접속을 종료하였습니다.

Option_Msg_NEAR	가까움
Option_Msg_NORMAL	보통
Option_Msg_FAR	멀리
Option_Msg_ALL	전체
Option_Msg_OFF	끄기(Off)
Option_Msg_ON	켜기(On)
Option_Msg_LOW	하
Option_Msg_MEDIUM	중
Option_Msg_HIGH	상
Option_Msg_TYPE1	타잎1
Option_Msg_TYPE2	타잎2
Option_Msg_TYPE3	타잎3
Option_Msg_TYPE4	타잎4

CharacterAttr	속성
CharacterAttrMagic	마법
CharacterAttrWater	물
CharacterAttrFire	불
CharacterAttrEarth	땅
CharacterAttrAir	공기
CharacterAttrPoison	독
CharacterAttrIce	얼음
CharacterAttrLightening	번개
CharacterAttrDamage	공격
CharacterAttrResist	저항
CharacterAttrDamageRate	공격력
CharacterAttrHPRate	생명력

SkillMainDialogMsg	스킬트레이너로 부터 스킬을 구입할 수 있습니다. 구입은 클래스 구분 없이 누구나 가능하지만` 구입 후 익히는 것은 해당 클래스만이 가능합니다. 또` 이미 익힌 스킬을 업그레이드 시키는 것이 가능합니다. 어떤 것을 하시겠습니까?
SkillLevel	단계
SkillBuy	배우기
SkillUpgrade	업그레이드
Skill_Cannot_Apply_Effect	이미 더 강한 효과가 적용되어 있습니다
Skill_FailInitialize	스킬 초기화에 실패하였습니다.
Skill_ConfirmInitialize	모든 스킬을 초기화 합니다.___스킬 획득 비용은 인벤토리로 모두 들어가며`___초기화는 한번만 할 수 있습니다.___초기화를 하시겠습니까?
	
REFINE_MAIN_EDIT	화려한 마법의 빛을 중심으로___신비하게 회전하는 구가 있고___그 주변으로 복잡해 보이는___장치들이 작동 중이다.___가까이 다가서자 머리 속에서___다음과 같은 말이 들린다.______\정령의 계시를 받은 자여.___아콘의 뒤를 쫓는 자여.___아크로드의 길에 들어선 자여.___그대는 정령석의 빛을 쫓아___이 곳에 왔노라.___무엇을 원하는가?\
REFINE_SUB_TITLE_STONE	상위 정령석 정제
REFINE_SUB_TITLE_SKEL	상위 해골 정제
REFINE_SUB_TITLE_ITEM	아이템 조합
REFINE_SUB_NOTIFY_STONE	같은 종류` 레벨의 정령석만 정제할 수 있습니다.
REFINE_SUB_NOTIFY_SKEL	같은 종류` 레벨의 해골만 정제할 수 있습니다.
REFINE_SUB_NOTIFY_ITEM	아이템 조합 설명서와 재료를 정제기 위에 올려 놓으십시오.
REFINE_SUCCESS_STONE	%s 1개가 생성되었습니다.
REFINE_INSITEM_STONE	정령석 개수가 부족합니다.
REFINE_DIFITEM_STONE	같은 종류의 정령석만 정제할 수 있습니다.
REFINE_INSMONEY_STONE	정제에 필요한 겔드가 부족합니다.
REFINE_UNABLELOAD_STONE	정령석을 더 이상 올려 놓을 수 없습니다.
REFINE_UNREFINABLE_STONE	정령석만 정제할 수 있습니다.
REFINE_FULLINVEN_STONE	인벤토리가 가득 차 있습니다.
REFINE_REFINABLE_STONE	%s 1개로 정제 가능합니다.
REFINE_SUCCESS_SKEL	%s 1개가 생성되었습니다.
REFINE_INSITEM_SKEL	해골 개수가 부족합니다.
REFINE_DIFITEM_SKEL	같은 종류의 해골만 정제할 수 있습니다.
REFINE_INSMONEY_SKEL	정제에 필요한 겔드가 부족합니다.
REFINE_UNABLELOAD_SKEL	해골을 더 이상 올려 놓을 수 없습니다.
REFINE_UNREFINABLE_SKEL	해골만 정제할 수 있습니다.
REFINE_FULLINVEN_SKEL	인벤토리가 가득 차 있습니다.
REFINE_REFINABLE_SKEL	%s 1개로 정제 가능합니다.
REFINE_SATISFYQTY_STONE	이미 정제에 필요한 재료가 충분합니다.
REFINE_SATISFYQTY_SKEL	이미 정제에 필요한 재료가 충분합니다.
REFINE_DIFITEM_ITEM	아이템 조합 설명서에 적혀있는 내용과 다릅니다. 조합 할 수 없습니다.
REFINE_SAMEATTR_ITEM	더 이상 같은 옵션으로 조합 할 수 없습니다. 동일한 정령석으로는 한번만 조합에 사용할 수 있습니다.
REFINE_INSMONEY_ITEM	정제에 필요한 겔드가 부족합니다.
REFINE_FULLINVEN_ITEM	인벤토리가 가득 차 있습니다.
REFINE_INSOPT_ITEM	무기의 옵션으로 사용된는 정령석은 5개(한묶음)로 올려야 합니다.
REFINE_INSITEM_ITEM	아이템의 개수가 틀립니다. 인벤토리에서 설명서의 개수대로 맞춘 후 올려야 합니다.
REFINE_UNNEXT_STONE	더 이상 정제할 수 없습니다.
REFINE_UNNEXT_SKEL	더 이상 정제할 수 없습니다.

PvP_Msg_EnterSafeArea	안전 지역입니다
PvP_Msg_EnterFreeArea	자유전투지역입니다
PvP_Msg_EnterFreeArea_2	다른 플레이어로부터 공격받을 수 있습니다
PvP_Msg_EnterFreeArea_3	PK로 사망해도 소지한 아이템을
PvP_Msg_EnterFreeArea_4	떨어뜨리지 않습니다.
PvP_Msg_EnterCombatArea	위험전투지역입니다
PvP_Msg_EnterCombatArea_2	PK로 사망해도 소지한 아이템을
PvP_Msg_EnterCombatArea_3	떨어뜨리지 않습니다.
PvP_Msg_EnterCombatArea_4	다른 플레이어와의 전투에서 승리할 경우
PvP_Msg_EnterCombatArea_5	해골을 획득할 수 있습니다
PvP_Msg_EnterCombatArea_6	제자리에서 부활할 수 없습니다
PvP_Msg_NowPvPStatus	다른 플레이어와 전투 상태입니다
PvP_Msg_NonePvPStatus	더 이상 다른 플레이어와 전투 상태가 아닙니다
PvP_Msg_Dead	%s 님과의 전투에서 패했습니다.
PvP_Msg_DeadGuildMember	길드원 %s 님이 %s 님에게 죽임을 당했습니다
PvP_Msg_DeadPartyMember	파티원 %s 님이 %s 님에게 죽임을 당했습니다
PvP_Msg_ItemDrop	%s 을(를) 떨어뜨렸습니다
PvP_Msg_ItemAntiDrop	%s 아이템이 드랍되려고 하였으나 보호의 부적의 작용으로 인해 보호되었습니다.
PvP_Msg_StartInvincible	일시적으로 무적상태가 됩니다
PvP_Msg_EndInvincible	캐릭터의 무적상태가 해제됩니다
PvP_Msg_CannotUseTeleport	위험전투지역에서는 이동문서를 사용할 수 없습니다
PvP_Msg_KillPlayer	%s 님과의 전투에서 승리했습니다.
PvP_Msg_MoveBattleSqaure	배틀스퀘어로 이동했습니다
PvP_Msg_LeaveGuildOrParty	길드를 탈퇴하거나 파티를 탈퇴한 후
PvP_Msg_LeaveGuildOrParty_2	입장 가능합니다
PvP_Msg_CannotInviteGuild	위험전투지역에서는 길드원을 초대할 수 없습니다
PvP_Msg_CannotInviteParty	위험전투지역에서는 파티원을 초대할 수 없습니다
PvP_Msg_TargetInvincible	%s 님은 현재 무적상태입니다
PvP_Msg_NotEnoughLevel	%d 레벨 이상 입장할 수 있습니다
PvP_Msg_CannotInviteMember	위험전투지역에 있는 플레이어는 길드초대가 불가능합니다
PvP_Msg_CannotAttackFriend	아군은 공격할 수 없습니다
PvP_Msg_CannotAttackOther	다른 플레이어에게 사용할 수 없습니다

Human	휴먼
Orc	오크
MoonElf	문엘프
Knight	나이트
Archer	아처
Wizard	메이지
Berserker	버서커
Hunter	헌터
Sorcerer	소서러
MoonElfArcher	레인저
MoonElfWizard	엘리멘탈리스트

HeadType1	타입1
FaceType1	타입1

ServerStatusGood	적음
ServerStatusAboveNormal	보통
ServerStatusNormal	많음
ServerStatusBelowNormal	혼잡
ServerStatusBad	초과
ServerStatusUnknown	닫힘

LoginSlotCharLevel	레벨
LoginSlotCharExp	경험치
LoginConfirmPassword	캐릭터를 삭제합니다. 삭제를 진행하시려면 비밀번호를 입력해 주십시오.
LoginZoomIn	캐릭터 크게 보기
LoginZoomOut	캐릭터 전체 보기
LoginRename	캐릭터명 변경
LoginConnect	접    속

CharDescHumanKnight	근접 전투에 최적화된 무기를 사용. 높은 체력과 방어를 높여주는 스킬에 의해 디펜더의 역활을 한다. 일반 공격향상과 정령저항으로 빠른 사냥 가능.
CharDescHumanArcher	"명중률과 회피율이 가장 높으며 공격과 이동 속도가 빠름. 높은 명중률, 몬스터 상태 악화 스킬을 이용하는 원거리 공격성향이 강한 궁수 타입."
CharDescHumanWizard	"5대 속성의 힘을 증폭하여 공격마법으로 사용. 마법사 클래스중 공격력은 떨어지나, 체력이 높다. 상태변화 스킬을 사용하는 균형적인 마법사 타입."
CharDescOrcBerserker	가장 높은 공격력을 가진 광전사타입. 체력은 낮지만 높은 공격력과 대미지 흡수 능력으로 어태커의 성향이 강하다. 파워 증폭과 이속 증가를 사용하는 전사타입.
CharDescOrcHunter	데미지는 약하지만 몬스터의 어그로를 조절하는 유일한 클래스. 물리공격에 대한 회피율이 높다. 모든 상태 약화 스킬에 대한 방어스킬을 보유. 균형적인 궁수타입.
CharDescOrcSorcerer	체력은 낮으나 강한 원거리 속성공격력을 가지고 있다. 체력을 보완하는 흡수스킬과 효율적인 공격을 위한 상태 변화스킬에 능한 마법사타입.
CharDescMoonElfArcher	"강력한 공격을 원동력으로 하는 레인저형의 궁수로 텔레포트, 트랩, 능력흡수, 투명스킬과 같은 다양한 패턴의 스킬을 자유자재로 사용하는 궁수타입."
CharDescMoonElfWizard	정령계의 해박한 지식과 소환에 소질을 가진 클래스로 정령의 힘을 이용하여 다양한 정령수를 소환하며 정령수와 자신을 위한 스킬을 사용하는 마법사타입.

Party_Create_Message	사냥으로 획득한 겔드가 자동 분배됩니다.
Party_Create_Message_2	파티 메시지 명령어는 /P 입니다.
Party_Destroy_Message	파티가 해제되었습니다.
Party_Not_In_Range	가까이가서 파티 초대 해주세요.
Party_Request_Recall	%s 님이 소환을 요청하셨습니다. 소환을 수락하시겠습니까?

Guild_Msg_Battle_Not_Exist_Guild	해당 길드가 존재하지 않습니다.
Guild_Msg_Battle_Adjust_Duration	길드전 시간은 5분에서 180분 (3시간) 사이입니다.
Guild_Msg_Battle_Master_Offline	길드마스터가 미접속 상태입니다.
Guild_Msg_Battle_Not_Request_Status	길드전을 신청할 수 없는 상태입니다.
Guild_Msg_Battle_Not_Enough_Member	길드원이 %d인 이상이어야 가능합니다.
Guild_Msg_Battle_Not_Enough_Level	길드원 레벨합이 %d 이상이어야 가능합니다.
Guild_Msg_Battle_Not_Request_Status2	상대 길드가 신청을 받을 수 없습니다.
Guild_Msg_Battle_Request	길드전 신청을 하였습니다.
Guild_Msg_Battle_Accept	%d 분 후 길드전이 시작됩니다.
Guild_Msg_Battle_Reject	길드전을 거절하였습니다.
Guild_Msg_Battle_Reject_By_Other	상대 길드가 길드전을 거절하였습니다.
Guild_Msg_Battle_Cancel_Passed_Time	시작 %d분 전 부터는 취소할 수 없습니다.
Guild_Msg_Battle_Cancel_Request	길드전 취소신청을 하였습니다.
Guild_Msg_Battle_Cancel_Reject	길드전 취소신청을 거절하였습니다.
Guild_Msg_Battle_Cancel_Reject_By_Other	상대 길드가 길드전 취소를 거절하였습니다.
Guild_Msg_Battle_Cancel_Accept	길드전이 취소되었습니다.
Guild_Msg_Battle_Cannot_Request_GG	시작 전까지는 패배선언을 할 수 없습니다.
Guild_Msg_Battle_Start	길드전이 시작되었습니다.
Guild_Msg_Battle_Win	승리!
Guild_Msg_Battle_Draw	무승부!
Guild_Msg_Battle_Lose	패배!
Guild_Msg_Battle_Win_By_GG	기권승
Guild_Msg_Battle_Lose_By_GG	기권패
Guild_Msg_Battle_Win2	%d : %d 로 승리하였습니다.
Guild_Msg_Battle_Draw2	%d : %d 로 무승부 되었습니다.
Guild_Msg_Battle_Lose2	%d : %d 로 패배하였습니다.
Guild_Msg_Battle_Win_By_GG2	기권승 하였습니다.
Guild_Msg_Battle_Lose_ByGG2	기권패 하였습니다.
Guild_Msg_Battle_Not_Usable	길드전 중에는 할 수 없습니다.

Customize_UseLevel	요구 레벨
Customize_PriceMoney	비용
Customize_PriceSkull	해골
Customize_HairStyle	머리 스타일
Customize_FaceStyle	얼굴 스타일
Customize_TotalPriceMoney	총 소모 비용
Customize_TotalPriceSkull	총 소모 해골
Customize_BuyPriceFormat	비용 : %d 겔드
Customize_FaceChangeFormat	%s 모습으로 바뀌었습니다.
Customize_HairChangeFormat	%s 로 바뀌었습니다.

Party_Item_Division_Sequence	순차적 획득
Party_Item_Division_Free	자유 획득
Party_Item_Division_Damage	기여도 획득
Party_Exp_Division_Damage	기여도 분배
Party_Exp_Division_Level	레벨균등분배
Party_Invite_Failed_Self	초대가 불가능합니다.
Party_Invite_Failed_No_Leader	파티장만 사용할 수 있습니다.
Negative_Text_Color	16711680
Positive_Text_Color	65280

Option_Party_Off	파티 초대 메시지를 차단합니다.
Option_Party_On	파티 초대를 받을 수 있습니다.
Option_Trade_Off	거래 신청 메시지를 차단합니다.
Option_Trade_On	거래 신청을 받을 수 있습니다.
Option_Guild_Off	길드 초대 메시지를 차단합니다.
Option_Guild_On	길드 초대를 받을 수 있습니다.
Option_GBattle_Off	길드전 신청 메시지를 차단합니다.
Option_GBattle_On	길드전 신청 받기가 가능합니다.
Option_Battle_Off	결투 신청 메시지를 차단합니다.
Option_Battle_On	결투 신청 받기가 가능합니다.

Option_Party_Off_User	%s 님은 현재 파티 거부 상태입니다.
Option_Trade_Off_User	%s 님은 현재 거래 거부 상태입니다.
Option_Guild_Off_User	%s 님은 현재 길드 초대 거부 상태입니다.
Option_GBattle_Off_User	%s 길드는 현재 길드전 거부 상태입니다.
Option_Battle_Off_User	%s 님은 현재 결투 거부 상태입니다.
Option_Aleady_Set	이미 적용되어 있습니다.

Party_Text_Color	4286316493
Party_Add_Damage	파티 추가 공격력 %d 을 얻었습니다.
Party_Add_Defense	파티 추가 방어력 %d 을 얻었습니다.
Party_Add_HPMP	파티 추가 최대 HP MP %d 을 얻었습니다.
Party_Add_None	파티장과 레벨차가 21이상이므로 파티 추가 능력치가 적용되지 않습니다.

Guild_CurrentMaxMember	_________ 가입길드원 20인 이상인 길드만___사용 가능합니다._________현재 길드 최대 인원 %d명___10명씩 늘릴수 있습니다.
Guild_NextMaxMember	___%d명으로 증가.______비용 : %s겔드______(%s)의 해골 %d개
Guild_GuildDetailInfo	길드명 : %s___레벨 : %d___길드마스터 : %s___길드인원 : %d/%d______길드전 여부 : %s
Guild_GuildMemberInfo	___ 캐릭터명 : %s Lv.%d______ 종족 : %s___ 클래스 : %s
Guild_Not_Enought_Gheld	길드인원증가를 위한 겔드가 부족합니다.
Guild_Not_Enought_Skull	길드인원증가를 위한 해골이 부족합니다.
Guild_Notice_Info	길드명 :___ %s___길드마스터 :___ %s___길드인원 :___ %d/%d___현재접속인원 :___ %d

Guild_SelectPageColor	4294963400
Guild_DeselectPageColor	4286611584

Guild_System_Message_Color	4294967091

Guild_Leave_Error_Master	길드 마스터는 탈퇴가 불가능합니다.
Guild_No_Exist_Member	%s님은 길드원이 아닙니다.
Guild_Invalid_Search_ID	잘못된 캐릭터명입니다. 다시 입력해주십시오.

Guild_List_Battle_Button_Text	길드전 신청
Guild_List_Join_Request_Button_Text	길드가입

Guild_Notice_Detail_NoGuildMember	___기존에 있는 길드에 가입하거나  길드를 만들어___활동할 수 있습니다.______Lv.20이상이 되면 길드 조합장을 통해 길드 창설이 가능합니다.
Guild_Notice_Detail_RemainLeaveTime	탈퇴 남은 시간: %d%s

Guild_No_Exist_Search_Guild	존재 하지 않는 길드명입니다.

Guild_Join_Request_Self	%s님이 길드 가입신청을 했습니다.
Guild_Member_Join_Request	가입
Guild_Member_Leave_Request	탈퇴

Time_Unit_Hour	시간
Time_Unit_Minute	분
Time_Uint_Second	초
Time_Unit_Day	낮
Time_Unit_Night	밤

Guild_Leave_Request_Self	길드원 %s님이 탈퇴신청을 하셨습니다.

Guild_Join_Allow_Button_Text	가입 허가
Guild_Leave_Allow_Button_Text	탈퇴 허가

Guild_Rename_Use_Special_Char	특수 문자는 사용할 수 없습니다.
Guild_Rename_Exist_Guild_ID	같은 길드명이 이미 있습니다. 다시 작성해주십시오.
Guild_Rename_Not_Master	길드 마스터만이 길드이름을 바꿀 수 있습니다.
Guild_Rename_Imposible_Guild_ID	길드이름을 바꾸실 수 없습니다.
Guild_Rename_Success	길드이름이 바뀌었습니다.

LOTTERYBOX_CONVERSION_DONE	%s를 열어 %s %d개를 획득하였습니다.
LOTTERY_KEY_NOT_USABLE	일반 인벤토리를 열고 보물상자를 우클릭하십시오.
LOTTERYBOX_NEEDS_GOLD_KEY	금보물상자를 열기 위해서는 보물상자의 금열쇠가 필요합니다.
LOTTERYBOX_NEEDS_SILVER_KEY	은보물상자를 열기 위해서는 보물상자의 은열쇠가 필요합니다.

Guild_CanNot_Increase_MaxMember	_________더 이상 길드인원을___증가시킬 수 없습니다.

SummonsPropensityAttack	공격형
SummonsPropensityDefense	방어형
SummonsPropensityShadow	그림자형

TameFailureMaxCount	더 이상 아군으로 변화시킬 수 없습니다.
TameFailureInvalidTarget	아군으로 변화시킬 수 없습니다.
TameFailureAlreadyTaming	아군으로 변화할 수 없는 상태입니다.
TameFailureMiss	아군으로 변화하기가 실패하였습니다.
FixedFailureMaxCount	더 이상 사용할 수 없습니다.
SummonsFailureMaxCount	더 이상 소환할 수 없습니다.

TransparentFailureForCombat	전투 중에는 인비저블 스킬을 사용할 수 없습니다.

