name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_swashbuckler	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_obiter	require_class_summoner	require_class_scion	require_level	require_point	require_heroic_point	require_charisma_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	dmg_heroic	damage_thunder	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	dmg_heroic_percent	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp	cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_heroic	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	heroic_reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	stun_generate_time	critical	skill_range	skill_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	time_control	item_parts	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	summons_count	bonus_exp	bonus_money	bonus_drop_rate	bonus_charisma_add_rate	level_diff	divide_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	dmg_min_heroic	dmg_max_heroic	def_point_heroic	heroic_melee_Resistance	heroic_ranged_Resistance	heroic_magic_Resistance	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_MAGNIFY	movement	atk_speed
	3	0	1	1	1			1										16	1														130													18				1260	7260	1260				2																																									3000				40																		960																																																																																																																																																							
	4	0	1	1	1			1										19	1														140													21				1260	7260	1260				2																																									3000				45																		1600																																																																																																																																																							
	5	0	1	1	1			1										22	1														150													24				1260	7260	1260				2																																									3000				50																		2400																																																																																																																																																							
	6	0	1	1	1			1										25	1														160													27				1260	7260	1260				2																																									3000				55																																																																																																																																																																									
	7	0	1	1	1			1										28	1														170													30				1260	7260	1260				2																																									3000				60																																																																																																																																																																									
	8	0	1	1	1			1										31	1														180													33				1260	7260	1260				2																																									3000				65																																																																																																																																																																									
	9	0	1	1	1			1										34	1														190													36				1260	7260	1260				2																																									3000				70																																																																																																																																																																									
	10	0	1	1	1			1										37	1														200													39				1260	7260	1260				2																																									3000				75																																																																																																																																																																									
	11	0	1	1	1			1										40	1														210													42				1260	7260	1260				2																																									3000				80																																																																																																																																																																									
	12	0	1	1	1			1										43	1														220													45				1260	7260	1260				2																																									3000				85																																																																																																																																																																									
	13	0	1	1	1			1										46	1														230													48				1260	7260	1260				2																																									3000				90																																																																																																																																																																									
	14	0	1	1	1			1										49	1														240													51				1260	7260	1260				2																																									3000				95																																																																																																																																																																									
	15	0	1	1	1			1										52	1														250													54				1260	7260	1260				2																																									3000				100																																																																																																																																																																									
	16	0	1	1	1			1										55	1														260													57				1260	7260	1260				2																																									3000				100																																																																																																																																																																									
	17	0	1	1	1			1										58	1														270													60				1260	7260	1260				2																																									3000				100																																																																																																																																																																									
	18	0	1	1	1			1										61	1														280													63				1260	7260	1260				2																																									3000				100																																																																																																																																																																									
	19	0	1	1	1			1										64	1														290													66				1260	7260	1260				2																																									3000				100																																																																																																																																																																									
	20	0	1	1	1			1										67	1														300													69				1260	7260	1260				2																																									3000				100																																																																																																																																																																									
Triple Slash	1	0	1		1			1										16	1														120													30				1490	7490	1490			3	2																																																														960																																																																																																																																																								
	2	0	1		1			1										19	1														130													35				1490	7490	1490			3	2																																																															3200																																																																																																																																																							
	3	0	1		1			1										22	1														140													40				1490	7490	1490			3	2																																																															7200																																																																																																																																																							
	4	0	1		1			1										25	1														150													45				1490	7490	1490			3	2																																																															12800																																																																																																																																																							
	5	0	1		1			1										28	1														160													50				1490	7490	1490			3	2																																																															28000																																																																																																																																																							
	6	0	1		1			1										31	1														170													55				1490	7490	1490			3	2																																																																																																																																																																																																																						
	7	0	1		1			1										34	1														180													60				1490	7490	1490			3	2																																																																																																																																																																																																																						
	8	0	1		1			1										37	1														190													65				1490	7490	1490			3	2																																																																																																																																																																																																																						
	9	0	1		1			1										40	1														200													70				1490	7490	1490			3	2																																																																																																																																																																																																																						
	10	0	1		1			1										43	1														210													75				1490	7490	1490			3	2																																																																																																																																																																																																																						
	11	0	1		1			1										46	1														220													80				1490	7490	1490			3	2																																																																																																																																																																																																																						
	12	0	1		1			1										49	1														230													85				1490	7490	1490			3	2																																																																																																																																																																																																																						
	13	0	1		1			1										52	1														240													90				1490	7490	1490			3	2																																																																																																																																																																																																																						
	14	0	1		1			1										55	1														250													95				1490	7490	1490			3	2																																																																																																																																																																																																																						
	15	0	1		1			1										58	1														260													100				1490	7490	1490			3	2																																																																																																																																																																																																																						
	16	0	1		1			1										61	1														270													105				1490	7490	1490			3	2																																																																																																																																																																																																																						
	17	0	1		1			1										64	1														280													110				1490	7490	1490			3	2																																																																																																																																																																																																																						
	18	0	1		1			1										67	1														290													115				1490	7490	1490			3	2																																																																																																																																																																																																																						
	19	0	1		1			1										70	1														300													120				1490	7490	1490			3	2																																																																																																																																																																																																																						
	20	0	1		1			1										73	1														310													125				1490	7490	1490			3	2																																																																																																																																																																																																																						
Blade Sting	1	0	1		1			1										22	1														160	80												40				1320	7320	1320				2																																																														2400																																																																																																																																																								
	2	0	1		1			1										25	1														170	85												45				1320	7320	1320				2																																																															6400																																																																																																																																																							
	3	0	1		1			1										28	1														180	90												50				1320	7320	1320				2																																																															16800																																																																																																																																																							
	4	0	1		1			1										31	1														190	95												55				1320	7320	1320				2																																																															32000																																																																																																																																																							
	5	0	1		1			1										34	1														200	100												60				1320	7320	1320				2																																																															80000																																																																																																																																																							
	6	0	1		1			1										37	1														210	105												65				1320	7320	1320				2																																																																																																																																																																																																																						
	7	0	1		1			1										40	1														220	110												70				1320	7320	1320				2																																																																																																																																																																																																																						
	8	0	1		1			1										43	1														230	115												75				1320	7320	1320				2																																																																																																																																																																																																																						
	9	0	1		1			1										46	1														240	120												80				1320	7320	1320				2																																																																																																																																																																																																																						
	10	0	1		1			1										49	1														250	125												85				1320	7320	1320				2																																																																																																																																																																																																																						
	11	0	1		1			1										52	1														260	130												90				1320	7320	1320				2																																																																																																																																																																																																																						
	12	0	1		1			1										55	1														270	135												95				1320	7320	1320				2																																																																																																																																																																																																																						
	13	0	1		1			1										58	1														280	140												100				1320	7320	1320				2																																																																																																																																																																																																																						
	14	0	1		1			1										61	1														290	145												105				1320	7320	1320				2																																																																																																																																																																																																																						
	15	0	1		1			1										64	1														300	150												110				1320	7320	1320				2																																																																																																																																																																																																																						
	16	0	1		1			1										67	1														310	155												115				1320	7320	1320				2																																																																																																																																																																																																																						
	17	0	1		1			1										70	1														320	160												120				1320	7320	1320				2																																																																																																																																																																																																																						
	18	0	1		1			1										73	1														330	165												125				1320	7320	1320				2																																																																																																																																																																																																																						
	19	0	1		1			1										76	1														340	170												130				1320	7320	1320				2																																																																																																																																																																																																																						
	20	0	1		1			1										79	1														350	175												135				1320	7320	1320				2																																																																																																																																																																																																																						
Stun Shock	1	0	1	1	1			1										22	1														150													40				1330	7330	1330				2																																									3000				30																	2400																																																																																																																																																								
	2	0	1	1	1			1										25	1														160													45				1330	7330	1330				2																																									3000				35																		6400																																																																																																																																																							
	3	0	1	1	1			1										28	1														170													50				1330	7330	1330				2																																									3000				40																		16800																																																																																																																																																							
	4	0	1	1	1			1										31	1														170													55				1330	7330	1330				2																																									3000				45																		32000																																																																																																																																																							
	5	0	1	1	1			1										34	1														180													60				1330	7330	1330				2																																									3000				50																		80000																																																																																																																																																							
	6	0	1	1	1			1										37	1														190													65				1330	7330	1330				2																																									3000				55																																																																																																																																																																									
	7	0	1	1	1			1										40	1														200													70				1330	7330	1330				2																																									3000				60																																																																																																																																																																									
	8	0	1	1	1			1										43	1														210													75				1330	7330	1330				2																																									3000				65																																																																																																																																																																									
	9	0	1	1	1			1										46	1														220													80				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	10	0	1	1	1			1										49	1														230													85				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	11	0	1	1	1			1										52	1														240													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	12	0	1	1	1			1										55	1														250													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	13	0	1	1	1			1										58	1														260													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	14	0	1	1	1			1										61	1														270													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	15	0	1	1	1			1										64	1														280													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	16	0	1	1	1			1										67	1														290													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	17	0	1	1	1			1										70	1														300													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	18	0	1	1	1			1										73	1														310													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	19	0	1	1	1			1										76	1														320													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
	20	0	1	1	1			1										79	1														330													90				1330	7330	1330				2																																									3000				70																																																																																																																																																																									
Swing shot	1	0	1		1			1										22	1														170													40				1260	7260	1260						2	4																																																											2400																																																																																																																																																								
	2	0	1		1			1										25	1														180													45				1260	7260	1260						2	4																																																												6400																																																																																																																																																							
	3	0	1		1			1										28	1														190													50				1260	7260	1260						2	4																																																												16800																																																																																																																																																							
	4	0	1		1			1										31	1														200													55				1260	7260	1260						2	4																																																												32000																																																																																																																																																							
	5	0	1		1			1										34	1														210													60				1260	7260	1260						2	4																																																												80000																																																																																																																																																							
	6	0	1		1			1										37	1														220													65				1260	7260	1260						2	4																																																																																																																																																																																																																			
	7	0	1		1			1										40	1														230													70				1260	7260	1260						2	4																																																																																																																																																																																																																			
	8	0	1		1			1										43	1														240													75				1260	7260	1260						2	4																																																																																																																																																																																																																			
	9	0	1		1			1										46	1														250													80				1260	7260	1260						2	4																																																																																																																																																																																																																			
	10	0	1		1			1										49	1														260													85				1260	7260	1260						2	4																																																																																																																																																																																																																			
	11	0	1		1			1										52	1														270													90				1260	7260	1260						2	4																																																																																																																																																																																																																			
	12	0	1		1			1										55	1														280													95				1260	7260	1260						2	4																																																																																																																																																																																																																			
	13	0	1		1			1										58	1														290													100				1260	7260	1260						2	4																																																																																																																																																																																																																			
	14	0	1		1			1										61	1														300													105				1260	7260	1260						2	4																																																																																																																																																																																																																			
	15	0	1		1			1										64	1														310													110				1260	7260	1260						2	4																																																																																																																																																																																																																			
	16	0	1		1			1										67	1														320													115				1260	7260	1260						2	4																																																																																																																																																																																																																			
