Item Set	Item TID	Probability	Skill Level			
	4921	20				
	4933	25				
	4943	10				
	4925	10				
	4934	5				
	4944	5				
	4942	25	13			
	4921	20				
	4933	20				
	4943	10				
	4925	10				
	4934	10				
	4944	5				
	4942	20	14			
	4921	20				
	4933	20				
	4943	10				
	4925	10				
	4934	10				
	4944	10				
	4942	20	15			
	4921	20				
	4933	20				
	4943	10				
	4925	10				
	4934	10				
	4944	10				
5	4954	100	1			
	4954	100	2			
	4954	95	3			
	4955	5				
	4954	95	4			
	4955	5				
	4954	90	5			
	4955	10				
	4954	90	6			
	4955	10				
	4954	85	7			
	4955	10				
	4956	5				
	4954	85	8			
	4955	10				
	4956	5				
	4954	80	9			
	4955	15				
	4956	5				
	4954	80	10			
	4955	15				
	4956	5				
	4954	75	11			
	4955	20				
	4956	5				
	4954	75	12			
	4955	20				
	4956	5				
	4954	70	13			
	4955	20				
	4956	10				
	4954	70	14			
	4955	20				
	4956	10				
	4954	70	15			
	4955	20				
	4956	10				
6	4933	40	1			
	4921	30				
	4942	30				
	4933	40	2			
	4921	30				
	4942	30				
	4933	35	3			
	4921	30				
	4942	30				
	4934	5				
	4933	35	4			
	4921	30				
	4942	30				
	4934	5				
	4933	35	5			
	4921	30				
	4942	25				
	4934	5				
	4925	5				
	4933	35	6			
	4921	30				
	4942	25				
	4934	5				
	4925	5				
	4933	35	7			
	4921	25				
	4942	25				
	4934	5				
	4925	5				
	4943	5				
	4933	35	8			
	4921	25				
	4942	25				
	4934	5				
	4925	5				
	4943	5				
	4933	30	9			
	4921	25				
	4942	25				
	4934	5				
	4925	5				
	4943	5				
	4935	5				
	4933	30	10			
	4921	25				
	4942	25				
	4934	5				
	4925	5				
	4943	5				
	4935	5				
	4933	25	11			
	4921	25				
	4942	25				
	4934	10				
	4925	5				
	4943	5				
	4935	5				
	4933	25	12			
	4921	20				
	4942	25				
	4934	10				
	4925	10				
	4943	5				
	4935	5				
	4933	25	13			
	4921	20				
	4942	20				
	4934	10				
	4925	10				
	4943	10				
	4935	5				
	4933	20	14			
	4921	20				
	4942	20				
	4934	10				
	4925	10				
	4943	10				
	4935	10				
	4933	20	15			
	4921	20				
	4942	20				
	4934	10				
	4925	10				
	4943	10				
	4935	10				
7	4921	40	1			
	4942	30				
	4933	30				
	4921	40	2			
	4942	30				
	4933	30				
	4921	35	3			
	4942	30				
	4933	30				
	4925	5				
	4921	35	4			
	4942	30				
	4933	30				
	4925	5				
	4921	35	5			
	4942	30				
	4933	25				
	4925	5				
	4943	5				
	4921	35	6			
	4942	30				
	4933	25				
	4925	5				
	4943	5				
	4921	35	7			
	4942	25				
	4933	25				
	4925	5				
	4943	5				
	4934	5				
	4921	35	8			
	4942	25				
	4933	25				
	4925	5				
	4943	5				
	4934	5				
	4921	30	9			
	4942	25				
	4933	25				
	4925	5				
	4943	5				
	4934	5				
	4926	5				
	4921	30	10			
	4942	25				
	4933	25				
	4925	5				
	4943	5				
	4934	5				
	4926	5				
	4921	25	11			
	4942	25				
	4933	25				
	4925	10				
	4943	5				
	4934	5				
	4926	5				
	4921	25	12			
	4942	20				
	4933	25				
	4925	10				
	4943	10				
	4934	5				
	4926	5				
	4921	25	13			
	4942	20				
	4933	20				
	4925	10				
	4943	10				
	4934	10				
	4926	5				
	4921	20	14			
	4942	20				
	4933	20				
	4925	10				
	4943	10				
	4934	10				
	4926	10				
	4921	20	15			
	4942	20				
	4933	20				
	4925	10				
	4943	10				
	4934	10				
	4926	10				
8	4936	40	1			
	4921	30				
	4933	30				
	4936	40	2			
	4921	30				
	4933	30				
	4936	35	3			
	4921	30				
	4933	30				
	4937	5				
	4936	35	4			
	4921	30				
	4933	30				
	4937	5				
	4936	35	5			
	4921	30				
	4933	25				
	4937	5				
	4925	5				
	4936	35	6			
	4921	30				
	4933	25				
	4937	5				
	4925	5				
	4936	35	7			
	4921	25				
	4933	25				
	4937	5				
	4925	5				
	4934	5				
	4936	35	8			
	4921	25				
	4933	25				
	4937	5				
	4925	5				
	4934	5				
	4936	30	9			
	4921	25				
	4933	25				
	4937	5				
	4925	5				
	4934	5				
	4938	5				
	4936	30	10			
	4921	25				
	4933	25				
	4937	5				
	4925	5				
	4934	5				
	4938	5				
	4936	25	11			
	4921	25				
	4933	25				
	4937	10				
	4925	5				
	4934	5				
	4938	5				
	4936	25	12			
	4921	20				
	4933	25				
	4937	10				
	4925	10				
	4934	5				
	4938	5				
	4936	25	13			
	4921	20				
	4933	20				
	4937	10				
	4925	10				
	4934	10				
	4938	5				
	4936	20	14			
	4921	20				
	4933	20				
	4937	10				
	4925	10				
	4934	10				
	4938	10				
	4936	20	15			
	4921	20				
	4933	20				
	4937	10				
	4925	10				
	4934	10				
	4938	10				
9	4966	40	1			
	4933	30				
	4957	30				
	4966	40	2			
	4933	30				
	4957	30				
	4966	35	3			
	4933	30				
	4957	30				
	4967	5				
	4966	35	4			
	4933	30				
	4957	30				
	4967	5				
	4966	35	5			
	4933	30				
	4957	25				
	4967	5				
	4934	5				
	4966	35	6			
	4933	30				
	4957	25				
	4967	5				
	4934	5				
	4966	35	7			
	4933	25				
	4957	25				
	4967	5				
	4934	5				
	4958	5				
	4966	35	8			
	4933	25				
	4957	25				
	4967	5				
	4934	5				
	4958	5				
	4966	30	9			
	4933	25				
	4957	25				
	4967	5				
	4934	5				
	4958	5				
	4968	5				
	4966	30	10			
	4933	25				
	4957	25				
	4967	5				
	4934	5				
	4958	5				
	4968	5				
	4966	25	11			
	4933	25				
	4957	25				
	4967	10				
	4934	5				
	4958	5				
	4968	5				
	4966	25	12			
	4933	20				
	4957	25				
	4967	10				
	4934	10				
	4958	5				
	4968	5				
	4966	25	13			
	4933	20				
	4957	20				
	4967	10				
	4934	10				
	4958	10				
	4968	5				
	4966	20	14			
	4933	20				
	4957	20				
	4967	10				
	4934	10				
	4958	10				
	4968	10				
	4966	20	15			
	4933	20				
	4957	20				
	4967	10				
	4934	10				
	4958	10				
	4968	10				
10	4960	55	1			
	4927	45				
	4960	55	2			
	4927	45				
	4960	50	3			
	4927	45				
	4961	5				
	4960	50	4			
	4927	45				
	4961	5				
	4960	50	5			
	4927	40				
	4961	5				
	4928	5				
	4960	50	6			
	4927	40				
	4961	5				
	4928	5				
	4960	45	7			
	4927	40				
	4961	10				
	4928	5				
	4960	45	8			
	4927	40				
	4961	10				
	4928	5				
	4960	45	9			
	4927	35				
	4961	10				
	4928	5				
	4962	5				
	4960	45	10			
	4927	35				
	4961	10				
	4928	5				
	4962	5				
	4960	45	11			
	4927	35				
	4961	10				
	4928	5				
	4962	5				
	4960	40	12			
	4927	35				
	4961	10				
	4928	10				
	4962	5				
	4960	40	13			
	4927	35				
	4961	10				
	4928	10				
	4962	5				
	4960	40	14			
	4927	30				
	4961	10				
	4928	10				
	4962	10				
	4960	40	15			
	4927	30				
	4961	10				
	4928	10				
	4962	10				
11	4930	40	1			
	4942	30				
	4927	30				
	4930	40	2			
	4942	30				
	4927	30				
	4930	35	3			
	4942	30				
	4927	30				
	4931	5				
	4930	35	4			
	4942	30				
	4927	30				
	4931	5				
	4930	35	5			
	4942	30				
	4927	25				
	4931	5				
	4943	5				
	4930	35	6			
	4942	30				
	4927	25				
	4931	5				
	4943	5				
	4930	35	7			
	4942	25				
	4927	25				
	4931	5				
	4943	5				
	4928	5				
	4930	35	8			
	4942	25				
	4927	25				
	4931	5				
	4943	5				
	4928	5				
	4930	30	9			
	4942	25				
	4927	25				
	4931	5				
	4943	5				
	4928	5				
	4932	5				
	4930	30	10			
	4942	25				
	4927	25				
	4931	5				
	4943	5				
	4928	5				
	4932	5				
	4930	25	11			
	4942	25				
	4927	25				
	4931	10				
	4943	5				
	4928	5				
	4932	5				
	4930	25	12			
	4942	20				
	4927	25				
	4931	10				
	4943	10				
	4928	5				
	4932	5				
	4930	25	13			
	4942	20				
	4927	20				
	4931	10				
	4943	10				
	4928	10				
	4932	5				
	4930	20	14			
	4942	20				
	4927	20				
	4931	10				
	4943	10				
	4928	10				
	4932	10				
	4930	20	15			
	4942	20				
	4927	20				
	4931	10				
	4943	10				
	4928	10				
	4932	10				
12	4957	40	1			
	4933	30				
	4921	30				
	4957	40	2			
	4933	30				
	4921	30				
	4957	35	3			
	4933	30				
	4921	30				
	4958	5				
	4957	35	4			
	4933	30				
	4921	30				
	4958	5				
	4957	35	5			
	4933	30				
	4921	25				
	4958	5				
	4934	5				
	4957	35	6			
	4933	30				
	4921	25				
	4958	5				
	4934	5				
	4957	35	7			
	4933	25				
	4921	25				
	4958	5				
	4934	5				
	4925	5				
	4957	35	8			
	4933	25				
	4921	25				
	4958	5				
	4934	5				
	4925	5				
	4957	30	9			
	4933	25				
	4921	25				
	4958	5				
	4934	5				
	4925	5				
	4959	5				
	4957	30	10			
	4933	25				
	4921	25				
	4958	5				
	4934	5				
	4925	5				
	4959	5				
	4957	25	11			
	4933	25				
	4921	25				
	4958	10				
	4934	5				
	4925	5				
	4959	5				
	4957	25	12			
	4933	20				
	4921	25				
	4958	10				
	4934	10				
	4925	5				
	4959	5				
	4957	25	13			
	4933	20				
	4921	20				
	4958	10				
	4934	10				
	4925	10				
	4959	5				
	4957	20	14			
	4933	20				
	4921	20				
	4958	10				
	4934	10				
	4925	10				
	4959	10				
	4957	20	15			
	4933	20				
	4921	20				
	4958	10				
	4934	10				
	4925	10				
	4959	10				
13	4945	40	1			
	4933	30				
	4921	30				
	4945	40	2			
	4933	30				
	4921	30				
	4945	35	3			
	4933	30				
	4921	30				
	4946	5				
	4945	35	4			
	4933	30				
	4921	30				
	4946	5				
	4945	35	5			
	4933	30				
	4921	25				
	4946	5				
	4934	5				
	4945	35	6			
	4933	30				
	4921	25				
	4946	5				
	4934	5				
	4945	35	7			
	4933	25				
	4921	25				
	4946	5				
	4934	5				
	4925	5				
	4945	35	8			
	4933	25				
	4921	25				
	4946	5				
	4934	5				
	4925	5				
	4945	30	9			
	4933	25				
	4921	25				
	4946	5				
	4934	5				
	4925	5				
	4947	5				
	4945	30	10			
	4933	25				
	4921	25				
	4946	5				
	4934	5				
	4925	5				
	4947	5				
	4945	25	11			
	4933	25				
	4921	25				
	4946	10				
	4934	5				
	4925	5				
	4947	5				
	4945	25	12			
	4933	20				
	4921	25				
	4946	10				
	4934	10				
	4925	5				
	4947	5				
	4945	25	13			
	4933	20				
	4921	20				
	4946	10				
	4934	10				
	4925	10				
	4947	5				
	4945	20	14			
	4933	20				
	4921	20				
	4946	10				
	4934	10				
	4925	10				
	4947	10				
	4945	20	15			
	4933	20				
	4921	20				
	4946	10				
	4934	10				
	4925	10				
	4947	10				
14	4957	40	1			
	4942	30				
	4963	30				
	4957	40	2			
	4942	30				
	4963	30				
	4957	35	3			
	4942	30				
	4963	30				
	4958	5				
	4957	35	4			
	4942	30				
	4963	30				
	4958	5				
	4957	35	5			
	4942	30				
	4963	25				
	4958	5				
	4943	5				
	4957	35	6			
	4942	30				
	4963	25				
	4958	5				
	4943	5				
	4957	35	7			
	4942	25				
	4963	25				
	4958	5				
	4943	5				
	4964	5				
	4957	35	8			
	4942	25				
	4963	25				
	4958	5				
	4943	5				
	4964	5				
	4957	30	9			
	4942	25				
	4963	25				
	4958	5				
	4943	5				
	4964	5				
	4959	5				
	4957	30	10			
	4942	25				
	4963	25				
	4958	5				
	4943	5				
	4964	5				
	4959	5				
	4957	25	11			
	4942	25				
	4963	25				
	4958	10				
	4943	5				
	4964	5				
	4959	5				
	4957	25	12			
	4942	20				
	4963	25				
	4958	10				
	4943	10				
	4964	5				
	4959	5				
	4957	25	13			
	4942	20				
	4963	20				
	4958	10				
	4943	10				
	4964	10				
	4959	5				
	4957	20	14			
	4942	20				
	4963	20				
	4958	10				
	4943	10				
	4964	10				
	4959	10				
	4957	20	15			
	4942	20				
	4963	20				
	4958	10				
	4943	10				
	4964	10				
	4959	10				
15	4939	40	1			
	4921	30				
	4933	30				
	4939	40	2			
	4921	30				
	4933	30				
	4939	35	3			
	4921	30				
	4933	30				
	4940	5				
	4939	35	4			
	4921	30				
	4933	30				
	4940	5				
	4939	35	5			
	4921	30				
	4933	25				
	4940	5				
	4925	5				
	4939	35	6			
	4921	30				
	4933	25				
	4940	5				
	4925	5				
	4939	35	7			
	4921	25				
	4933	25				
	4940	5				
	4925	5				
	4934	5				
	4939	35	8			
	4921	25				
	4933	25				
	4940	5				
	4925	5				
	4934	5				
	4939	30	9			
	4921	25				
	4933	25				
	4940	5				
	4925	5				
	4934	5				
	4941	5				
	4939	30	10			
	4921	25				
	4933	25				
	4940	5				
	4925	5				
	4934	5				
	4941	5				
	4939	25	11			
	4921	25				
	4933	25				
	4940	10				
	4925	5				
	4934	5				
	4941	5				
	4939	25	12			
	4921	20				
	4933	25				
	4940	10				
	4925	10				
	4934	5				
	4941	5				
	4939	25	13			
	4921	20				
	4933	20				
	4940	10				
	4925	10				
	4934	10				
	4941	5				
	4939	20	14			
	4921	20				
	4933	20				
	4940	10				
	4925	10				
	4934	10				
	4941	10				
	4939	20	15			
	4921	20				
	4933	20				
	4940	10				
	4925	10				
	4934	10				
	4941	10				
16	4969	40	1			
	4939	30				
	4942	30				
	4969	40	2			
	4939	30				
	4942	30				
	4969	35	3			
	4939	30				
	4942	30				
	4970	5				
	4969	35	4			
	4939	30				
	4942	30				
	4970	5				
	4969	35	5			
	4939	30				
	4942	25				
	4970	5				
	4940	5				
	4969	35	6			
	4939	30				
	4942	25				
	4970	5				
	4940	5				
	4969	35	7			
	4939	25				
	4942	25				
	4970	5				
	4940	5				
	4943	5				
	4969	35	8			
	4939	25				
	4942	25				
	4970	5				
	4940	5				
	4943	5				
	4969	30	9			
	4939	25				
	4942	25				
	4970	5				
	4940	5				
	4943	5				
	4971	5				
	4969	30	10			
	4939	25				
	4942	25				
	4970	5				
	4940	5				
	4943	5				
	4971	5				
	4969	25	11			
	4939	25				
	4942	25				
	4970	10				
	4940	5				
	4943	5				
	4971	5				
	4969	25	12			
	4939	20				
	4942	25				
	4970	10				
	4940	10				
	4943	5				
	4971	5				
	4969	25	13			
	4939	20				
	4942	20				
	4970	10				
	4940	10				
	4943	10				
	4971	5				
	4969	20	14			
	4939	20				
	4942	20				
	4970	10				
	4940	10				
	4943	10				
	4971	10				
	4969	20	15			
	4939	20				
	4942	20				
	4970	10				
	4940	10				
	4943	10				
	4971	10				
17	4933	40	1			
	4942	30				
	4921	30				
	4933	40	2			
	4942	30				
	4921	30				
	4933	35	3			
	4942	30				
	4921	30				
	4934	5				
	4933	35	4			
	4942	30				
	4921	30				
	4934	5				
	4933	35	5			
	4942	30				
	4921	25				
	4934	5				
	4943	5				
	4933	35	6			
	4942	30				
	4921	25				
	4934	5				
	4943	5				
	4933	35	7			
	4942	25				
	4921	25				
	4934	5				
	4943	5				
	4925	5				
	4933	35	8			
	4942	25				
	4921	25				
	4934	5				
	4943	5				
	4925	5				
	4933	30	9			
	4942	25				
	4921	25				
	4934	5				
	4943	5				
	4925	5				
	4935	5				
	4933	30	10			
	4942	25				
	4921	25				
	4934	5				
	4943	5				
	4925	5				
	4935	5				
	4933	25	11			
	4942	25				
	4921	25				
	4934	10				
	4943	5				
	4925	5				
	4935	5				
	4933	25	12			
	4942	20				
	4921	25				
	4934	10				
	4943	10				
	4925	5				
	4935	5				
	4933	25	13			
	4942	20				
	4921	20				
	4934	10				
	4943	10				
	4925	10				
	4935	5				
	4933	20	14			
	4942	20				
	4921	20				
	4934	10				
	4943	10				
	4925	10				
	4935	10				
	4933	20	15			
	4942	20				
	4921	20				
	4934	10				
	4943	10				
	4925	10				
	4935	10				
18	4927	40	1			
	4921	30				
	4930	30				
	4927	40	2			
	4921	30				
	4930	30				
	4927	35	3			
	4921	30				
	4930	30				
	4928	5				
	4927	35	4			
	4921	30				
	4930	30				
	4928	5				
	4927	35	5			
	4921	30				
	4930	25				
	4928	5				
	4925	5				
	4927	35	6			
	4921	30				
	4930	25				
	4928	5				
	4925	5				
	4927	35	7			
	4921	25				
	4930	25				
	4928	5				
	4925	5				
	4931	5				
	4927	35	8			
	4921	25				
	4930	25				
	4928	5				
	4925	5				
	4931	5				
	4927	30	9			
	4921	25				
	4930	25				
	4928	5				
	4925	5				
	4931	5				
	4929	5				
	4927	30	10			
	4921	25				
	4930	25				
	4928	5				
	4925	5				
	4931	5				
	4929	5				
	4927	25	11			
	4921	25				
	4930	25				
	4928	10				
	4925	5				
	4931	5				
	4929	5				
	4927	25	12			
	4921	20				
	4930	25				
	4928	10				
	4925	10				
	4931	5				
	4929	5				
	4927	25	13			
	4921	20				
	4930	20				
	4928	10				
	4925	10				
	4931	10				
	4929	5				
	4927	20	14			
	4921	20				
	4930	20				
	4928	10				
	4925	10				
	4931	10				
	4929	10				
	4927	20	15			
	4921	20				
	4930	20				
	4928	10				
	4925	10				
	4931	10				
	4929	10				
19	4945	40	1			
	4921	30				
	4933	30				
	4945	40	2			
	4921	30				
	4933	30				
	4945	35	3			
	4921	30				
	4933	30				
	4946	5				
	4945	35	4			
	4921	30				
	4933	30				
	4946	5				
	4945	35	5			
	4921	30				
	4933	25				
	4946	5				
	4925	5				
	4945	35	6			
	4921	30				
	4933	25				
	4946	5				
	4925	5				
	4945	35	7			
	4921	25				
	4933	25				
	4946	5				
	4925	5				
	4934	5				
	4945	35	8			
	4921	25				
	4933	25				
	4946	5				
	4925	5				
	4934	5				
	4945	30	9			
	4921	25				
	4933	25				
	4946	5				
	4925	5				
	4934	5				
	4947	5				
	4945	30	10			
	4921	25				
	4933	25				
	4946	5				
	4925	5				
	4934	5				
	4947	5				
	4945	25	11			
	4921	25				
	4933	25				
	4946	10				
	4925	5				
	4934	5				
	4947	5				
	4945	25	12			
	4921	20				
	4933	25				
	4946	10				
	4925	10				
	4934	5				
	4947	5				
	4945	25	13			
	4921	20				
	4933	20				
	4946	10				
	4925	10				
	4934	10				
	4947	5				
	4945	20	14			
	4921	20				
	4933	20				
	4946	10				
	4925	10				
	4934	10				
	4947	10				
	4945	20	15			
	4921	20				
	4933	20				
	4946	10				
	4925	10				
	4934	10				
	4947	10				
20	4951	40	1			
	4933	30				
	4954	30				
	4951	40	2			
	4933	30				
	4954	30				
	4951	35	3			
	4933	30				
	4954	30				
	4952	5				
	4951	35	4			
	4933	30				
	4954	30				
	4952	5				
	4951	35	5			
	4933	30				
	4954	25				
	4952	5				
	4934	5				
	4951	35	6			
	4933	30				
	4954	25				
	4952	5				
	4934	5				
	4951	35	7			
	4933	25				
	4954	25				
	4952	5				
	4934	5				
	4955	5				
	4951	35	8			
	4933	25				
	4954	25				
	4952	5				
	4934	5				
	4955	5				
	4951	30	9			
	4933	25				
	4954	25				
	4952	5				
	4934	5				
	4955	5				
	4953	5				
	4951	30	10			
	4933	25				
	4954	25				
	4952	5				
	4934	5				
	4955	5				
	4953	5				
	4951	25	11			
	4933	25				
	4954	25				
	4952	10				
	4934	5				
	4955	5				
	4953	5				
	4951	25	12			
	4933	20				
	4954	25				
	4952	10				
	4934	10				
	4955	5				
	4953	5				
	4951	25	13			
	4933	20				
	4954	20				
	4952	10				
	4934	10				
	4955	10				
	4953	5				
	4951	20	14			
	4933	20				
	4954	20				
	4952	10				
	4934	10				
	4955	10				
	4953	10				
	4951	20	15			
	4933	20				
	4954	20				
	4952	10				
	4934	10				
	4955	10				
	4953	10				
21	4939	40	1			
	4921	30				
	4945	30				
	4939	40	2			
	4921	30				
	4945	30				
	4939	35	3			
	4921	30				
	4945	30				
	4940	5				
	4939	35	4			
	4921	30				
	4945	30				
	4940	5				
	4939	35	5			
	4921	30				
	4945	25				
	4940	5				
	4925	5				
	4939	35	6			
	4921	30				
	4945	25				
	4940	5				
	4925	5				
	4939	35	7			
	4921	25				
	4945	25				
	4940	5				
	4925	5				
	4946	5				
	4939	35	8			
	4921	25				
	4945	25				
	4940	5				
	4925	5				
	4946	5				
	4939	30	9			
	4921	25				
	4945	25				
	4940	5				
	4925	5				
	4946	5				
	4941	5				
	4939	30	10			
	4921	25				
	4945	25				
	4940	5				
	4925	5				
	4946	5				
	4941	5				
	4939	25	11			
	4921	25				
	4945	25				
	4940	10				
	4925	5				
	4946	5				
	4941	5				
	4939	25	12			
	4921	20				
	4945	25				
	4940	10				
	4925	10				
	4946	5				
	4941	5				
	4939	25	13			
	4921	20				
	4945	20				
	4940	10				
	4925	10				
	4946	10				
	4941	5				
	4939	20	14			
	4921	20				
	4945	20				
	4940	10				
	4925	10				
	4946	10				
	4941	10				
	4939	20	15			
	4921	20				
	4945	20				
	4940	10				
	4925	10				
	4946	10				
	4941	10				
22	4921	40	1			
	4933	30				
	4945	30				
	4921	40	2			
	4933	30				
	4945	30				
	4921	35	3			
	4933	30				
	4945	30				
	4925	5				
	4921	35	4			
	4933	30				
	4945	30				
	4925	5				
	4921	35	5			
	4933	30				
	4945	25				
	4925	5				
	4934	5				
	4921	35	6			
	4933	30				
	4945	25				
	4925	5				
	4934	5				
	4921	35	7			
	4933	25				
	4945	25				
	4925	5				
	4934	5				
	4946	5				
	4921	35	8			
	4933	25				
	4945	25				
	4925	5				
	4934	5				
	4946	5				
	4921	30	9			
	4933	25				
	4945	25				
	4925	5				
	4934	5				
	4946	5				
	4926	5				
	4921	30	10			
	4933	25				
	4945	25				
	4925	5				
	4934	5				
	4946	5				
	4926	5				
	4921	25	11			
	4933	25				
	4945	25				
	4925	10				
	4934	5				
	4946	5				
	4926	5				
	4921	25	12			
	4933	20				
	4945	25				
	4925	10				
	4934	10				
	4946	5				
	4926	5				
	4921	25	13			
	4933	20				
	4945	20				
	4925	10				
	4934	10				
	4946	10				
	4926	5				
	4921	20	14			
	4933	20				
	4945	20				
	4925	10				
	4934	10				
	4946	10				
	4926	10				
	4921	20	15			
	4933	20				
	4945	20				
	4925	10				
	4934	10				
	4946	10				
	4926	10				
23	4972	40	1			
	4921	30				
	4942	30				
	4972	40	2			
	4921	30				
	4942	30				
	4972	35	3			
	4921	30				
	4942	30				
	4973	5				
	4972	35	4			
	4921	30				
	4942	30				
	4973	5				
	4972	35	5			
	4921	30				
	4942	25				
	4973	5				
	4925	5				
	4972	35	6			
	4921	30				
	4942	25				
	4973	5				
	4925	5				
	4972	35	7			
	4921	25				
	4942	25				
	4973	5				
	4925	5				
	4943	5				
	4972	35	8			
	4921	25				
	4942	25				
	4973	5				
	4925	5				
	4943	5				
	4972	30	9			
	4921	25				
	4942	25				
	4973	5				
	4925	5				
	4943	5				
	4974	5				
	4972	30	10			
	4921	25				
	4942	25				
	4973	5				
	4925	5				
	4943	5				
	4974	5				
	4972	25	11			
	4921	25				
	4942	25				
	4973	10				
	4925	5				
	4943	5				
	4974	5				
	4972	25	12			
	4921	20				
	4942	25				
	4973	10				
	4925	10				
	4943	5				
	4974	5				
	4972	25	13			
	4921	20				
	4942	20				
	4973	10				
	4925	10				
	4943	10				
	4974	5				
	4972	20	14			
	4921	20				
	4942	20				
	4973	10				
	4925	10				
	4943	10				
	4974	10				
	4972	20	15			
	4921	20				
	4942	20				
	4973	10				
	4925	10				
	4943	10				
	4974	10				
24	4933	40	1			
	4921	30				
	4972	30				
	4933	40	2			
	4921	30				
	4972	30				
	4933	35	3			
	4921	30				
