ID	tname	npcid list	npc name list	공통대사확률	공통대사	Mob 혼잣말	확률	공격	확률	PC 타켓팅	확률	Mob die	확률	Mob 스폰	확률	Mob 추적	확률	Mob miss	확률
4	홉고블린 추장	334	홉 고블린 족장			낄낄…사냥해서 잡은 노예를 괴롭히는건 정말 재밌어~ 	0.3	자!! 항복하고! 우리 홉고블린의 노예가 되는게 어때!!	0.1	킬킬..저런 놈 정도면 노예로 쓰기에 적당하겠군!	0.1	으…여기서 죽다니..차기 추장도 아직 못 뽑았는데...	0.3	요즘 고블린 녀석들의 움직임이 수상해!! 놈들이 뭔가 일을 꾸미는건가!	0.3	낄낄낄...노예가 되면, 하루 세끼 다 먹여주고, 잠도 재워준다는데 어딜 도망가는거냐!!!	0.3	이 고약한 놈!! 내가 괜히 홉고블린 추장인줄 아나?	0.3
						우리 홉고블린보다 더 남을 잘 괴롭히는 놈은 없을걸~킬킬킬		홉고블린 영역에 들어오면 홉고블린의 노예가 되는게 여기의 법이다!!		어디 예전처럼 한번 사냥해볼까!!		크…내가 죽으면 누가 홉고블린 녀석들을 이끌고 가나…		크크..약한 종족은 다 우리 노예로 만들고 말테다!! 낄낄..		뛰는 놈을 쫒아가려니 피곤하군!!		나에게 덤볐으면 제대로 공격해보라고!! 낄낄낄~	
						킬킬..뼈만..앙상하게 남은 노예를..보면 뭐랄까..아주 즐거워진단말야~		클클클!! 우린 고블린 중에서도 가장 강한 놈들이라구!!		저 놈 정도면 잡을만하겠어!		아..내가 언제부터 이렇게 약해졌던가…		킬킬킬~누가 우릴 추악한 홉고블린이라고 말하는거냐!!		킬킬…내가 타고 있는 수레가 더 빠를걸!		클클! 우린 놀기 좋아하는 그냥 고블린이 아니라구!  	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	바이퍼	117 	워터바이퍼			그르르..으..이 짜릿한 느낌!! 전투 전의 이 흥분!! 바로 이거야!!!	0.3	크하! 계속 어슬렁거린 대가다! 	0.1	크르르~저 놈이 계속 어슬렁거린다. 뭘 훔치려고 여기까지 온거냐!!!	0.1	으…저런 놈한테 당하다니..으 수치스럽다!	0.3	크르르~ 이제 이 곳이 우리의 사냥터다!!	0.3	저 놈을 살려두면 다른 놈을 데려올게 분명해!! 	0.3	흥~내 몸을 덮은 비늘들이 얼마나 단단한지 네 놈이 모르는군!	0.3
		36 	바이퍼			우릴 위협하는 놈들은 가만두지 않는다!		쿠헤헤~뭘 노리고 이 근처를 얼씬거리는거지!		크르르…제물을 여기서 사냥하기로 한건 잘한거다! 이 곳은 지나가는 놈들이 많다!		으...저런 덜 진화된 놈들에게 당하다니!!!		크르르르...피의 그믐달이 뜨면 우리 바이퍼족의 힘이 증폭된다!		다리 달린 놈들을 못따라 잡으면 바이퍼의 수치다!!		지금까지 싸운 놈들중에 너처럼 엉뚱하게 공격하는 놈은 처음본다!	
		119 	워터바이퍼 메이지			우리 종족을 위험에 빠뜨리는 종족은 모두 전멸시키고야 말테다!		이야얏!!! 석달 전에 네 놈 종족에게 죽은 우리 종족의 원수를 갚아주마!!		으…이 냄새!! 사냥이다!!		윽…강한 놈이다. 왕에게 놈들의 침략을 알려야하는데..		크르르…우리야말로 진정한 전사다!		그렇게 이리 저리로 도망가면 쫓아가기가 힘들잖아!! 		너 같은 전사는 나에게 아무것도 아니다!	
		71 	바이퍼 전사			크크크..이 새로운 사냥터가 무척 마음에 드는군!		크르르…전투란 이런거다!		크르…내 실력을 보여주마!!		크으…얕잡아봤군…으윽		크르..르..어떤 사냥감도 우리는 놓치지 않는다!		크르르..이 곳에서 네놈은 빠져나가지 못한다!		크르르…네 놈은 전투라는걸 모르는 놈이구나!	
		118 	워터바이퍼 전사			꼬리도 없는 종족은 살 가치가 없다!! 이 중심없는 놈들 같으니..													
		72 	바이퍼 메이지			쓸데 없는 다리 같은건 말이지~다 그냥 퇴화시키면 된다구!! 													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	바이퍼킹	337	바이퍼킹			그..르...바이퍼도 다른 죽어야하는 놈들도 모두 다 내 명령을 따라야한다!	0.3	이 땅에 발을 들여 놓은건 네 놈 일생에 제일 큰 실수다!!	0.1	크릉..피의 그믐달 기간 동안 이곳은 우리 사냥터다!	0.1	크…내가 여기서 죽는다해도 네 놈은 살아나갈 수 없..다...으윽	0.3	크릉...점점 바이퍼들의 힘이 약해지고 있다!	0.3	크하! 빠져나가다니!! 약삭빠른 것 같으니!! 	0.3	크크크..그 정도로는 내 단단한 비늘을 뚫을 수는 없다!	0.3
						전투를.. 멈..출.. 수는 없다! 바이퍼의 생..존은... 전..투에.. 있다!		그르르..이..냉..기를..견딜..수 없을걸..		크릉...지난번에도 이 근처를 어슬러리던 그 놈이다! 오늘은 혼쭐을 내주고야말겠다!!		윽...내가 죽는다고 우리 종족이 여기서 멸망할줄 아느냐…		크릉...칸트라 대륙에서 우리의 영역이 점점 좁아지고 있다!		크흐흐..어디 도망갈 수 있는만큼 도망가봐! 넌 벗어날 수 없다!		크릉…죽기로 달려드는구나! 그러나 어림없다!	
						내... 말..을... 거역하..는 자는 모두 죽음..뿐..이다!		그르르.. 여기서 죽는..게... 네 놈의.. 운..명이다!		크하! 네 놈은 여기가 어딘줄 알고 있는거냐!		으…이..건…절대 일어날 수 없..는..일이다…윽		크르릉…피의 날이 모두 지날때까지 이 곳은 아무도 지나가지 못한다!		크르르…이 곳은 바이퍼들에게 주신 땅!! 네 놈에게는 저주뿐이다!		크하! 왕에게 이긴 놈은  없다!!	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	스켈레톤	32 	스켈레톤			갈갈갈~이렇게 벗고 다니니, 정말 시원하다!!	0.3	갈갈~~통뼈의 맛을 봐라!!	0.1	킬킬~이미 나에게 걸렸다구! 	0.1	켈켈켈…날 죽였다고 생각하나? 클클…이봐 다시 또 보게될걸!!	0.3	갈갈갈~죽은지 며칠 지났다고..다시 깨어난거지?? 	0.3	낄낄..이번에는 도망을 가는군! 	0.3	갈갈갈~동작 좀 봐라!! 느리군! 느려!!	0.3
		121 	그레이브 스켈레톤			내 눈에 띄는 놈들은 다 죽어버려라!! 다 나처럼 변해버리라구!! 갈갈갈~		이히히..내가 죽었다고 생각했겠지만..난 이렇게 살아 있다고…크크		거기!! 멈춰보라구~ 나와 한판 붙어보는게 어때? 이래뵈도 꽤 세다구~~~		으…이렇게 죽는 장면을 어디선가 본 적이 있는데…50년 전이었나? 아님 80년전? 아…기억이 안나는군…		우와~~~나랑 똑같이 생긴 애들이 엄청 많네~갈갈갈		헥헥…엄청 뜀박질도 잘하네!!! 뛰려니 뼈마디가 쑤시는군!!		그런식으로 공격해봤자 소용없다구!! 갈갈갈~	
		73	스켈레톤 궁수			아~이 휑한 가슴!! 누가 이 가슴을 채워줄까? 크!!! 바로 전쟁뿐이지!! 갈갈갈갈		낄낄낄~나랑 싸우는거 재밌지 않아? 		저 오동통함!!! 내가 원하는건 바로 저것!!! 갈갈갈~~		낄낄낄..난 죽는게 아니야..잠시 사라질 뿐이지.		헉!! 저 해골들은 도데체 뭐지? 나도 이런 상태라니…흑... 어쩌다 내가 이렇게 말라버린걸까?		낄낄..이렇게 뛰는걸 좋아하나보네! 낄낄낄~그럼 쫓아가주지~		켈켈…나한테 네 놈 정도는 아무것도 아니라구~	
		122	스켈레톤 속사수			이..렇게..오래 살다보면..말이지..별 걸..다 보게 된다구..갈갈갈~		킬킬~이런게 바로 사냥이라고 하는거지..난 공격하고..네 놈은 맞고..쿠헬헬		켈켈~죽으려고 들어왔구나!		켈켈..또 이렇게 부숴지는군..아…이러니 삐그덕거리지.		아싸~~ 가뿐하게 사냥을 시작해볼까~		이봐이봐~그만 도망가고 이쯤에서 죽으라구~		킬킬킬…이거 재밌는데~	
		74 	스켈레톤 마법사			삐걱삐걱...걸을 때마다 한쪽 다리가 삐걱거리는군..얼른 다른 다리뼈를 구해야할텐데..													
		123 	스켈레톤 주술사			난 화살 같은거 무섭지 않아!! 왜냐구? 쏴봤자 내 갈비뼈사이로 지나갈테니 말야!! 갈갈~													
		75 	스켈레톤 기사			이 가뿐한 몸!! 쓸모없는 살덩이는 다 버려버려!! 갈갈갈~													
						이보라구..이보라구..난 누구보다 뜨거운 가숨을 가지고 있단 말이지~~갈갈갈													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	스켈레톤 커맨더	76	스켈레톤 지휘관			낄낄낄…우리를 이렇게 만든 놈들은 편하게 저 세상에 가있군..살아있는 놈들에게 영원의 고통을..낄낄	0.3	크크크..네 놈의 피가 필요하다! 고통없이 끝내주마!!	0.1	킬킬킬…살아있는 놈이다! 	0.1	아…차라리 이대로 영원히 죽을 수만 있다면…	0.3	크륵크륵....언제까지 이렇게 지옥같이 되살아나는거냐..저주할테다! 살아있는 모든 것들을!!	0.3	죽은 자를 깨워 놓고 그리 쉽게 도망갈 수 있으리라 생각했더냐!	0.3	낄낄..네 놈의 공격이 뼈 사이로 새어나가는군! 	0.3
						클클클…이젠 내가 누구였는지도 기억이 안나는걸..아무렴 어때..갈갈~		크아아!!! 너도 우리 대열로 들어와라! 죽어라!!		킬킬…저 놈의 피로 내 뼈를 적셔야겠어..킬킬킬		크..큭…잠시 후면 또 살아나겠지…으…윽		끄르륵..끄르륵..이렇게 만든 놈들을 모두 죽여버리고 말테다!		낄낄..네 놈의 피를 모두 마시기 전에는 절대 보낼 수 없다.		클클…이미 죽은 자를 또 죽이려하다니!! 크큭	
						피와 살이 있는 놈들은 모두 죽어야해!! 갈갈갈~		클클클...죽은 자의 땅에 들어오다니!!		킬킬..내 손에 죽어서 너도 우리 종족이 되라!!		으…윽…땅 밑으로 사라진다.		클클클…이렇게 영생을 누리니 얼마나 좋은가!		크크큭..죽음의 땅에서 뛰어봤자..네 놈은 죽은 목숨!!		큭큭..이게 죽기 직전의 몸부림이라는건가! 클클클..	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	멧돼지 임프	77 	붉은멧돼지 임프			이 우둔한 맷돼지 같으니!! 네 놈들은 우리가 없으면 살아남을 수 없다구!!	0.3	케케케!! 어떠냐! 자~아프다고 소리를 질러봐!! 케케케!!	0.1	케케~오늘 잡을 사냥감으로는 저기 멍청해보이는 놈이 딱이군!!	0.1	여기서 죽다니…이게 다 이 둔한 맷돼지때문이야! 이 저주받을 돼지 같으니!!	0.3	우리 영역을 넘보는 놈이 있다면 가만두지 않겠어!	0.3	이 느린 맷돼지 같으니!! 얼른 놈을 쫓아!!	0.3	켈켈켈…맷돼지타고 다닌다고 우습게 보는군!!	0.3
		124 	바람멧돼지 임프			우리 임프는 멧돼지를 바람처럼 빠르게 달리게 훈련시킬 수 있다구!		넌 여기서 죽는거다! 네 놈의 유언따위를 들어줄 필요는 없겠지!		고기가 질겨 보이긴 하지만 뭐 상관없겠지!! 으차!!		으..죽어서 널 쫓아다니고야 말테다…으윽		이제 우리도 영역을 넓혀야해!! 언제까지 이렇게 좁은곳에서 맷돼지랑 살아갈 수 있을까.		뭐야!! 이러다 놓치겠군!! 어서 쫓아가!		아~ 이 느린 공격!! 쿠헤헤! 날 웃기지 말라구!!	
						크큭…이리로 들어오는 놈들은 우리한테 죽는다구! 큭큭		여기서 네 놈의 뼈를 부숴버릴꺼다!		크크큭…저렇게 바보같은 놈은 금새 잡을 수 있다구!!		으..으..내 맷돼지가 약해서 이런거야..으윽..		쿠오오!! 날 건드리는 놈들은 모두 죽일테다!!		으아!!! 거기 서!!		크크크...덩치만 커다란 바보 같으니라구!!	
						대장이 타고 다니는 멧돼지가 제일 빠른 멧돼지라니까..		크크…내 멧돼지의 송곳니를 피할 수 없을걸!!		저 놈은 정말 헛점 투정이네!! 크크크		크..으..저런 저주 받을 침략자 같으니…		내 귀여운 맷돼지를 훔쳐가는 놈들은 가만두지 못해! 켈켈…		멈춰라!		켈켈…트롤 엉덩이도 못 맞출 놈 같으니!!	
						멧돼지들을 길들이려면 이 놈들에게 끊임없이 고기를 던져줘야하는데..													
						크흐흐..여기에서 맷돼지를 방목해야겠군!! 이곳 정도면 먹이가 충분하겠어.													
						크르륵~이 곳이라면 먹을게 많을 것 같군!! 크윽!!													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	도적	12 	도적			내가 몰래 조금씩 보물을 빼돌리는걸 눈치 챈 놈은 없겠지..흐흐흐	0.3	보석만 당장 내놓고 간다면 넌 보내줄 수도 있지..크크..안그렇겠지만..	0.1	오호~ 가방이 두둑해 보이는게..겔드가 듬뿍 담겨 있는거 같은데! 가볼까!	0.1	이럴줄 알았으면 좀더 체력을 길러 놓는건데!!!윽!	0.3	여기정도면 모험가라고 떠돌아다니는 놈들을 잡기에 안성맞춤이겠어.	0.3	어!! 도망가네!! 헉헉!! 뛰는것도 힘들군! 	0.3	쿠하하!! 그렇게 공격해봤자 피하면 그만이지!	0.3
		285 	도적 정찰자			여기는 도적 427호! 여기는 427호! 포지션 확보! 포지션 확보!!		흐흐..감히 우리 도적단의 보물을 노리는게 너냐!! 가만두지 않겠다!!		음…저놈을 보내? 말어? 에잇~두목 신호 오기전 얼른 해치우자!! 기다려라! 돈덩이!		다음 생이 있다면 그 땐 기필코 네 놈의 돈 주머니를 훔치고야 말테다!		이곳에서 진치고 있으면 두목이 신호를 보내겠군		도망가더라도 보석과 돈은 넘기고 가야지!! 치사한 놈!! 기다려!!		으흐흐…정말 엉망이로군! 이 정도 밖에 안되다니!!	
		283 	도적 병사			음..동굴 암호가 뭐였더라? 열려라 보석? 이거 아닌가? 날이 갈수록 기억력이 나빠지는군..		흐흐흐...얼른 무릎을 꿇고 내 말을듣지..그래~		아!! 저기 누가 지나가는군! 물어봐야지!! 이봐!!		으…죽을 때 죽더라도!! 네 놈의 이름이나 알려다오!!		요즘 두목이 보물이 조금씩 없어진다고 우리를 의심하는거 같아!		어!! 암호를 말하라니까!! 모른다고 도망가면 될 줄 아냐!!		쿠쿠~ 이봐이봐!! 보물 동굴의 암호를 대라니까! 이게 뭔짓이람!!	
		281 	도적 돌격병			음음..우리 천인 도적의 근거지를 이제 바꿀 때가 되지 않았을까나~		흑흑!! 미안하다! 친구! 있는 걸 다 내놓게나!! 입고 있는것도 벗어놓고!! 우하하		새 출발을 위한 자금을 마련하려면 저 놈을 털 수밖에!! 		아…보석하나 못만져보고 죽다니…이렇게 억울할 수가!!		최근 도적 607호가 수상해!! 그 놈이 몰래 보석을 빼돌리는건 아닐까.		커~~세상 빨라졌네! 얘네들 도망치는게 선수급인데!		이봐! 훔칠게 따로 있지! 도적걸 훔치려드나!! 	
		284 	도적 암살자			그래! 이제 도적의 삶을 정리하고,평범하게 새로 출발하는거야!		어!! 이 재빠른 몸놀림!! 어이! 우리 천인 도적단에 가입하는게 어때? 이번에 가입하면 특전도 있다구!!		저 정도 놈을 잡으면 내가 도적 582호보다 더 많이 훔치게 되겠군!! 크크				도적 901호가 여길 뜰 생각을 하는거 같던데! 두목한테 말을 해? 말어?					
		282 	큰칼 도적			으..두목이 어떻게 의심할 수 있지!! 난 맹세코 동굴에 있는 보물에는 손도 대지 않는다구!				크흐흐..이 놈!! 깜짝 놀랐지!! 크헤헤!!  				어제 새로 입단한 도적 909호 녀석! 수상한 냄새가 나. 감시 대상 목록에 추가다!					
		335 	아웃로																
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	하피	136 	어린 하피			호호..얼마전 가져온 리자드 가죽은 도저히 쓸모가 없었어. 그래서 가방으로 만들어 버렸지.	0.3	호호~이 정도 가죽이면 퀸이 좋아할거야!!!	0.1	오호~ 신선한 재료가 지나가네! 놓칠 수 없는걸 !!!	0.1	아…이번에는 최고의 가죽을 얻을 수 있으리라 생각했는데…이렇게 되다니…	0.3	이곳이라면 약을 만드는데 필요한 재료를 찾기가 더 쉬울것 같네.	0.3	당신을 놓칠 수는 없어요!! 퀸에게 가져가지 못한다면..호호~ 저라도 먹어주죠! 뭐!! 흥~	0.3	호~ 꽤 귀여운 구석이 있군요. 하지만 얌전히 구는게 고통도 덜할걸요.호호	0.3
		23 	하피			오호홋!! 멍청한 리자드 놈들은 우리가 놈들의 가죽을 벗겨가는걸 모르겠지~		오~이 탱탱함!! 아잉~ 너무 멋지잖아!!정말 보기 드물게 좋은 재료야!!		흠..제물로 쓸지 말지는 퀸이 정하겠지만, 저 고운 가죽은 매우 탐이 나는데…		윽…이번에는 운이 좋았던 것일뿐.. 당신은 여기서 벗어나지 못해요…		리자드 가죽은 정말 쓸모가 없었어. 다른 종족의 가죽이 필요해!!		가지마세요!! 당신은 아주 좋은 재료란 말예요!! 가긴 어딜가요~		으앗! 큰일날 뻔했잖아요, 내 비늘에 흠집이라도 생기면 어쩔뻔했어요..다신 그러지 마세요~ 호호	
		320 	윈드윙 하피			아웅~잠이 좀 부족해! 가죽 관리에는 숙면이 최고인데~		고운 가죽을 상하게 하고 싶지 않지만, 계속 반항한다면 나도 어쩔 수 없어요.호호호		어머!! 저 이쁜 가죽 좀 봐!! 		우잉~놀아주기 싫음 그만이지…흑 이렇게 마구 패다니!!우엉		아! 먼지 좀봐!! 도데체 어떤 놈이 지나갔길래!!		거기서!! 겨우 바닥을 걸어다니는 주제면서 나한테서 벗어날 수 있겠어요?		그렇게 아웅거려봤자라구요~ 내 비늘하나 건드릴 수 있을거 같아요?	
		333 	하피 에어워커			우리 같은 종족이 살기에 이 대륙에는 미개 종족이 너무 많아!		아힝~ 나랑 놀아줘요!!! 안놀아주면 꼬집어줄거야!!!		꺄아악!! 여기선 보기 드문 외모잖아!! 		너무해!너무해!! 연약한 날 이렇게 때리는건 너무하잖아요!		허구헌날 언니들하고 놀려니 지겹단말야! 어디 이쁜 오빠들 없나?		아잉~ 그렇게 도망가버리면..제가 쫓아가야하잖아요~호호		조신하지 못하게! 왜 그리 날뛰는거예요? 가만히 좀 있으세요!	
						호호~여기에 숨어 있다가 마음에 드는 남자가 나타나면 덮석 물어야지~													
						아잉~ 요즘은 왜 피부에 좋은 사냥감 찾기가 이리도 힘든걸까~ 													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12	하피 퀸	135	하피 퀸			힝~약을 만드는 재료에는 고운 가죽이 필요한데…	0.3	자~~이리로..이리로..아주 고운 가죽이네요! 어쩜 이렇게 윤기도 좋을까!! 호호호!	0.1	오~저거야! 저거야!! 바로 저거!! 우후후!! 	0.1	아…내 아름다움이 시들기 시작한 것인가..내 유혹에 넘어가지 않다니!! 으악!!!	0.3	마법의 묘약이 거의 다 떨어져가는군. 새로운 약을 만들려면 재료가 좀 더 있어야 하는데…	0.3	어딜 벗어나려는 거죠? 내 눈에 들어온 이상 살아 돌아갈 수 없어요!	0.3	호호호~가소롭군요…내 아름다운 날개 비늘에 상처라도 나면 당신이 책임질거예요?	0.3
						아…이번에는 직접 가죽을 구해볼까..		이 정도 가죽이면 한 3년은 쓸 약 재료로 충분하겠는데!!호호호!!		호호~저 근육 좀 봐!! 딱 내 타입이군~		아흑~ 거울이 있다면 내 아름다운 최후의 모습을 볼 수 있을텐데..흑흑		호호 ~ 빛에 반짝이는 이 비늘의 아름다움!!		어머머! 내 손아귀로 걸어들어와놓곤 이제와서 도망치기예요? 		호호호~이제 장난은 그만하세요! 간지럽잖아요!	
						약을 만드는데 가죽이 부족하네! 아잉~얼른 구해야하는데~		아흥~ 가죽만 고이 벗어 놓고 가면 곱게 보내줄 수도 있어요~		오호호!! 좋아! 좋아! 당신 정도면 충분해!		흑흑…이렇게 헝클어진 모습으로 죽어야하다니..이건 아니야!!		아~ 요즘 왜 이리 악몽에 시달리는걸까? 이 퀭한 눈! 		이것봐요! 가죽만 남겨 놓고 가라니까..호호호..그냥 가면 어떻해!! 그럼 못 보내죠!!		어머! 이 촌스러운 공격은 도데체 뭐죠? 	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	리자드 맨	26 	리자드맨			크르릉…얼마전에도 헌터에 의해 가죽이 벗겨진 채 발견됐다.	0.3	크르르르~ 네 놈의 머리를 가져가야겠다!!	0.1	크흐흐…먹이다!	0.1	으…이렇게 죽다니..네 놈 내 가죽을 벗기려는거냐!!	0.3	크르르…요즘 리자드 헌터가 많아졌어!	0.3	크흐흐..죽어라! 	0.3	크크크…그 정도로 상처하나 입힐 수 없을걸!	0.3
		292 	리자드맨 격투가			크르…어떤 종족이든 리자드를 우습게 보는 놈은 다 살려둘 수 없지!		크흐…죽는게 네 놈에겐 좋을거다!		크흐흐..고통없이 끝내주마!!		여기서 죽다니…다음번에는 내가 네놈의 가죽을 벗기고 말겠다!		으으…리자드 헌터들은 잡은 리자드의 가죽을 벗긴다는데…		크큭...도망치는 놈은 죽는거다!		그 정도 실력으로 우리 영토를 지나가려고 했습니까? 저런.. 참으로 오만하다 말하지 않을 수 없습니다!	
		289 	리자드맨 노예			흐..이곳으로는 리자드외에는 어떤 놈도 지나가게 할 수 없지..		크흐흐..죽어라! 		크흐흐…리자드의 소굴에 들어오다니!! 		크으…여기서 쓰러..지다니..		세상이 어떻게 돌아가길래..리자드가 밤길을 조심해야하냐고…흑		쿠흐흐..이제 도망쳐야 소용없다!		크크크...네 놈은 어차피 죽을 목숨이다!	
		294 	리자드맨 정찰자			크르르…언제나 벌벌떠는 놈들을 사냥하는건 흥분돼!		어떠냐!! 이 피냄새가!!		크하!! 저 놈은 내꺼다!		으으…너무 방심했나…		헌터로 보이는 놈들은 무조건 다 잡아 죽여야해!!		크크크..어딜 가든 넌 이미 죽…은 고기일뿌니다.		크큭..그 정도로 어림도 없다!	
		293 	리자드맨 병사			우리 리자드맨이야말로 가장 최첨단 조직을 갖췄다구!! 그걸 우습게 여기는 놈들은!!! 크!! 가만두지 않겠다!!													
		295 	리자드맨 용사																
		290 	리자드맨 도적																
		296 	리자드맨 전사																
		291 	리자드맨 로드																
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
