SOCIALTYPE	RACE	CLASS	GENDER	FILE_NAME			
GREETING	HUMAN	KNIGHT	MALE	H_KNI_M_GREET.rws		SOCIAL TYPE	
GREETING	HUMAN	RANGER	MALE	H_ARC_M_GREET.rws			
GREETING	HUMAN	MAGE	FEMALE	H_WIZ_W_GREET.rws		GREETING	인사
GREETING	ORC	KNIGHT	MALE	O_WAR_M_GREET.rws		CELEBRATION	축하
GREETING	ORC	RANGER	FEMALE	O_HUN_W_GREET.rws		GRATITUDE	감사
GREETING	ORC	MAGE	MALE	O_SHA_M_GREET.rws		ENCOURAGEMENT	격려
GREETING	MOONELF	RANGER	FEMALE	M_Hunter_W_GREET.rws		DISREGARD	무시
GREETING	MOONELF	MAGE	FEMALE	M_Sha_W_GREET.rws		DANCING	춤추기
GIGGLER	HUMAN	KNIGHT	MALE	H_KNI_M_GIGL.rws		DOZINESS	졸기
GIGGLER	HUMAN	RANGER	MALE	H_ARC_M_GIGL.rws		STRETCH	기지개
GIGGLER	HUMAN	MAGE	FEMALE	H_WIZ_W_GIGL.rws		LAUGH	웃기
GIGGLER	ORC	KNIGHT	MALE	O_WAR_M_GIGL.rws		WEEPING	울기
GIGGLER	ORC	RANGER	FEMALE	O_HUN_W_GIGL.rws		RAGE	분노
GIGGLER	ORC	MAGE	MALE	O_SHA_M_GIGL.rws		POUT	토라짐
GIGGLER	MOONELF	RANGER	FEMALE	M_Hunter_W_GIGL.rws		APOLOGY	사과
GIGGLER	MOONELF	MAGE	FEMALE	M_Sha_W_GIGL.rws		TOAST	건배	
RAGE	HUMAN	KNIGHT	MALE	H_KNI_M_RAGE.rws		CHEER	환호	
RAGE	HUMAN	RANGER	MALE	H_ARC_M_RAGE.rws		RUSH	돌격	
RAGE	HUMAN	MAGE	FEMALE	H_WIZ_W_RAGE.rws		SIT	앉기	
RAGE	ORC	KNIGHT	MALE	O_WAR_M_RAGE.rws		OKMARIO	옼마리오	
RAGE	ORC	RANGER	FEMALE	O_HUN_W_RAGE.rws		SELECT1	Defalut	
RAGE	ORC	MAGE	MALE	O_SHA_M_RAGE.rws		SELECT2	"""한손검,bow,staff"""	RACE
RAGE	MOONELF	RANGER	FEMALE	M_Hunter_W_RAGE.rws		SELECT3	"한손둔기,c-bow,!staff"	
RAGE	MOONELF	MAGE	FEMALE	M_Sha_W_RAGE.rws		SELECT4	두손검	HUMAN
DANCING	HUMAN	KNIGHT	MALE	H_KNI_M_DANCE.rws		SELECT5	두손둔기	ORC
DANCING	HUMAN	RANGER	MALE	H_ARC_M_DANCE.rws		SELECT6	폴암	MOONELF
DANCING	HUMAN	MAGE	FEMALE	H_WIZ_W_DANCE.rws		SELECT7	싸이쓰	
DANCING	ORC	KNIGHT	MALE	O_WAR_M_DANCE.rws		SELECT1_BACK	Defalut	CLASS
DANCING	ORC	RANGER	FEMALE	O_HUN_W_DANCE.rws		SELECT2_BACK	"""한손검,bow,staff"""	
DANCING	ORC	MAGE	MALE	O_SHA_M_DANCE.rws		SELECT3_BACK	"한손둔기,c-bow,!staff"	KNIGHT
DANCING	MOONELF	RANGER	FEMALE	M_Hunter_W_DANCE.rws		SELECT4_BACK	두손검	RANGER
DANCING	MOONELF	MAGE	FEMALE	M_Sha_W_DANCE.rws		SELECT5_BACK	두손둔기	MONK
CELEBRATION	HUMAN	KNIGHT	MALE	H_KNI_M_CELE.rws		SELECT6_BACK	폴암	MAGE
CELEBRATION	HUMAN	RANGER	MALE	H_ARC_M_CELE.rws		SELECT7_BACK	싸이쓰	CHAKRAM  KATARIYA
CELEBRATION	HUMAN	MAGE	FEMALE	H_WIZ_W_CELE.rws				
CELEBRATION	ORC	KNIGHT	MALE	O_WAR_M_CELE.rws				GENDER
CELEBRATION	ORC	RANGER	FEMALE	O_HUN_W_CELE.rws				
CELEBRATION	ORC	MAGE	MALE	O_SHA_M_CELE.rws				MALE
CELEBRATION	MOONELF	RANGER	FEMALE	M_Hunter_W_CELE.rws				FEMALE
CELEBRATION	MOONELF	MAGE	FEMALE	M_Sha_W_CELE.rws				
DISREGARD	HUMAN	KNIGHT	MALE	H_KNI_M_DIS.rws				
DISREGARD	HUMAN	RANGER	MALE	H_ARC_M_DIS.rws				
DISREGARD	HUMAN	MAGE	FEMALE	H_WIZ_W_DIS.rws				
DISREGARD	ORC	KNIGHT	MALE	O_WAR_M_DIS.rws				
DISREGARD	ORC	RANGER	FEMALE	O_HUN_W_DIS.rws				
DISREGARD	ORC	MAGE	MALE	O_SHA_M_DIS.rws				
DISREGARD	MOONELF	RANGER	FEMALE	M_Hunter_W_DIS.rws				
TOAST	HUMAN	MAGE	FEMALE	H_WIZ_W_TOAST.rws
TOAST	ORC	KNIGHT	MALE	O_WAR_M_TOAST.rws
TOAST	ORC	RANGER	FEMALE	O_HUN_W_TOAST.rws
TOAST	ORC	MAGE	MALE	O_SHA_M_TOAST.rws
TOAST	MOONELF	RANGER	FEMALE	M_Hunter_W_TOAST.rws
TOAST	MOONELF	MAGE	FEMALE	M_Sha_W_TOAST.rws
WEEPING	HUMAN	KNIGHT	MALE	H_KNI_M_WEEPING.rws
WEEPING	HUMAN	RANGER	MALE	H_ARC_M_WEEPING.rws
WEEPING	HUMAN	MAGE	FEMALE	H_WIZ_W_WEEPING.rws
WEEPING	ORC	KNIGHT	MALE	O_WAR_M_WEEPING.rws
WEEPING	ORC	RANGER	FEMALE	O_HUN_W_WEEPING.rws
WEEPING	ORC	MAGE	MALE	O_SHA_M_WEEPING.rws
WEEPING	MOONELF	RANGER	FEMALE	M_Hunter_W_WEEPING.rws
WEEPING	MOONELF	MAGE	FEMALE	M_Sha_W_WEEPING.rws
APOLOGY	HUMAN	KNIGHT	MALE	H_KNI_M_APOLOGY.rws
APOLOGY	HUMAN	RANGER	MALE	H_ARC_M_APOLOGY.rws
APOLOGY	HUMAN	MAGE	FEMALE	H_WIZ_W_APOLOGY.rws
APOLOGY	ORC	KNIGHT	MALE	O_WAR_M_APOLOGY.rws
APOLOGY	ORC	RANGER	FEMALE	O_HUN_W_APOLOGY.rws
APOLOGY	ORC	MAGE	MALE	O_SHA_M_APOLOGY.rws
APOLOGY	MOONELF	RANGER	FEMALE	M_Hunter_W_APOLOGY.rws
APOLOGY	MOONELF	MAGE	FEMALE	M_Sha_W_APOLOGY.rws
CHEER	HUMAN	KNIGHT	MALE	H_KNI_M_CHEER.rws
CHEER	HUMAN	RANGER	MALE	H_ARC_M_CHEER.rws
CHEER	HUMAN	MAGE	FEMALE	H_WIZ_W_CHEER.rws
CHEER	ORC	KNIGHT	MALE	O_WAR_M_CHEER.rws
CHEER	ORC	RANGER	FEMALE	O_HUN_W_CHEER.rws
CHEER	ORC	MAGE	MALE	O_SHA_M_CHEER.rws
CHEER	MOONELF	RANGER	FEMALE	M_Hunter_W_CHEER.rws
CHEER	MOONELF	MAGE	FEMALE	M_Sha_W_CHEER.rws
OKMARIO	ORC	KNIGHT	MALE	O_WAR_M_OKMARIO.rws
SELECT1	HUMAN	KNIGHT	MALE	H_KNI_M_HAND_selection.rws
SELECT2	HUMAN	KNIGHT	MALE	H_Kni_M_OneSword_Selection.rws
SELECT3	HUMAN	KNIGHT	MALE	H_Kni_M_OneSword_Selection.rws
SELECT4	HUMAN	KNIGHT	MALE	H_Kni_M_TwoSword_Selection.rws
SELECT5	HUMAN	KNIGHT	MALE	H_Kni_M_TwoSword_Selection.rws
SELECT6	HUMAN	KNIGHT	MALE	H_Kni_M_Polearm_Selection.rws
SELECT7	HUMAN	KNIGHT	MALE	H_Kni_M_Polearm_Selection.rws
SELECT1	ORC	KNIGHT	MALE	O_War_M_Hand_Selection.rws
SELECT2	ORC	KNIGHT	MALE	O_War_M_OneSword_Selection.rws
SELECT3	ORC	KNIGHT	MALE	O_War_M_OneSword_Selection.rws
SELECT4	ORC	KNIGHT	MALE	O_War_M_TwoSword_Selection.rws
SELECT5	ORC	KNIGHT	MALE	O_War_M_2Blunt_Selection.rws
SELECT6	ORC	KNIGHT	MALE	O_War_M_Polearm_Selection.rws
SELECT7	ORC	KNIGHT	MALE	O_War_M_Polearm_Selection.rws
SELECT1	HUMAN	RANGER	MALE	H_Arc_M_HAND_selection.rws
SELECT2	HUMAN	RANGER	MALE	H_Arc_M_Bow_selection.rws
SELECT3	HUMAN	RANGER	MALE	H_Arc_M_Crossbow_selection.rws
SELECT1	ORC	RANGER	FEMALE	O_Hun_W_Hand_Selection.rws
SELECT2	ORC	RANGER	FEMALE	O_Hun_W_Bow_Selection.rws
SELECT3	ORC	RANGER	FEMALE	O_Hun_W_Crossbow_Selection.rws
SELECT1	MOONELF	RANGER	FEMALE	M_Hunter_W_Hand_Selection.rws
SELECT2	MOONELF	RANGER	FEMALE	M_Hunter_W_Bow_Selection.rws
SELECT7	MOONELF	RANGER	FEMALE	M_Hunter_W_KATARIYA_Selection.rws			
SELECT1	HUMAN	MAGE	FEMALE	H_Wiz_W_Hand_Selection.rws			
SELECT2	HUMAN	MAGE	FEMALE	H_Wiz_W_Hand_Selection.rws			
SELECT3	HUMAN	MAGE	FEMALE	H_Wiz_W_Hand_Selection.rws			
SELECT1	ORC	MAGE	MALE	O_Sha_M_Hand_Selection.rws			
SELECT2	ORC	MAGE	MALE	O_Sha_M_Staff_Selection.rws			
SELECT3	ORC	MAGE	MALE	O_Sha_M_Wand_Selection.rws			
SELECT1	MOONELF	MAGE	FEMALE	M_Sha_W_HAND_selection.rws			
SELECT2	MOONELF	MAGE	FEMALE	M_Sha_W_STAFF_selection.rws			
SELECT7	MOONELF	MAGE	FEMALE	M_Sha_W_CHAKRAM_selection.rws			
SELECT1_BACK	HUMAN	KNIGHT	MALE	H_KNI_M_HAND_Selection_B.rws			
SELECT2_BACK	HUMAN	KNIGHT	MALE	H_Kni_M_OneSword_Selection_B.rws			
SELECT3_BACK	HUMAN	KNIGHT	MALE	H_Kni_M_OneSword_Selection_B.rws			
SELECT4_BACK	HUMAN	KNIGHT	MALE	H_Kni_M_TwoSword_Selection_B.rws			
SELECT5_BACK	HUMAN	KNIGHT	MALE	H_Kni_M_TwoSword_Selection_B.rws			
SELECT6_BACK	HUMAN	KNIGHT	MALE	H_Kni_M_Polearm_Selection_B.rws			
SELECT7_BACK	HUMAN	KNIGHT	MALE	H_Kni_M_Polearm_Selection_B.rws
SELECT1_BACK	ORC	KNIGHT	MALE	O_War_M_Hand_Selection_B.rws
SELECT2_BACK	ORC	KNIGHT	MALE	O_War_M_OneSword_Selection_B.rws
SELECT3_BACK	ORC	KNIGHT	MALE	O_War_M_OneSword_Selection_B.rws
SELECT4_BACK	ORC	KNIGHT	MALE	O_War_M_TwoSword_Selection_B.rws
SELECT5_BACK	ORC	KNIGHT	MALE	O_War_M_2Blunt_Selection_B.rws
SELECT6_BACK	ORC	KNIGHT	MALE	O_War_M_Polearm_Selection_B.rws
SELECT7_BACK	ORC	KNIGHT	MALE	O_War_M_Polearm_Selection_B.rws
SELECT1_BACK	HUMAN	RANGER	MALE	H_Arc_M_HAND_selection_B.rws
SELECT2_BACK	HUMAN	RANGER	MALE	H_Arc_M_Bow_selection_B.rws
SELECT3_BACK	HUMAN	RANGER	MALE	H_Arc_M_Crossbow_selection_B.rws
SELECT1_BACK	ORC	RANGER	FEMALE	O_HUN_W_HAND_SELECTION_B.rws
SELECT2_BACK	ORC	RANGER	FEMALE	O_HUN_W_BOW_SELECTION_B.rws
SELECT3_BACK	ORC	RANGER	FEMALE	O_HUN_W_CROSSBOW_SELECTION_B.rws
SELECT1_BACK	MOONELF	RANGER	FEMALE	M_Hunter_W_Hand_Selection_B.rws
SELECT2_BACK	MOONELF	RANGER	FEMALE	M_Hunter_W_Bow_Selection_B.rws
SELECT7_BACK	MOONELF	RANGER	FEMALE	M_Hunter_W_KATARIYA_Selection_B.rws
SELECT1_BACK	HUMAN	MAGE	FEMALE	H_Wiz_W_Hand_Selection_B.rws
SELECT2_BACK	HUMAN	MAGE	FEMALE	H_Wiz_W_Hand_Selection_B.rws
SELECT3_BACK	HUMAN	MAGE	FEMALE	H_Wiz_W_Hand_Selection_B.rws
SELECT1_BACK	ORC	MAGE	MALE	O_Sha_M_Hand_Selection_B.rws
SELECT2_BACK	ORC	MAGE	MALE	O_Sha_M_Staff_Selection_B.rws
SELECT3_BACK	ORC	MAGE	MALE	O_Sha_M_Wand_Selection_B.rws
SELECT1_BACK	MOONELF	MAGE	FEMALE	M_Sha_W_HAND_selection_B.rws
SELECT2_BACK	MOONELF	MAGE	FEMALE	M_Sha_W_STAFF_selection_B.rws
SELECT7_BACK	MOONELF	MAGE	FEMALE	M_Sha_W_CHAKRAM_selection_B.rws
