tid	Description	Body	Legs	Weapon	Shield	Head	Ring	Necklace	Boots	Gloves	Refinery	Gacha	Type	PointType	Level_limit	Rank_limit	Probability	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	regen_mp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point	Ignore_Physical_Defense_Rate	Ignore_Attribute_Defense_Rate	Critical_Defense_Rate	ReinforcementRate
42	Movement Speed +2%												8	1	1	1	400					2																																																											○										
43	Movement Speed +3%												8	1	1	1	100					3																																																											○										
44	Movement Speed +4%												8	1	1	1	50					4																																																											○										
45	Movement Speed +5%												8	1	1	1	5					5																																																											○										
46	Attack Speed +1%												9	1	1	1	500				1																																																												○										
47	Attack Speed +2%												9	1	1	1	400				2																																																												○										
48	Attack Speed +3%												9	1	1	1	100				3																																																												○										
49	Attack Speed +4%												9	1	1	1	50				4																																																												○										
50	Attack Speed +5%												9	1	1	1	5				5																																																												○										
51	Strength +1												10		1	1	500																																									1																							○										
52	Strength +2												10		1	1	400																																									2																							○										
53	Strength +3												10		1	1	150																																									3																							○										
54	Strength +4												10		1	1	100																																									4																							○										
55	Strength +5												10		1	1	80																																									5																							○										
56	Strength +6												10		1	1	60																																									6																							○										
57	Strength +7												10		1	1	40																																									7																							○										
58	Strength +8												10		1	1	20																																									8																							○										
59	Strength +9												10		1	1	10																																									9																							○										
60	Strength +10												10		1	1	5																																									10																							○										
61	Agility +1												11		1	1	500																																										1																						○										
62	Agility +2												11		1	1	400																																										2																						○										
63	Agility +3												11		1	1	150																																										3																						○										
64	Agility +4												11		1	1	100																																										4																						○										
65	Agility +5												11		1	1	80																																										5																						○										
66	Agility +6												11		1	1	60																																										6																						○										
67	Agility +7												11		1	1	40																																										7																						○										
68	Agility +8												11		1	1	20																																										8																						○										
69	Agility +9												11		1	1	10																																										9																						○										
70	Agility +10												11		1	1	5																																										10																						○										
71	Intelligence +1												12		1	1	500																																											1																					○										
72	Intelligence +2												12		1	1	400																																											2																					○										
73	Intelligence +3												12		1	1	150																																											3																					○										
74	Intelligence +4												12		1	1	100																																											4																					○										
75	Intelligence +5												12		1	1	80																																											5																					○										
76	Intelligence +6												12		1	1	60																																											6																					○										
77	Intelligence +7												12		1	1	40																																											7																					○										
78	Intelligence +8												12		1	1	20																																											8																					○										
79	Intelligence +9												12		1	1	10																																											9																					○										
80	Intelligence +10												12		1	1	5																																											10																					○										
81	Stamina +1												13		1	1	500																																												1																				○										
82	Stamina +2												13		1	1	400																																												2																				○										
83	Stamina +3												13		1	1	100																																												3																				○										
84	Stamina +4												13		1	1	50																																												4																				○										
85	Stamina +5												13		1	1	10																																												5																				○										
86	Stamina +6												13		1	1	5																																												6																				○										
87	Stamina +7												13		1	1	4																																												7																				○										
88	Stamina +8												13		1	1	3																																												8																				○										
89	Stamina +9												13		1	1	2																																												9																				○										
90	Stamina +10												13		1	1	1																																												10																				○										
91	Wisdom +1												14		1	1	500																																													1																			○										
92	Wisdom +2												14		1	1	400																																													2																			○										
93	Wisdom +3												14		1	1	150																																													3																			○										
94	Wisdom +4												14		1	1	100																																													4																			○										
95	Wisdom +5												14		1	1	80																																													5																			○										
96	Wisdom +6												14		1	1	60																																													6																			○										
97	Wisdom +7												14		1	1	40																																													7																			○										
98	Wisdom +8												14		1	1	20																																													8																			○										
99	Wisdom +9												14		1	1	10																																													9																			○										
100	Wisdom +10												14		1	1	5																																													10																			○										
101	Defense +1												15		1	1	450																									1																																							○										
102	Defense +2												15		1	1	400																									2																																							○										
103	Defense +3												15		1	1	100																									3																																							○										
104	Defense +4												15		1	1	40																									4																																							○										
105	Defense +5												15		1	1	10																									5																																							○										
106	Defense +6												15		1	1	5																									6																																							○										
107	Defense +7												15		1	1	4																									7																																							○										
108	Defense +8												15		1	1	3																									8																																							○										
109	Defense +9												15		1	1	2																									9																																							○										
110	Defense +10												15		1	1	1																									10																																							○										
111	Attack Rating +1												16		1	1	500																										1																																						○										
112	Attack Rating +2												16		1	1	400																										2																																						○										
113	Attack Rating +3												16		1	1	100																										3																																						○										
114	Attack Rating +4												16		1	1	50																										4																																						○										
115	Attack Rating +5												16		1	1	5																										5																																						○										
116	Block +1%												17		1	1	500																												1																																				○										
117	Block +2%												17		1	1	400																												2																																				○										
118	Block +3%												17		1	1	100																												3																																				○										
119	Block +4%												17		1	1	50																												4																																				○										
120	Block +5%												17		1	1	5																												5																																				○										
121	Rank -1												18		1	1	0																																														-1																												
122	Rank +1												18		1	1	0																																														1																												
123	Rank +2												18		1	1	0																																														2																												
124	Rank +3												18		1	1	0																																														3																												
125	All Elemental Attacks +2												21		1	1	100									2	2	2	2	2																																																			○										
126	All Elemental Attacks +4												21		1	1	50									4	4	4	4	4																																																			○										
127	All Elemental Attacks +6												21		1	1	5									6	6	6	6	6																																																			○										
128	All Elemental Resistances +2%												20		1	1	100																													2	2	2	2	2																															○										
129	All Elemental Resistances +4%												20		1	1	50																													4	4	4	4	4																															○										
130	All Elemental Resistances +6%												20		1	1	5																													6	6	6	6	6																															○										
131	All Stats +2												19		1	1	400																																									2	2	2	2	2																			○										
132	All Stats +4												19		1	1	100																																									4	4	4	4	4																			○										
133	All Stats +6												19		1	1	50																																									6	6	6	6	6																			○										
134	All Stats +8												19		1	1	5																																									8	8	8	8	8																			○										
135	Max. HP +10%												6	1	1	1																																								10																									○										
136	All Elemental Resistances +10%												20		1	1																														10	10	10	10	10																															○										
137	Movement Speed +10%												8	1	1	1						10																																																											○										
138	Attack Speed +10%												9	1	1	1					10																																																												○										
1001	Damage +1												1		1	1							1																																																										○										
1002	Damage +3												1		1	1							3																																																										○										
1003	Damage +5												1		1	1							5																																																										○										
1004	Damage +6												1		1	1							6																																																										○										
1005	Damage +7												1		1	1							7																																																										○										
1006	Damage +8												1		1	1							8																																																										○										
1007	Damage +9												1		1	1							9																																																										○										
1008	Damage +10												1		1	1							10																																																										○										
1009	Damage +11												1		1	1							11																																																										○										
1010	Damage +12												1		1	1							12																																																										○										
1011	Damage +13												1		1	1							13																																																										○										
1012	Damage +14												1		1	1							14																																																										○										
1013	Defense +6												15		1	1																										6																																							○										
1014	Defense +7												15		1	1																										7																																							○										
1015	Defense +8												15		1	1																										8																																							○										
1016	Defense +9												15		1	1																										9																																							○										
1017	Defense +10												15		1	1																										10																																							○										
1018	Defense +11												15		1	1																										11																																							○										
1019	Defense +12												15		1	1																										12																																							○										
1020	Defense +13												15		1	1																										13																																							○										
1021	Defense +14												15		1	1																										14																																							○										
1022	Wisdom +1												14		1	1																																														1																			○										
1023	Wisdom +3												14		1	1																																														3																			○										
1024	Wisdom +5												14		1	1																																														5																			○										
1025	Wisdom +6												14		1	1																																														6																			○										
1026	Wisdom +7												14		1	1																																														7																			○										
1027	Wisdom +8												14		1	1																																														8																			○										
1028	Wisdom +9												14		1	1																																														9																			○										
1029	Wisdom +10												14		1	1																																														10																			○										
1030	Wisdom +11												14		1	1																																														11																			○										
1031	Wisdom +12												14		1	1																																														12																			○										
1032	Wisdom +13												14		1	1																																														13																			○										
1033	Wisdom +14												14		1	1																																														14																			○										
1034	Strength +6												10		1	1																																										6																							○										
1035	Strength +7												10		1	1																																										7																							○										
1036	Strength +8												10		1	1																																										8																							○										
1037	Strength +9												10		1	1																																										9																							○										
1038	Strength +10												10		1	1																																										10																							○										
1039	Strength +11												10		1	1																																										11																							○										
1040	Strength +12												10		1	1																																										12																							○										
1041	Strength +13												10		1	1																																										13																							○										
1042	Strength +14												10		1	1																																										14																							○										
1043	Intelligence +1												12		1	1																																												1																					○										
1044	Intelligence +3												12		1	1																																												3																					○										
1045	Intelligence +5												12		1	1																																												5																					○										
1046	Intelligence +6												12		1	1																																												6																					○										
1047	Intelligence +7												12		1	1																																												7																					○										
1048	Intelligence +8												12		1	1																																												8																					○										
1049	Intelligence +9												12		1	1																																												9																					○										
1050	Intelligence +10												12		1	1																																												10																					○										
1051	Intelligence +11												12		1	1																																												11																					○										
1052	Intelligence +12												12		1	1																																												12																					○										
1053	Intelligence +13												12		1	1																																												13																					○										
1054	Intelligence +14												12		1	1																																												14																					○										
1055	Agility +6												11		1	1																																											6																						○										
1056	Agility +7												11		1	1																																											7																						○										
1057	Agility +8												11		1	1																																											8																						○										
1058	Agility +9												11		1	1																																											9																						○										
1059	Agility +10												11		1	1																																											10																						○										
1060	Agility +11												11		1	1																																											11																						○										
1061	Agility +12												11		1	1																																											12																						○										
1062	Agility +13												11		1	1																																											13																						○										
1063	Agility +14												11		1	1																																											14																						○										
1064	Stamina +1												13		1	1																																													1																				○										
1065	Stamina +3												13		1	1																																													3																				○										
1066	Stamina +5												13		1	1																																													5																				○										
1067	Stamina +7												13		1	1																																													7																				○										
1068	Stamina +9												13		1	1																																													9																				○										
1069	All Stats +2												19		1	1																																										2	2	2	2	2																			○										
1070	All Stats +3												19		1	1																																										3	3	3	3	3																			○										
1071	All Stats +4												19		1	1																																										4	4	4	4	4																			○										
1072	All Stats +5												19		1	1																																										5	5	5	5	5																			○										
1073	All Stats +6												19		1	1																																										6	6	6	6	6																			○										
1074	All Elemental Resistances +10%												20		1	1																														10	10	10	10	10																															○										
1075	All Elemental Resistances +15%												20		1	1																														15	15	15	15	15																															○										
1076	All Elemental Resistances +20%												20		1	1																														20	20	20	20	20																															○										
1077	All Elemental Resistances +25%												20		1	1																														25	25	25	25	25																															○										
1078	All Elemental Resistances +30%												20		1	1																														30	30	30	30	30																															○										
1079	Max. Mana +60												7		1	1																																							60																										○										
1080	Max. Mana +70												7		1	1																																							70																										○										
1081	Attack Speed +1%												9	1	1	1					1																																																												○										
1082	Attack Speed +2%												9	1	1	1					2																																																												○										
1083	Attack Speed +4%												9	1	1	1					4																																																												○										
1084	Attack Speed +6%												9	1	1	1					6																																																												○										
1085	Attack Speed +7%												9	1	1	1					7																																																												○										
1086	Attack Rating +6												16		1	1																											6																																						○										
1087	Attack Rating +7												16		1	1																											7																																						○										
1088	Damage +4												1		1	1							4																																																										○										
1089	Defense +3												15		1	1																										3																																							○										
1090	Defense +4												15		1	1																										4																																							○										
1091	Defense +5												15		1	1																										5																																							○										
1092	All Stats +7												19		1	1																																										7	7	7	7	7																			○										
1093	All Stats +8												19		1	1																																										8	8	8	8	8																			○										
1094	All Stats +9												19		1	1																																										9	9	9	9	9																			○										
1095	All Stats +10												19		1	1																																										10	10	10	10	10																			○										
1096	All Elemental Resistances +2%												20		1	1																														2	2	2	2	2																															○										
1097	All Elemental Resistances +3%												20		1	1																														3	3	3	3	3																															○										
1098	All Elemental Resistances +4%												20		1	1																														4	4	4	4	4																															○										
1099	All Elemental Resistances +5%												20		1	1																														5	5	5	5	5																															○										
1100	All Elemental Resistances +6%												20		1	1																														6	6	6	6	6																															○										
1101	All Elemental Resistances +7%												20		1	1																														7	7	7	7	7																															○										
1102	All Elemental Resistances +8%												20		1	1																														8	8	8	8	8																															○										
1103	All Elemental Resistances +9%												20		1	1																														9	9	9	9	9																															○										
1104	All Elemental Resistances +10%												20		1	1																														10	10	10	10	10																															○										
1105	All Elemental Attacks +2												21		1	1										2	2	2	2	2																																																			○										
1106	All Elemental Attacks +3												21		1	1										3	3	3	3	3																																																			○										
1107	All Elemental Attacks +4												21		1	1										4	4	4	4	4																																																			○										
1108	All Elemental Attacks +5												21		1	1										5	5	5	5	5																																																			○										
1109	All Elemental Attacks +6												21		1	1										6	6	6	6	6																																																			○										
1110	All Elemental Attacks +7												21		1	1										7	7	7	7	7																																																			○										
1111	All Elemental Attacks +8												21		1	1										8	8	8	8	8																																																			○										
1112	All Elemental Attacks +9												21		1	1										9	9	9	9	9																																																			○										
1113	All Elemental Attacks +10												21		1	1										10	10	10	10	10																																																			○										
2001	Damage +4												1										4																																																										○	1	10	1							
2002	Damage +6												1										6																																																										○	11	20	1							
2003	Damage +8												1										8																																																										○	21	30	1							
2004	Damage +10												1										10																																																										○	31	40	1							
2005	Damage +12												1										12																																																										○	41	50	1							
2006	Damage +14												1										14																																																										○	51	60	1							
2007	Damage +16												1										16																																																										○	61	70	1							
2008	Damage +18												1										18																																																										○	71	80	1							
2009	Damage +20												1										20																																																										○	81	90	1							
2010	Damage +22												1										22																																																										○	91	100	1							
2011	Resistance +2%												2											2																																																									○	1	10	2							
2012	Resistance +3%												2											3																																																									○	11	20	2							
2013	Resistance +4%												2											4																																																									○	21	30	2							
2014	Resistance +5%												2											5																																																									○	31	40	2							
2015	Resistance +6%												2											6																																																									○	41	50	2							
2016	Resistance +7%												2											7																																																									○	51	60	2							
2017	Resistance +8%												2											8																																																									○	61	70	2							
2018	Resistance +9%												2											9																																																									○	71	80	2							
2019	Resistance +10%												2											10																																																									○	81	90	2							
2020	Resistance +11%												2											11																																																									○	91	100	2							
2021	Skill Block +2%												3												2																																																								○	1	10	3							
2022	Skill Block +3%												3												3																																																								○	11	20	3							
2023	Skill Block +4%												3												4																																																								○	21	30	3							
2024	Skill Block +5%												3												5																																																								○	31	40	3							
2025	Skill Block +6%												3												6																																																								○	41	50	3							
2026	Skill Block +7%												3												7																																																								○	51	60	3							
2027	Skill Block +8%												3												8																																																								○	61	70	3							
2028	Skill Block +9%												3												9																																																								○	71	80	3							
2029	Skill Block +10%												3												10																																																								○	81	90	3							
2030	Skill Block +11%												3												11																																																								○	91	100	3							
2031	Max. HP +10												4																																									10																											○	1	10	4							
2032	Max. HP +20												4																																									20																											○	11	20	4							
2033	Max. HP +30												4																																									30																											○	21	30	4							
2034	Max. HP +40												4																																									40																											○	31	40	4							
2035	Max. HP +50												4																																									50																											○	41	50	4							
2036	Max. HP +60												4																																									60																											○	51	60	4							
2037	Max. HP +70												4																																									70																											○	61	70	4							
2038	Max. HP +80												4																																									80																											○	71	80	4							
2039	Max. HP +90												4																																									90																											○	81	90	4							
2040	Max. HP +100												4																																									100																											○	91	100	4							
2041	Max. Mana +10												5																																										10																										○	1	10	5							
2042	Max. Mana +20												5																																										20																										○	11	20	5							
2043	Max. Mana +30												5																																										30																										○	21	30	5							
2044	Max. Mana +40												5																																										40																										○	31	40	5							
2045	Max. Mana +50												5																																										50																										○	41	50	5							
2046	Max. Mana +60												5																																										60																										○	51	60	5							
2047	Max. Mana +70												5																																										70																										○	61	70	5							
2048	Max. Mana +80												5																																										80																										○	71	80	5							
2049	Max. Mana +90												5																																										90																										○	81	90	5							
2050	Max. Mana +100												5																																										100																										○	91	100	5							
2051	Max. HP +4%												6	1																																										4																									○	1	10	6							
2052	Max. HP +5%												6	1																																										5																									○	11	20	6							
2053	Max. HP +6%												6	1																																										6																									○	21	30	6							
2054	Max. HP +7%												6	1																																										7																									○	31	40	6							
2055	Max. HP +8%												6	1																																										8																									○	41	50	6							
2056	Max. HP +9%												6	1																																										9																									○	51	60	6							
2057	Max. HP +10%												6	1																																										10																									○	61	70	6							
2058	Max. HP +11%												6	1																																										11																									○	71	80	6							
2059	Max. HP +12%												6	1																																										12																									○	81	90	6							
2060	Max. HP +13%												6	1																																										13																									○	91	100	6							
2061	Max. Mana +4%												7	1																																											4																								○	1	10	7							
2062	Max. Mana +5%												7	1																																											5																								○	11	20	7							
2063	Max. Mana +6%												7	1																																											6																								○	21	30	7							
2064	Max. Mana +7%												7	1																																											7																								○	31	40	7							
2065	Max. Mana +8%												7	1																																											8																								○	41	50	7							
2066	Max. Mana +9%												7	1																																											9																								○	51	60	7							
2067	Max. Mana +10%												7	1																																											10																								○	61	70	7							
2068	Max. Mana +11%												7	1																																											11																								○	71	80	7							
2069	Max. Mana +12%												7	1																																											12																								○	81	90	7							
2070	Max. Mana +13%												7	1																																											13																								○	91	100	7							
2071	Movement Speed +1%												8	1								1																																																											○	1	10	8							
2072	Movement Speed +2%												8	1								2																																																											○	11	20	8							
2073	Movement Speed +3%												8	1								3																																																											○	21	30	8							
2074	Movement Speed +4%												8	1								4																																																											○	31	40	8							
2075	Movement Speed +5%												8	1								5																																																											○	41	50	8							
2076	Movement Speed +6%												8	1								6																																																											○	51	60	8							
2077	Movement Speed +7%												8	1								7																																																											○	61	70	8							
2078	Movement Speed +8%												8	1								8																																																											○	71	80	8							
2079	Movement Speed +9%												8	1								9																																																											○	81	90	8							
2080	Movement Speed +10%												8	1								10																																																											○	91	100	8							
2081	Attack Speed +1%												9	1							1																																																												○	1	10	9							
2082	Attack Speed +2%												9	1							2																																																												○	11	20	9							
2083	Attack Speed +3%												9	1							3																																																												○	21	30	9							
2084	Attack Speed +4%												9	1							4																																																												○	31	40	9							
2085	Attack Speed +5%												9	1							5																																																												○	41	50	9							
2086	Attack Speed +6%												9	1							6																																																												○	51	60	9							
2087	Attack Speed +7%												9	1							7																																																												○	61	70	9							
2088	Attack Speed +8%												9	1							8																																																												○	71	80	9							
2089	Attack Speed +9%												9	1							9																																																												○	81	90	9							
2090	Attack Speed +10%												9	1							10																																																												○	91	100	9							
2091	Defense +4												15																													4																																							○	1	10	15							
2092	Defense +6												15																													6																																							○	11	20	15							
2093	Defense +8												15																													8																																							○	21	30	15							
2094	Defense +10												15																													10																																							○	31	40	15							
2095	Defense +12												15																													12																																							○	41	50	15							
2096	Defense +14												15																													14																																							○	51	60	15							
2097	Defense +16												15																													16																																							○	61	70	15							
2098	Defense +18												15																													18																																							○	71	80	15							
2099	Defense +20												15																													20																																							○	81	90	15							
2100	Defense +22												15																													22																																							○	91	100	15							
2101	Attack Rating +4												16																														4																																						○	1	10	16							
2102	Attack Rating +6												16																														6																																						○	11	20	16							
2103	Attack Rating +8												16																														8																																						○	21	30	16							
2104	Attack Rating +10												16																														10																																						○	31	40	16							
2105	Attack Rating +12												16																														12																																						○	41	50	16							
2106	Attack Rating +14												16																														14																																						○	51	60	16							
2107	Attack Rating +16												16																														16																																						○	61	70	16							
2108	Attack Rating +18												16																														18																																						○	71	80	16							
2109	Attack Rating +20												16																														20																																						○	81	90	16							
2110	Attack Rating +22												16																														22																																						○	91	100	16							
2111	Block +2%												17																																2																																				○	1	10	17							
2112	Block +3%												17																																3																																				○	11	20	17							
2113	Block +4%												17																																4																																				○	21	30	17							
2114	Block +5%												17																																5																																				○	31	40	17							
2115	Block +6%												17																																6																																				○	41	50	17							
2116	Block +7%												17																																7																																				○	51	60	17							
2117	Block +8%												17																																8																																				○	61	70	17							
