Item	Depth	Content
G키	1	<HFF7272FA>길드 관리 창<HFFFFFFFF>을 불러낼 수 있습니다. 길드 관리 창에서는 자신이 속한 길드나 길드원의 정보를 확인할 수 있습니다. 길드에 가입하지 않았을 경우는 아무런 내용도 나타나지 않습니다. 화면 오른쪽 아래의 커뮤니티 버튼을 누르면 나타나는 메뉴에서도 길드 관리 창은 열 수 있습니다.
M키	1	<HFF7272FA>작은지도<HFFFFFFFF>를 열거나 닫을 수 있습니다. 작은지도는 기본 적으로 열려 있습니다. 작은지도에서는 현재 자신의 위치와 NPC의 위치를 확인할 수 있습니다. 작은 지도 위에 있는 -와 + 버튼을 통해 작은 지도의 크기를 변경 시키는 것이 가능합니다. 화면 오른쪽 아래의 월드 버튼을 누르면 나타나는 메뉴에서도 작은지도 창은 열고 닫을 수 있습니다.
O키	1	<HFF7272FA>게임 설정 창<HFFFFFFFF>을 불러낼 수 있습니다. 화면 설정과 소리 설정을 통해 자신의 컴퓨터 사양에 맞춰 게임의 설정을 변경시킬 수 있습니다. 화면 설정과 소리 설정을 비롯한 다양한 변화가 가능하다. O키를 다시 누르면 게임 설정 창을 닫을 수 있습니다. 화면 오른쪽 아래의 옵션 버튼을 눌러서 게임 설정 창을 여는 게 가능합니다. 
Q키	1	<HFF7272FA>퀘스트 일지<HFFFFFFFF>창을 불러낼 수 있습니다. 퀘스트 일지에서는 현재 자신이 받은 <HFF7272FA>퀘스트의 리스트<HFFFFFFFF>, <HFF7272FA>퀘스트의 진행 상황<HFFFFFFFF>와 <HFF7272FA>퀘스트의 완료 조건<HFFFFFFFF>이 확인 가능합니다. 회색으로 보이는 완료 조건은 이미 달성된 것입니다. Q키를 다시 누르면 퀘스트 일지 창을 닫을 수 있습니다. 화면 오른쪽 아래의 캐릭터 버튼의 메뉴에서도 퀘스트 일지 창을 열고 닫을 수 있습니다.
TAB키	1	<HFF7272FA>월드맵<HFFFFFFFF>창을 불러낼 수 있습니다. 월드맵은 경우에 따라 다양하게 보입니다. 전투 지역에서는 <HFF7272FA>대륙 지도<HFFFFFFFF>가 보이며, 던전에서는 <HFF7272FA>던전 지도<HFFFFFFFF>가 나타납니다. 마을 안에 있을 때에는 <HFF7272FA>마을 지도<HFFFFFFFF>가 나타납니다. 마을 지도에서는 작은지도와 마찬가지로 <HFF7272FA>NPC 위치<HFFFFFFFF>를 확인할 수 있습니다. Tab키를 다시 누르면 월드맵을 닫을 수 있으며, 화면 오른쪽 하단의 월드 버튼을 눌러서 나타나는 메뉴에서도 열고 닫을 수 있습니다.
SPACE키	1	<HFF7272FA>자동으로 아이템 줍기<HFFFFFFFF>를 할 수 있습니다. 기본적으로 아이템은 마우스 포인터로 줍는 것이 가능하나, 바닥에 떨어진 아이템 주변에서 Space 키를 누르면 빠르게 아이템을 주울 수 있습니다. 키를 한 번 누를 때 마다 아이템 하나씩을 주울 수 있습니다.
Alt키	1	땅에 떨어진 아이템의 <HFF7272FA>이름을 표시<HFFFFFFFF>할 수 있습니다. 여러 개의 아이템이 떨어져 있을 때, 선별해서 아이템을 줍고 싶다면 유용하게 쓸 수 있습니다. Alt키를 다시 누르면 아이템 위에 보이던 이름이 사라집니다.
ENTER키	1	<HFF7272FA>채팅 입력창<HFFFFFFFF>을 나타나게 합니다. 입력 창이 열리지 않으면 채팅 내용을 입력할 수 없으며, 입력 후 다시 Enter 키를 누르면 내용이 출력 되면서 입력 창은 닫힙니다. 내용 입력을 하지 않더라도 다시 Enter 키를 누르면 입력 창은 닫힙니다.
커뮤니티 명령어	0	
/w 유저ID 귓속말내용	1	특정 유저에게만 메시지를 보내고 싶은 경우 <HFF7272FA>귓속말<HFFFFFFFF>을 <HFF7272FA>지정한 ID의 유저<HFFFFFFFF>에게 보냅니다. 상대의 ID를 알고 있을 경우에 유용하게 쓰일 수 있습니다. 상대가 접속해 있지 않은 경우에는 사용할 수 없습니다. [^ 유저 ID 귓속말내용]과 같은 기능입니다.
^ 유저ID 귓속말내용	1	특정 유저에게만 메시지를 보내고 싶은 경우 <HFF7272FA>귓속말<HFFFFFFFF>을 <HFF7272FA>지정한 ID의 유저<HFFFFFFFF>에게 보냅니다. 상대의 ID를 알고 있을 경우에 유용하게 쓰일 수 있습니다. 상대가 접속해 있지 않은 경우에는 사용할 수 없습니다. [/w 유저 ID 귓속말 내용]과 같은 기능입니다.
/p 파티말내용	1	<HFF7272FA>자신이 속한 파티의 파티원에게만<HFFFFFFFF> 메시지를 보내고 싶은 경우 사용하는 명령어입니다. 파티에 속해 있을 경우에만 사용 가능합니다. [$ 파티말내용]과 같은 기능입니다.
$파티말내용	1	<HFF7272FA>자신이 속한 파티의 파티원에게만<HFFFFFFFF> 메시지를 보내고 싶은 경우 사용하는 명령어입니다. 파티에 속해 있을 경우에만 사용 가능합니다. [/p 파티말내용]과 같은 기능입니다.
/g 길드말내용	1	<HFF7272FA>자신이 속한 길드의 길드원<HFFFFFFFF>에게만 메시지를 보내고 싶은 경우 사용하는 명령어입니다. 길드에 속해 있을 경우에만 사용 가능합니다. [@ 길드말내용]과 같은 기능입니다.
@길드말내용	1	<HFF7272FA>자신이 속한 길드의 길드원<HFFFFFFFF>에게만 메시지를 보내고 싶은 경우 사용하는 명령어입니다. 길드에 속해 있을 경우에만 사용 가능합니다. [/g 길드말내용]과 같은 기능입니다.
/s 외칠말내용	1	<HFF7272FA>자신의 지역적인 위치 상관 없이 서버에 접속한 모든 이들에게 메시지를 보내고 싶은 경우<HFFFFFFFF> 사용하는 명령어입니다. 다른 서버에서는 보이지 않습니다. [! 외칠말내용]과 같은 기능입니다.
!외칠말내용	1	<HFF7272FA>자신의 지역적인 위치 상관 없이 서버에 접속한 모든 이들에게 메시지를 보내고 싶은 경우<HFFFFFFFF> 사용하는 명령어입니다. 다른 서버에서는 보이지 않습니다. [/s 외칠말내용]과 같은 기능입니다.
캐릭터 작동 방법	0	
캐릭터 선택	1	지정하고자 하는 상대의 위에 마우스 포인터를 놓은 후 <HFF7272FA>마우스 왼쪽 버튼을 한 번 클릭<HFFFFFFFF>하면 캐릭터를 선택할 수 있습니다. 다른 유저와 몬스터 모두 마찬가지이나, 이 상태에서 다음 행동을 할 수 있습니다.
자동 공격#1	1	몬스터가 선택된 상태에서 다시 한 번 <HFF7272FA>마우스 왼쪽 버튼 클릭<HFFFFFFFF>을 해주거나, 선택되지 않은 상태에서 몬스터를 <HFF7272FA>마우스 왼쪽 버튼 두 번 클릭<HFFFFFFFF>을 하면 자동 공격에 들어갑니다. 자동 공격 상태에 들어가면 기본 공격을 연속으로 하며, 공격 중 다른 곳으로 이동을 하더라도 공격 중이었던 대상을 다시 지정해주면 자동 공격 상태로 바로 들어갑니다.
자동 공격#2	1	몬스터가 선택된 상태에서 단축 창 세트에 올라가 있는 <HFF7272FA>일반 공격의 단축 키(기본 3번)<HFFFFFFFF>을 눌러주면 자동 공격으로 들어갑니다. 이 상태는 [자동 공격 #1]과 동일합니다. 
스킬 사용	1	몬스터가 선택된 상태에서 <HFF7272FA>스킬이 단축 창 세트에 올라가 있을 때, 그 스킬에 해당하는 단축 키<HFFFFFFFF>를 누르거나 <HFF7272FA>마우스 오른쪽 버튼 클릭<HFFFFFFFF>을 하면 스킬을 쓸 수 있습니다. 자동 공격 중에 스킬을 사용하면, 스킬이 끝난 후에 다시 기본 자동 공격으로 돌아갑니다.
유저 메뉴	1	선택한 상대가 몬스터가 아닌 <HFF7272FA>다른 유저<HFFFFFFFF>의 경우, 화면 위쪽의 상대 유저의 이름 오른쪽으로 <HFF7272FA>유저 메뉴<HFFFFFFFF> 버튼을 볼 수 있습니다. 유저메뉴로 <HFF7272FA>파티<HFFFFFFFF>를 맺거나 <HFF7272FA>상거래<HFFFFFFFF>를 하는 것이 가능합니다. 
카메라 이동	1	<HFF7272FA>마우스 오른쪽 버튼<HFFFFFFFF>을 누른 상태에서 마우스를 상하좌우로 이동하면 자신의 캐릭터를 중심으로 <HFF7272FA>카메라<HFFFFFFFF>가 이동하는 것을 볼 수 있습니다. 또 <HFF7272FA>휠 버튼<HFFFFFFFF>을 누르면 카메라가 <HFF7272FA>수평으로 180도 회전<HFFFFFFFF>합니다.
카메라 줌 인/아웃	1	<HFF7272FA>마우스 휠<HFFFFFFFF>을 <HFF7272FA>위<HFFFFFFFF>로 돌리면 카메라가 <HFF7272FA>줌 인<HFFFFFFFF>하게 됩니다. 반대로 <HFF7272FA>아래<HFFFFFFFF>로 돌리면 <HFF7272FAF>줌 아웃<HFFFFFFFF> 됩니다. 같은 기능을 키패드의 +/- 키로 할 수 있습니다.
캐릭터 이동	1	캐릭터를 이동시키기 위해서는 <HFF7272FA>지면의 한 지점<HFFFFFFFF>을 <HFF7272FA>마우스 포인터로 지정<HFFFFFFFF>한 채로 <HFF7272FA>마우스 왼쪽 버튼 클릭<HFFFFFFFF>을 하면 됩니다. 캐릭터는 중간에 다른 오브젝트가 방해하지 않는 한, 해당 지점까지 달려가게 됩니다. 이동이 불가능한 지역의 경우는 마우스 포인터에 X표시가 나타나며, 그런 경우는 이동하지 않습니다.
방향키	1	<HFF7272FA>상하좌우의 방향키<HFFFFFFFF>를 누르면 해당 방향으로 <HFF7272FA>카메라가 회전<HFFFFFFFF>합니다. 카메라가 지면쪽으로 회전하게 되면 자동으로 지면을 타고 캐릭터 쪽으로 줌 인이 되는 걸 볼 수 있습니다.
카메라 줌 인	1	<HFF7272FA>키패드의 +키<HFFFFFFFF>를 누르면 <HFF7272FA>카메라 줌 인<HFFFFFFFF>이 됩니다. 마우스 휠을 위로 돌렸을 때와 같은 작동입니다.
카메라 줌 아웃	1	<HFF7272FA>키패드의 -키<HFFFFFFFF>를 누르면 <HFF7272FA>카메라 줌 아웃<HFFFFFFF>이 됩니다. 마우스 휠을 아래로 돌렸을 때와 같은 작동입니다.
채팅 명령어	0	
/길드초대 유저ID	1	길드 가입을 시키고 싶은 유저가 있을 때에 사용합니다. 상대유저의 ID를 알아야 사용할 수 있는 명령어입니다.  [/gin 유저 ID]와 같은 기능입니다.
/gin 	1	길드가입을 시키고 싶은 유저가 있을 때에 사용합니다. 상대유저의 ID를 알아야 사용할 수 있는 명령어입니다.  [/길드초대 유저 ID]와 같은 기능입니다.
/파티초대 유저ID	1	파티가입을 시키고 싶은 유저가 있을 때에 사용합니다. 상대유저의 ID를 알아야 사용할 수 있는 명령어입니다. [/pin 유저 ID]와 같은 기능입니다.
/pin	1	파티가입을 시키고 싶은 유저가 있을 때에 사용합니다. 상대유저의 ID를 알아야 사용할 수 있는 명령어입니다. [/파티초대 유저 ID]와 같은 기능입니다.
사교 애니메이션	0	
/인사	1	따뜻하게 인사하는 동작을 취합니다.
/춤	1	캐릭터마다 개성있는 춤을 반복해서 춥니다.
/분노	1	결렬하게 화내는 동작을 취합니다.
/웃기	1	기쁜듯이 웃는 동작을 취합니다.
/축하	1	열렬한 박수를 치는 동작을 취합니다.
/감사	1	즐거운 듯 인사하는 동작을 취합니다.
/최고	1	진심으로 상대의 능력을 칭찬하는 동작을 취합니다.
/모욕	1	상대를 나무라거나 핀잔하는 듯한 동작을 취합니다.
/쿨쿨	1	선 상태로 꾸벅꾸벅 조는 동작을 반복적으로 취합니다.
/기상	1	크게 팔 다리를 늘리면서 기지개를 킵니다.
/엉엉	1	몹시 슬픈듯이 우는 동작을 취합니다.
/삐짐	1	마음에 들지 않는 듯 화내며 토라지는 동작을 취합니다.
/미안	1	자신의 행동에 뉘우치는 듯 큰 동작으로 사과합니다.
/건배	1	손에 든 음료로 즐거운 건배를 하는 동작을 취합니다.
/환호	1	기뻐서 어쩔 줄 모른다는 듯 큰 동작으로 감정을 표현합니다.
/돌격	1	흥분되어 다른 이에게 명령하듯 돌격 자세를 취합니다.
/앉기	1	바닥에 편안하게 앉습니다. 생명이나 마나의 회복 속도에 영향을 주지는 않습니다.
아이템 사용 방법	0	
상점 아이템 구입1 	1	상인의 <HFFF7272>상점 창<HFFFFFFFF>에서 구입할 <HFF7272FA>아이템을 포인터로 지정<HFF7272FA>한 후, 마우스 왼쪽 버튼을 <HFF7272FA>클릭 한 상태에서 인벤토리로 끌어 놓기<HFFFFFFFF>를 합니다. 마우스 버튼을 놓으면 나타나는 <HFF7272FA>확인 창<HFFFFFFFF>에서 확인을 하면 구입됩니다. 아이템을 판매할 때는 유저의 인벤토리의 아이템에 같은 방법을 적용하면 됩니다.
상점 아이템 구입2	1	상인의 <HFFF7272>상점 창<HFFFFFFFF>에서 구입할 <HFF7272FA>아이템을 포인터로 지정<HFF7272FA>한 후, 마우스 오른쪽 버튼을 클릭하면 <HFF7272FA>확인 창<HFFFFFFFF>이 나타납니다. 확인을 하면 구입됩니다. 아이템을 판매할 때는 유저의 인벤토리의 아이템에 같은 방법을 적용하면 됩니다.
아이템 사용	1	사용 가능한 아이템은 <HFF7272FA>인벤토리<HFFFFFFFF>나 <HFFFA7272>단축 창 세트<HFFFFFFFF>에서 <HFF7272FA>마우스 오른쪽 버튼<HFFFFFFFF>을 눌러서 사용이 가능합니다. 단축 창 세트에 등록돼있는 경우는 <HFF7272FA>해당 단축 창의 단축 키<HFFFFFFFF>를 눌러서도 사용이 가능합니다. 이는 스킬 사용 방법과 같습니다.
스킬 사용 방법	0	
단축창 스킬 사용	1	스킬을 사용하기 위해서는 반드시 <HFF7272FA>스킬 창<HFFFFFFFF>에서 <HFF7272FA>스킬 아이콘<HFFFFFFFF>을 <HFF7272FA>단축 창 세트<HFFFFFFFF>로 끌어와서 위치시켜야 합니다. 그 다음에 해당 스킬 아이콘에 <HFF7272FA>마우스 오른쪽 버튼 클릭<HFFFFFFFF>을 하거나 <HFF7272FA>해당 단축 키<HFFFFFFFF>를 눌러야 스킬이 사용됩니다.
칸트라 상점	0	
칸트라 상점	1	칸트라 상점은 로니로만 구입할 수 있는 아이템들을 판매하는 곳입니다. 아크로드를 플레이하시면서 언제라도 칸트라 상점 버튼(<HFF7272FA>단축키 T<HFFFFFFFF>)을 클릭해서 상점을 이용하실 수 있습니다. 단, 캐릭터가 사망한 상태에서는 이용이 불가능합니다.
로니 충전	1	로니 충전은 칸트라 상점에서 "<HFF7272FA>충전하기<HFFFFFFFF>"버튼을 클릭하면 나타나는 아크로드 웹페이지에서 하실 수 있습니다. 로니는 <HFF7272FA>휴대폰, 신용카드, ARS, OK캐시백, 도서문화상품권 <HFFFFFFFF>등을 이용해서 충전이 가능합니다. 충전하신 후에는 반드시 칸트라상점 하단의 <HFF7272FA>로니 충전 확인<HFFFFFFFF>버튼을 클릭하셔야 충전 내역이 게임내에 반영됩니다.
로니 아이템 구입	1	칸트라 상점에서 아이템을 구입하시면 로니 인벤토리(<HFF7272FA>단축키 B<HFFFFFFFF>)에 해당 아이템이 지급됩니다. 로니 아이템은 로니 인벤토리에서만 소지할 수 있으며, 기존 인벤토리에는 소지할 수 없습니다.
로니 아이템 사용	1	구입하신 로니 아이템들은 로니 인벤토리에서 "<HFF7272FA>사용<HFFFFFFFF>"버튼을 클릭해서 사용하거나, 퀵벨트에 등록시켜 놓고 사용하실 수 있습니다. 단, 일부 아이템들(<HFF7272FA>ex. 보물상자의 금열쇠<HFFFFFFFF>)은 특수한 조건에서만 사용이 가능합니다.
로니 충전 및 아이템 구매내역 확인	1	로니 충전 및 로니를 이용해서 구입하신 아이템에 대한 기록은 아크로드 웹페이지에 있는 <HFF7272FA>칸트라상점 >> 충전&구매 내역<HFFFFFFFF> 메뉴에서 확인이 가능합니다.
칸트라 상점 및 로니 아이템 관련 문의	1	칸트라 상점 및 로니 아이템 관련 문의는 아크로드 고객센터 홈페이지(<HFF7272FA>http://help.archlord.naver.com/<HFFFFFFFF>)에서 접수하실 수 있습니다.
