ID	tname	npcid list	npc name list	°øÅëÈ®·ü	°øÅë´ë»ç	¸»Ç³¼± ´ë»ç	Min_Time	Max_Time	¾Ç´ç 1´Ü°è ´ë»çÈ®·ü	¾Ç´ç 1´Ü°è ´ë»ç	¾Ç´ç 2´Ü°è ´ë»çÈ®·ü	¾Ç´ç 2´Ü°è ´ë»ç	¾Ç´ç 3´Ü°è ´ë»çÈ®·ü	¾Ç´ç 3´Ü°è ´ë»ç
12	<Cook> Lucy		<Cook> Lucy	100	Well, I currently work as a cook. I'm Lucy, but to tell the truth, I don't really have an occupation. I came here because I like this little town. Since I want to do my share as a resident and I don't have any other skills, I work as a cook. Luckily, travelers like my food, so I don't have too many problems making ends meet.				100	Well, I currently work as a cook. I'm Lucy, but to tell the truth, I don't really have an occupation. I came here because I like this little town. Since I want to do my share as a resident and I don't have any other skills, I work as a cook. Luckily, travelers like my food, so I don't have too many problems making ends meet.	100	Well, I currently work as a cook. I'm Lucy, but to tell the truth, I don't really have an occupation. I came here because I like this little town. Since I want to do my share as a resident and I don't have any other skills, I work as a cook. Luckily, travelers like my food, so I don't have too many problems making ends meet.	100	Well, I currently work as a cook. I'm Lucy, but to tell the truth, I don't really have an occupation. I came here because I like this little town. Since I want to do my share as a resident and I don't have any other skills, I work as a cook. Luckily, travelers like my food, so I don't have too many problems making ends meet.
					I like this village because it's peaceful. The neighboring city of Delfaras is quite grim and depressing. Things have become worse since all this talk about the Archlord has spread throughout the city. Chantra has been blessed by the Elementals, but behind it lies a dark shadow.					I like this village because it's peaceful. The neighboring city of Delfaras is quite grim and depressing. Things have become worse since all this talk about the Archlord has spread throughout the city. Chantra has been blessed by the Elementals, but behind it lies a dark shadow.		I like this village because it's peaceful. The neighboring city of Delfaras is quite grim and depressing. Things have become worse since all this talk about the Archlord has spread throughout the city. Chantra has been blessed by the Elementals, but behind it lies a dark shadow.		I like this village because it's peaceful. The neighboring city of Delfaras is quite grim and depressing. Things have become worse since all this talk about the Archlord has spread throughout the city. Chantra has been blessed by the Elementals, but behind it lies a dark shadow.
					Cooking largely depends on your attitude. You can't always cook with the finest ingredients so travelers like you can access various foods such as animal meat or fruit whilst out in the world. If you use your head a little, you can make a pretty good meal.					Cooking largely depends on your attitude. You can't always cook with the finest ingredients so travelers like you can access various foods such as animal meat or fruit whilst out in the world. If you use your head a little, you can make a pretty good meal.		Cooking largely depends on your attitude. You can't always cook with the finest ingredients so travelers like you can access various foods such as animal meat or fruit whilst out in the world. If you use your head a little, you can make a pretty good meal.		Cooking largely depends on your attitude. You can't always cook with the finest ingredients so travelers like you can access various foods such as animal meat or fruit whilst out in the world. If you use your head a little, you can make a pretty good meal.
					If you eat during your travels you will feel more energetic. That energy may not last for long, but it can come in handy when utilized at the right moment. I have no need to fight, so I've never used my cooking in that manner.					If you eat during your travels you will feel more energetic. That energy may not last for long, but it can come in handy when utilized at the right moment. I have no need to fight, so I've never used my cooking in that manner.		If you eat during your travels you will feel more energetic. That energy may not last for long, but it can come in handy when utilized at the right moment. I have no need to fight, so I've never used my cooking in that manner.		If you eat during your travels you will feel more energetic. That energy may not last for long, but it can come in handy when utilized at the right moment. I have no need to fight, so I've never used my cooking in that manner.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	<Adventurer> Kauman		<Adventurer> Kauman	100	I'm Kauman, an adventurer. My job is to teach travelers how to remove the meat and skins from monsters that they've hunted down. Frankly, I have no wish to settle in this village. I want to leave as soon as possible, but I haven't decided on a destination. So, don't be surprised should I disappear one day.				100	I'm Kauman, an adventurer. My job is to teach travelers how to remove the meat and skins from monsters that they've hunted down. Frankly, I have no wish to settle in this village. I want to leave as soon as possible, but I haven't decided on a destination. So, don't be surprised should I disappear one day.	100	I'm Kauman, an adventurer. My job is to teach travelers how to remove the meat and skins from monsters that they've hunted down. Frankly, I have no wish to settle in this village. I want to leave as soon as possible, but I haven't decided on a destination. So, don't be surprised should I disappear one day.	100	I'm Kauman, an adventurer. My job is to teach travelers how to remove the meat and skins from monsters that they've hunted down. Frankly, I have no wish to settle in this village. I want to leave as soon as possible, but I haven't decided on a destination. So, don't be surprised should I disappear one day.
					There are rumors that I'm lazy, but it's not true. Isn't laziness relative? You shouldn't call me lazy just because you're diligent. I do leave my work to others now and then, but it's only due to personal reasons.					There are rumors that I'm lazy, but it's not true. Isn't laziness relative? You shouldn't call me lazy just because you're diligent. I do leave my work to others now and then, but it's only due to personal reasons.		There are rumors that I'm lazy, but it's not true. Isn't laziness relative? You shouldn't call me lazy just because you're diligent. I do leave my work to others now and then, but it's only due to personal reasons.		There are rumors that I'm lazy, but it's not true. Isn't laziness relative? You shouldn't call me lazy just because you're diligent. I do leave my work to others now and then, but it's only due to personal reasons.
					Obtaining meat or hides from a monster requires a lot of skill. But you'll find that your skill grows over time and your ability to use that skill will increase. When that time comes, it's a real rush!					Obtaining meat or hides from a monster requires a lot of skill. But you'll find that your skill grows over time and your ability to use that skill will increase. When that time comes, it's a real rush!		Obtaining meat or hides from a monster requires a lot of skill. But you'll find that your skill grows over time and your ability to use that skill will increase. When that time comes, it's a real rush!		Obtaining meat or hides from a monster requires a lot of skill. But you'll find that your skill grows over time and your ability to use that skill will increase. When that time comes, it's a real rush!
					It's been about 10 years since I've known Terran. We connect in many ways. We're both good at archery, love meat dishes, like to drink and we both have big hearts. But he has more of a wild spirit while I have more of a pure one. Hm... But, I suppose from the outside we look no different.					It's been about 10 years since I've known Terran. We connect in many ways. We're both good at archery, love meat dishes, like to drink and we both have big hearts. But he has more of a wild spirit while I have more of a pure one. Hm... But, I suppose from the outside we look no different.		It's been about 10 years since I've known Terran. We connect in many ways. We're both good at archery, love meat dishes, like to drink and we both have big hearts. But he has more of a wild spirit while I have more of a pure one. Hm... But, I suppose from the outside we look no different.		It's been about 10 years since I've known Terran. We connect in many ways. We're both good at archery, love meat dishes, like to drink and we both have big hearts. But he has more of a wild spirit while I have more of a pure one. Hm... But, I suppose from the outside we look no different.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	<Merchant> Bleth		<Merchant> Bleth	100	I'm Bleth, a Merchant. The people of Delfaras have deep respect for me. I guess I am highly knowledgeable thanks to my travels. Hehe. Hehehehe. Get to know me well and I'll help you survive in the city. Hahahaha.				100	Ohohohoho... Now that's... a customer I don't want to deal with.... Hohoho. Even if others don't want to trade with you, I'll sell items to you. I'm generous like that! I'm quite knowledgeable, so let me give you some advice. Go and see the Pardoner!	100	Ho... hohoho! I'm a generous person but... I don't have anything to sell to you! Hoho!	100	Ho... hohoho! I'm a generous person but... I don't have anything to sell to you! Hoho!
					My nickname is the 'Walking Abacus.' I can add, subtract, multiply and divide numbers without any device, so it obviously means I'm smart. People are jealous of my intellect. It just shows how narrow-minded they are. Being jealous of my talent won't do anything to make them any better. Give me a break...									
					Sometimes, I wonder why people call us general merchants. General merchants must sell everything, as the name implies. But we only sell a limited number of items, mostly for travelers. So realistically, we can't call ourselves Merchants. I want to sell merchandise that the people of Delfaras will need.									
					I'm sure you know, there are three influential merchants associations here in Delfaras. You have to keep all of them happy if you want to sell anything around here. They say charity begins at home. Humans are obviously part of the Humanus group. I'm one of them.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	<Warrior Weapons Merchant> Panux		<Warrior Weapons Merchant> Panux	100	I'm Panux and I'm a warrior weapons merchant. I used to be a swift warrior... I could hunt in the woods and on the plains better than anybody. But I hurt my left arm because of a sly monster and ended up selling weapons. Sometimes I get down about my situation, but I guess it could be worse.				100	When I was still a knight, I used to teach those like you a lesson.... Ah, but now my arm won't let me anymore, even if I wanted to.... It seems you should go and visit the Pardoner.	100	I said I'm busy talking to the kids! So please go away now!	100	I said I'm busy talking to the kids! So please go away now!
					People like my music... I may look a little ugly, but people seem to start dancing once I start playing, and telling some funny stories.									
					Writing biographies is popular these days, so I'm thinking of writing one as well. I am a man of literary prowess and my hope is to include an episode about the Archlord or the Archons in my biography. It's not so much that I want to be the Archlord, but I do hope one of the travelers I meet becomes one.									
					Registering a skill onto an Action Bar is quite easy. Just drag the item icon from your inventory and drop it onto an available slot. Drop it exactly in the spot you want and it will take its place. To use an item, place your mouse onto the Action Bar slot and click the right mouse button or press the shortcut key.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	<Warrior Armor Merchant> Alph		<Warrior Armor Merchant> Alph	100	I'm Alph, a warrior armor merchant. I became a warrior with hopes of wearing the armor of the Tullan guards. But I realized heavy weapons and armor are too much for women. So here I am dealing armor with my business skills. But, someday, I'm going to be wearing that armor.				100	Are you here to buy armor? So people like you wear armor, too...? Ah, I just thought you didn't value life much.... You seem to value at least yours. That's quite ironic.	100	I'm not selling to someone who hurts others.	100	I'm not selling to someone who hurts others.
					This armor I'm wearing? I'm wearing it because I like it. It doesn't help much in battle. I at least feel like I'm a guard while standing like this. Go on. Laugh all you like. I like it and that's all that matters. Warriors who pass through Delfaras need me if they want to continue their journey. So people can't look down on me too much.									
					Like most merchants in Delfaras, I belong to one of the three merchants associations. Humans are part of the Humanus association, right? I'm quite high up in the association, but I personally don't like it. Why should you be at a disadvantage if you're not part of the association? The friction between the merchant associations is quite tiresome. I wish someone would take care of the problem.									
					My hometown is very far away. It's not Tullan nor Delfaras, but very far away. It's a small village, very different from the culture in these big cities. The people there didn't seem to mind it that much, but it was too small for me. So I moved here. But I do get homesick sometimes.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	<Archer Weapons Merchant> Carea		<Archer Weapons Merchant> Carea	100	Hey...... Hi. I'm Carea and I sell bows. I used to engrave designs on bows, then became interested in the bows themselves. So here I am selling them. I collect them as a hobby as well, but I don't know how to use them. Not only bows, I don't like weapons that much. Why not? Because they're scary. I really don't like fighting.				100	Hah... Eh? Why am I sighing? Because I'm worried that I might have to sell something to you. Why am I worried about that? Let's see.... Take a good look at yourself. Then you'll know why I worry.	100	Ha... Please go away.	100	Ha... Please go away.
					I have a broken heart from a recent break-up. Oh...... He doesn't like me too much. He likes a strong woman and thinks all elves should know how to shoot a bow but the thought of learning how to use a weapon just to win his heart makes me uncomfortable. How can I say that when I collect bows though? Well, collecting them and using them are two completely different things.									
					The types of weapons an archer can use are generally divided into bows and crossbows. Crossbows are powerful and can shoot from long distances, but take some time to load. Normal bows can be loaded faster, but have less power. Speed or Power. Think which suits you better and make a decision based upon that.									
					Use a bow for a long time and the string or the bow itself will break, just like any weapon. But what's worse is when you run out of bolts or arrows. Consistently checking how many arrows you have is very important. Run out of arrows in the middle of a fight and you're as good as dead.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	<Archer Armor Merchant> Dalpherin		<Archer Armor Merchant> Dalpherin	100	Carea and I are very close, so close that I followed her when she left the village. I also put beautiful designs on armor and ended up becoming an Archer Armor merchant as well, just like her. Y-yes. I always try to stock better items than her, but I'm not as well known as she is. Someday, I'll do better...				100	What a surprise. People who hurt other people buy armor for themselves. But sure, everyone values their own life. Eh? What did I say? Oh, it was just a joke. A joke...? It embarrasses me that you really think that.	100	You don't want to buy anything from me, do you?	100	You don't want to buy anything from me, do you?
					Carea's no fun because she has no humor. I understand the humor of other clans and find them funny but I wonder why she's always in the limelight in important situations. Huh? Her personality? S-stop kidding me, o-okay! Let me tell you a joke, what does a deer do when it wants to hear music? It plays its horns! Now, isn't that funny?									
					I have another one... A camel appeared in the desert. But it didn't have any water. So how did the camel cross the desert? It cut its own humps and drank the water from them. Huh? There's fat inside the humps? Oh... F-fat is kind of nasty, but I guess I'll have to change the punch line to 'It drank its own fat.'									
					An archer's armor was originally meant for hiding oneself, it's more for camoflauge rather than protection, but the armor is changing these days. With weak defensive abilities, archers need protective armor to survive during battle, as a result, continuous research is being done to find strong, yet light materials.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	<Magic Weapons Merchant> Panareth		<Magic Weapons Merchant> Panareth	100	I'm Paranes, a magic weapons merchant. When it comes to magic weapons, the answer is 'Faranes, the magic weapons merchant.' Yum. A nice cup of tea always makes you feel good. I really like tea. No, I love it. Tea helps me forget all the worries in my life. Which would I choose between tea and men? Of course, tea!				100	I like poetry. You look so lonely.... You face gives away how ridden with guilt you are. So please go and get help from the Pardoner.	100	I'll go and drink a glass of my new tea. So please be on your way.	100	I'll go and drink a glass of my new tea. So please be on your way.
					Do you want to hear something? On my way home last night, I saw that the moon had fallen into a well. I went closer and found it was only a reflection of the moon. The well was so clean and clear and the moon, so round and bright. It sounds like poetry doesn't it?									
					Panux knows me quite well because we're neighbors. Are we close? Well... We don't have anyone else to depend on. Haha. But I do wish he'd stop nagging me. He's free to disagree with my lifestyle, but I wish he would just keep it to himself.									
					My wish is to travel around the world and try all different types of tea. No two teas are ever alike. Even the same tea is going to taste different depending on if it's cold or warm. It's just like how the world goes around.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	<Magic Armor Merchant> Garnier		<Magic Armor Merchant> Garnier	100	I'm Garnier and I'm a magic armor merchant. I made all the armor in my shop. I always sell the best quality armor to my customers! It'd be great if a famous hero wore my armor, but I need more experience in order to make such a brilliant piece. Do you have what it takes to be a hero? Do you?				100	I'm afraid my reputation will be ruined if you wear my armor. I made this myself.... If you buy it... Well, I hope you won't buy anything.... But if you do, please don't tell anyone I made it.	100	I have to go and make new armor. Eh? How long have you been here? How annoying....	100	I have to go and make new armor. Eh? How long have you been here? How annoying....
					Oh, the weather is really nice today. The sky is always clear and beautiful in Delfaras. White clouds against a blue sky and the blue ocean against white mountains. No city could be more picturesque! Huh? H-how long have you been staring at me?									
					We armor merchants are very adept with metals. Our magic weapons and armor are of incomparable quality. Sorcerers cannot wear heavy armor because they're physically weak so we make our equipment light, yet strong enough to reinforce the sorcerer's defensive power when used with his magic. Of course, that doesn't mean he becomes invincible.									
					Normally, armor is made of five different pieces of metal. And so, there are specific names given to a suits of armor like these. The name holds many meanings and sometimes, the name doesn't make sense when only looking at individual pieces of the armor. You need to see it as a whole. Why do I say this? Obviously, because I personally make armor!									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	<Warrior Trainer> Marissa		<Warrior Trainer> Marissa	100	I'm Marissa, a warrior trainer! Very few warriors in this city can defeat me. A group of 30 male warriors can't even take me down. Whatever skill it is, I guarantee I'll teach you well.				100	It's true. If you learn from me, you'll get stronger. But I don't want to teach you. Are you aware of your situation? Or are you only thinking about how famous I am? I'm worried I'll lose my good reputation if I teach you.	100	I'm not responsible for making you stronger.	100	I'm not responsible for making you stronger.
					My father's Marco. He used to be in the garrison. But I have no intention of using his status or trying to become famous because of it. We lead different lives. Only the competent are worthy of gaining fame and my father knows that quite well.									
