Target Type	Target TID	Class	Skill TID	Probability	Item Set
	1079				
	1082				
	1085				
	1088	1;2;3;4	663	70	51
	1091	1;2;3;4	663	70	19
	1094	1;2;3;4	663	70	21
	1097	1;2;3;4	663	70	51
	1100	1;2;3;4	663	70	19
	1103	1;2;3;4	663	70	21
	1106	1;2;3;4	663	70	19
	1109	1;2;3;4	663	70	21
	1112	1;2;3;4	663	70	16
	1115	1;2;3;4	663	70	21
	1118	1;2;3;4	663	70	51
	1121				
	1124				
	1127				
	1130	1;2;3;4	663	70	14
	1133	1;2;3;4	663	70	56
	1136	1;2;3;4	663	70	14
	1139	1;2;3;4	663	70	12
	1142	1;2;3;4	663	70	14
	1145	1;2;3;4	663	70	12
	1148	1;2;3;4	663	70	14
	1151	1;2;3;4	663	70	56
	1154	1;2;3;4	663	70	14
	1157	1;2;3;4	663	70	12
	1160	1;2;3;4	663	70	14
	1163				
	1166				
	1169	1;2;3;4	663	70	12
	1172	1;2;3;4	663	70	30
	1175	1;2;3;4	663	70	31
	1178	1;2;3;4	663	70	12
	1181	1;2;3;4	663	70	30
	1184	1;2;3;4	663	70	31
	1187	1;2;3;4	663	70	30
	1190	1;2;3;4	663	70	12
	1193	1;2;3;4	663	70	30
	1196	1;2;3;4	663	70	31
	1199	1;2;3;4	663	70	30
	1202				
	1205				
	531	1;2;3;4	663	70	38
	532	1;2;3;4	663	70	38
	535	1;2;3;4	663	70	50
	942	1;2;3;4	663	70	38
	945	1;2;3;4	663	70	50
	948	1;2;3;4	663	70	38
	951				
	533				
	954	1;2;3;4	663	70	2
	957	1;2;3;4	663	70	2
	960	1;2;3;4	663	70	27
	963	1;2;3;4	663	70	2
	966	1;2;3;4	663	70	2
	969	1;2;3;4	663	70	27
	972	1;2;3;4	663	70	28
	975	1;2;3;4	663	70	27
	978	1;2;3;4	663	70	2
	981	1;2;3;4	663	70	27
	984	1;2;3;4	663	70	2
	987				
	990	1;2;3;4	663	70	28
	993				
	996	1;2;3;4	663	70	10
	999	1;2;3;4	663	70	24
	1002	1;2;3;4	663	70	10
	1005	1;2;3;4	663	70	24
	1008	1;2;3;4	663	70	14
	1011	1;2;3;4	663	70	24
	1014	1;2;3;4	663	70	10
	1017	1;2;3;4	663	70	24
	1020	1;2;3;4	663	70	14
	1023	1;2;3;4	663	70	24
	1026	1;2;3;4	663	70	10
	1029	1;2;3;4	663	70	14
	1032				
	537	1;2;3;4	663	70	47
	536	1;2;3;4	663	70	47
	1035	1;2;3;4	663	70	47
	1038	1;2;3;4	663	70	47
	1041	1;2;3;4	663	70	47
	538	1;2;3;4	663	70	47
	1044	1;2;3;4	663	70	47
	540				
	1047	1;2;3;4	663	70	16
	1050	1;2;3;4	663	70	60
	1053	1;2;3;4	663	70	16
	1056	1;2;3;4	663	70	16
	1059	1;2;3;4	663	70	60
	1062	1;2;3;4	663	70	16
	1065	1;2;3;4	663	70	22
	1068	1;2;3;4	663	70	16
	1071	1;2;3;4	663	70	60
	1074	1;2;3;4	663	70	16
	1077	1;2;3;4	663	70	60
	1080				
	1083				
	1086				
	1089	1;2;3;4	663	70	51
	1092	1;2;3;4	663	70	19
	1095	1;2;3;4	663	70	21
	1098	1;2;3;4	663	70	51
	1101	1;2;3;4	663	70	19
	1104	1;2;3;4	663	70	21
	1107	1;2;3;4	663	70	19
	1110	1;2;3;4	663	70	21
	1113	1;2;3;4	663	70	16
	1116	1;2;3;4	663	70	21
	1119	1;2;3;4	663	70	51
	1122				
	1125				
	1128				
	1131	1;2;3;4	663	70	14
	1134	1;2;3;4	663	70	56
	1137	1;2;3;4	663	70	14
	1140	1;2;3;4	663	70	12
	1143	1;2;3;4	663	70	14
	1146	1;2;3;4	663	70	12
	1149	1;2;3;4	663	70	14
	1152	1;2;3;4	663	70	56
	1155	1;2;3;4	663	70	14
	1158	1;2;3;4	663	70	12
	1161	1;2;3;4	663	70	14
	1164				
	1167				
	1170	1;2;3;4	663	70	12
	1173	1;2;3;4	663	70	30
	1176	1;2;3;4	663	70	31
	1179	1;2;3;4	663	70	12
	1182	1;2;3;4	663	70	30
	1185	1;2;3;4	663	70	31
	1188	1;2;3;4	663	70	30
	1191	1;2;3;4	663	70	12
	1194	1;2;3;4	663	70	30
	1197	1;2;3;4	663	70	31
	1200	1;2;3;4	663	70	30
	1203				
	1206				
	690	1;2;3;4	663	70	38
	692	1;2;3;4	663	70	38
	700	1;2;3;4	663	70	50
	943	1;2;3;4	663	70	38
	946	1;2;3;4	663	70	50
	949	1;2;3;4	663	70	38
	952				
	694				
	955	1;2;3;4	663	70	2
	958	1;2;3;4	663	70	2
	961	1;2;3;4	663	70	27
	964	1;2;3;4	663	70	2
	967	1;2;3;4	663	70	2
	970	1;2;3;4	663	70	27
	973	1;2;3;4	663	70	28
	976	1;2;3;4	663	70	27
	979	1;2;3;4	663	70	2
	982	1;2;3;4	663	70	27
	985	1;2;3;4	663	70	2
	988				
	991	1;2;3;4	663	70	28
	994				
	997	1;2;3;4	663	70	10
	1000	1;2;3;4	663	70	24
	1003	1;2;3;4	663	70	10
	1006	1;2;3;4	663	70	24
	1009	1;2;3;4	663	70	14
	1012	1;2;3;4	663	70	24
	1015	1;2;3;4	663	70	10
	1018	1;2;3;4	663	70	24
	1021	1;2;3;4	663	70	14
	1024	1;2;3;4	663	70	24
	1027	1;2;3;4	663	70	10
	1030	1;2;3;4	663	70	14
	1033				
	701	1;2;3;4	663	70	47
	702	1;2;3;4	663	70	47
	1036	1;2;3;4	663	70	47
	1039	1;2;3;4	663	70	47
	1042	1;2;3;4	663	70	47
	719	1;2;3;4	663	70	47
	1045	1;2;3;4	663	70	47
	778				
	1048	1;2;3;4	663	70	16
	1051	1;2;3;4	663	70	60
	1054	1;2;3;4	663	70	16
	1057	1;2;3;4	663	70	16
	1060	1;2;3;4	663	70	60
	1063	1;2;3;4	663	70	16
	1066	1;2;3;4	663	70	22
	1069	1;2;3;4	663	70	16
	1072	1;2;3;4	663	70	60
	1075	1;2;3;4	663	70	16
	1078	1;2;3;4	663	70	60
	1081				
	1084				
	1087				
	1090	1;2;3;4	663	70	51
	1093	1;2;3;4	663	70	19
	1096	1;2;3;4	663	70	21
	1099	1;2;3;4	663	70	51
	1102	1;2;3;4	663	70	19
	1105	1;2;3;4	663	70	21
	1108	1;2;3;4	663	70	19
	1111	1;2;3;4	663	70	21
	1114	1;2;3;4	663	70	16
	1117	1;2;3;4	663	70	21
	1120	1;2;3;4	663	70	51
	1123				
	1126				
	1129				
	1132	1;2;3;4	663	70	14
	1135	1;2;3;4	663	70	56
	1138	1;2;3;4	663	70	14
	1141	1;2;3;4	663	70	12
	1144	1;2;3;4	663	70	14
	1147	1;2;3;4	663	70	12
	1150	1;2;3;4	663	70	14
	1153	1;2;3;4	663	70	56
	1156	1;2;3;4	663	70	14
	1159	1;2;3;4	663	70	12
	1162	1;2;3;4	663	70	14
	1165				
	1168				
	1171	1;2;3;4	663	70	12
	1174	1;2;3;4	663	70	30
	1177	1;2;3;4	663	70	31
	1180	1;2;3;4	663	70	12
	1183	1;2;3;4	663	70	30
	1186	1;2;3;4	663	70	31
	1189	1;2;3;4	663	70	30
	1192	1;2;3;4	663	70	12
	1195	1;2;3;4	663	70	30
	1198	1;2;3;4	663	70	31
	1201				
	1204				
	1207				
	817				
	1321				
	1322				
	1323				
	1324				
	1325				
	1326				
	1327				
	1328				
	1329				
	1330				
	1331				
	1332				
	1333				
	1334				
	1335				
	1336				
	1337				
	1338				
	1339				
	1389				
	1390				
	1340				
	1341				
	1342				
	1343				
	1344				
	1345				
	1346				
	1347				
	1348				
	1349				
	1350				
	1352	1;2;3;4	663	90	59
	1353	1;2;3;4	663	90	59
	1354	1;2;3;4	663	90	59
	1356				
	1357				
	1358	1;2;3;4	663	90	45
	1359	1;2;3;4	663	90	45
	1360	1;2;3;4	663	90	11
	1363				
	1270	1;2;3;4	663	90	11
	1271	1;2;3;4	663	90	11
	1291	1;2;3;4	663	90	17
	1292	1;2;3;4	663	90	17
	1293	1;2;3;4	663	90	49
	1294	1;2;3;4	663	90	49
	1296	1;2;3;4	663	90	49
	1297	1;2;3;4	663	90	49
	1304				
	1306	1;2;3;4	663	90	25
	1307	1;2;3;4	663	90	25
	1308	1;2;3;4	663	90	25
	1309	1;2;3;4	663	90	32
	1310	1;2;3;4	663	90	53
	1313	1;2;3;4	663	90	53
	1314	1;2;3;4	663	90	53
	1315	1;2;3;4	663	90	53
	1316	1;2;3;4	663	90	11
	1319	1;2;3;4	663	90	11
	1320	1;2;3;4	663	90	11
	1385				
	1387				
	1388				
	217	1;2;3;4	663	90	43
	218	1;2;3;4	663	90	43
	214	1;2;3;4	663	90	43
	216	1;2;3;4	663	90	43
	215	1;2;3;4	663	90	43
	350				
	221	1;2;3;4	663	90	12
	220	1;2;3;4	663	90	12
	219	1;2;3;4	663	90	12
	223	1;2;3;4	663	90	12
	222	1;2;3;4	663	90	12
	232	1;2;3;4	663	90	24
	233	1;2;3;4	663	90	24
	234	1;2;3;4	663	90	24
	351				
	228	1;2;3;4	663	90	58
	226	1;2;3;4	663	90	58
	227	1;2;3;4	663	90	58
	225	1;2;3;4	663	90	58
	224	1;2;3;4	663	90	58
	230	1;2;3;4	663	90	9
	229	1;2;3;4	663	90	9
	231	1;2;3;4	663	90	9
	235	1;2;3;4	663	90	24
	352				
	237	1;2;3;4	663	90	7
	236	1;2;3;4	663	90	7
	238	1;2;3;4	663	90	7
	239	1;2;3;4	663	90	7
	240	1;2;3;4	663	90	7
	353				
	241	1;2;3;4	663	90	51
	243	1;2;3;4	663	90	51
	242	1;2;3;4	663	90	51
	244	1;2;3;4	663	90	51
	245	1;2;3;4	663	90	51
	256	1;2;3;4	663	90	44
	255	1;2;3;4	663	90	44
	254	1;2;3;4	663	90	44
	354				
	250	1;2;3;4	663	90	20
	248	1;2;3;4	663	90	20
	247	1;2;3;4	663	90	20
	249	1;2;3;4	663	90	20
	246	1;2;3;4	663	90	20
	252	1;2;3;4	663	90	36
	251	1;2;3;4	663	90	36
	253	1;2;3;4	663	90	36
	257	1;2;3;4	663	90	18
	355				
	258	1;2;3;4	663	90	16
	259	1;2;3;4	663	90	16
	260	1;2;3;4	663	90	16
	261	1;2;3;4	663	90	16
	262	1;2;3;4	663	90	16
	356				
	263	1;2;3;4	663	90	19
	264	1;2;3;4	663	90	19
	265	1;2;3;4	663	90	19
	266	1;2;3;4	663	90	19
	267	1;2;3;4	663	90	19
	347	1;2;3;4	663	90	55
	346	1;2;3;4	663	90	55
	348	1;2;3;4	663	90	56
	357				
	341	1;2;3;4	663	90	42
	268	1;2;3;4	663	90	42
	339	1;2;3;4	663	90	42
	340	1;2;3;4	663	90	42
	342	1;2;3;4	663	90	42
	344	1;2;3;4	663	90	34
	343	1;2;3;4	663	90	34
	345	1;2;3;4	663	90	34
	349	1;2;3;4	663	90	56
	358				
	204				
	205				
	206				
	207				
	208				
	209				
	210				
	211				
	212				
	213				
	199				
	200				
	197				
	201				
	202				
	203				
	1394				
	1575	1;2;3;4	663	50	64
	1565	1;2;3;4	663	50	64
	1573	1;2;3;4	663	50	64
	1561	1;2;3;4	663	50	64
	1566	1;2;3;4	663	50	64
	1567	1;2;3;4	663	50	64
	1568	1;2;3;4	663	50	64
	1586	1;2;3;4	663	50	64
	1559	1;2;3;4	663	50	64
	1560	1;2;3;4	663	50	64
	1577	1;2;3;4	663	50	64
	1512	1;2;3;4	663	50	64
	1509	1;2;3;4	663	50	64
	1510	1;2;3;4	663	50	64
	1511	1;2;3;4	663	50	64
	1570	1;2;3;4	663	50	64
	1569	1;2;3;4	663	50	64
	1571	1;2;3;4	663	50	64
	1563	1;2;3;4	663	50	64
	1562	1;2;3;4	663	50	64
	1564	1;2;3;4	663	50	64
	1576	1;2;3;4	663	50	64
	1585	1;2;3;4	663	50	64
	1587	1;2;3;4	663	50	64
	1579	1;2;3;4	663	50	64
	1572	1;2;3;4	663	50	64
	1589	1;2;3;4	663	50	64
	1588	1;2;3;4	663	50	64
	1590	1;2;3;4	663	50	64
	1578	1;2;3;4	663	50	64
	1574	1;2;3;4	663	50	64
	1508	1;2;3;4	663	50	64
	1726	1;2;3;4	663	90	13
	1727	1;2;3;4	663	90	13
	1728	1;2;3;4	663	90	13
	1729	1;2;3;4	663	90	28
	1730	1;2;3;4	663	90	28
	1731	1;2;3;4	663	90	28
	1736	1;2;3;4	663	90	32
	1737	1;2;3;4	663	90	32
	1738	1;2;3;4	663	90	32
	1734	1;2;3;4	663	90	36
	1733	1;2;3;4	663	90	36
	1735	1;2;3;4	663	90	36
	1742	1;2;3;4	663	90	20
