TID	捞抚	汲疙
644	乾坤烧鹅	最大生命上升15% 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
645	生命的销魂饭	最大生命上升25% 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
646	驯化烤肉	最大魔力上升15% 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
647	贤者的销魂饭	最大魔力上升25% 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
648	攻击鱼蛋	攻击力增加+3 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
649	袭击什锦炒面	攻击力增加+5 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
650	防御濑尿虾	防御力增加+3 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
651	防卫濑尿虾	防御力增加+5 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
654	采集刀	猎人用于采集的刀\n翻查尸体，割肉\n扒皮（不能装备）
655	烹饪工具	用于烹饪的烹调工具\n用于烹饪（不能装备）
656	鹿皮	用于炼金术鹿变身药水的\n材料
663	爆炸卷轴	减少对方-5%的生命，给出火精灵属性伤害+20\n半径15m圆形范围\n恢复冷静时间：1分钟\n施展距离18m
664	毒气卷轴	给目标施加毒性伤害\n30秒内每3秒+15的伤害\n恢复冷静时间1分钟\n施展距离18m
665	灵符	给目标施加闪电属性伤害+50\n以5%的概率击昏3秒钟\n恢复冷静时间1分钟\n施展距离18m
714	野猪皮	用于炼金术中野猪变身药水的\n材料
715	蝙蝠皮	用于炼金术中蝙蝠变身药水的\n材料
716	吸血鬼皮	用于炼金术中毒蛇变身药水的\n材料
717	高级野猪皮	从很难捕猎的凶悍的野猪身上\n取得的高级野猪的皮\n可以使用扒皮技能
718	熊皮	用于炼金术中熊变身药水的\n材料
719	高级蝙蝠皮	从很难捕猎的大蝙蝠身上\n取得的高级蝙蝠的皮\n可以使用扒皮技能
720	高级鹿皮	从很难捕猎的大鹿身上\n取得的高级鹿皮\n可以使用扒皮技能
721	豺狼皮	用于炼金术中豺狼变身药水的\n材料
722	特级蝙蝠皮	最高级蝙蝠皮\n主要用于制作高级服装
724	狼人皮	从很难捕猎的凶悍豺狼身上\n获取的高级豺狼皮\n可以使用扒皮技能
726	高级熊皮	从很难捕猎的凶悍熊身上\n获取的高级熊皮\n可以使用扒皮技能
728	石像鬼皮	用于炼金术中石像鬼变身药水的\n材料
729	特级豺狼皮	最高级豺狼皮\n主要用于制作高级服装
730	鹿肉	鹿腿柔软部位的肉\n用于攻击羹汤、空气攻击的腌肉\n治愈糕点、愤怒羹汤的\n材料
731	野猪肉	野猪颈部肉\n可作为防御拔丝料理、水攻击之腌肉\n火焰攻击之腌肉、防卫拔丝料理的\n材料
732	高级野猪肉	高级野猪肉\n制作特殊的炖肉或烤肉吃\n可以使用割肉技能取得
733	高级鹿肉	高级鹿肉\n制作特殊的炖肉或烤肉吃\n可以使用割肉技能取得
734	莱佛兰特之探求信	亲切说明指南基本内容的\n莱佛兰特的信
735	莱佛兰特之信	要给德尔法拉斯梅加拉市长看的介绍信
742	凯伦的信	凯伦写给费高的信
767	迈克的文书	古代魔法师麦克记录的文书
770	豪瓦肯的记录书	药师豪瓦肯有关大霸王的记录
776	封印过的箱子	内有央克比尔的象征帆\n已被密封，无法打开
780	内有地图的箱子	藏有未知世界地图的箱子
790	操纵戒指	能刻画出心中想到的一切的\n指环
792	出入契约戒指	给参加冰的行进的所有人的\n象征性指环
794	结婚戒指	成为布洛克儿子波恩的遗物的结婚指环
799	骷髅人项链	能给恩德得无限生命的\n邪恶的项链
810	拉拉的精灵水	杂货商莱伊安从流浪的炼金术士拉拉那里\n购买的昂贵的精灵水\n据传当作化妆水使用，可以永葆青春
813	小矮人的钢锭	小矮人拔出的优秀的钢锭\n是杂货商布列斯的
813	小矮人的钢锭	小矮人提炼的钢锭
814	怪异金属	不知道来历\n但加工方便，坚固的金属\n产于古老的矿山
815	闪亮的金属	几乎与金相同性质的金属\n因为稀有而昂贵，\n但谁也不知道其来历
816	乌利哈肯钢锭	有很多故事的蓝水晶钢锭\n具有法力
816	乌利哈肯钢锭	传说中的蓝水晶钢锭
825	神秘的护身符	夏因伍德的三个封印之一
843	布鲁苏图的探求信	亲切说明指南基本内容的\n伯鲁索特的信
844	信鸽的信	从信鸽身上掉落的信
847	给多森的信	要给肯特的多森市长看的介绍信
849	书- 封印3个	有三个封印的魔法书
850	书- 封印2个	有两个封印的魔法书
851	书- 封印1个	有一个封印的魔法书
865	索西德的指导	记录索尔希德山脉精确信息的\n地图\n其价值无法估量
869	小箱子 - 已封印	被密封的箱子
876	魔法阵宝石	毒蛇王珍惜拥有的宝石
881	村庄的宝石特里项卡	要在德尔法拉斯使用的新的魔法石\n现在是已消失的村庄的象征石
882	水光宝石	相当昂贵的水色宝石
883	布克的戒指	市长克迪的侄子布克的遗物-指环
884	觉醒魔法药	能够打碎古代魔法的药
887	魔法药水	为艾伯制造的药水
888	解除封印药水	为特殊目的制造的解除封印的药\n使用这个可以打开任何封印
890	装有麝香的瓶	装有影子熊的麝香腺分泌油\n的瓶子
906	怪物皮革	精心保养的珍贵皮革
915	不稳定的金属	泥土与非物质之间的\n特殊感觉的金属
920	预言书的红宝石	装饰传说中预言者亚当斯的预言书封面的\n两颗宝石中的一颗
921	魔法文字戒指	比奇的创始人马尔汀列森在晚年\n制造的魔法指环\n指环内侧刻有看不懂的字眼
933	发誓戒指	体现蛛网蜘蛛与雪人族之间协同关系的\n指环
936	库特塞拉的画	据说是风野猪小鬼盗走的\n古特谢拉的高价画
940	巴布伦的记录书	巴布伦有关记录大霸王的记录书
960	古代铠甲	不知是什么时候制造的古代盔甲
962	速射手的精灵石	含有射箭者力量的精灵石\n空气属性
966	黑色起源石	散发着不好气息的黑色起源石
967	谜语起源石	无法知道其材质的的起源石起源石\n是古代海人族使用过的图腾的一部分
968	兽人骸骨	是妖怪巡逻骑兵收集的战友的骸骨
970	洞穴巨魔之棒	特罗尔使用的木棒\n深受收集家们的喜欢，\n但无法使用
972	本芬奇的剑	本芬奇珍惜的剑
974	坏掉的斧头	妖怪抢劫的武器\n只管使用，没有保管好\n所以严重损坏
978	石英魔杖	如同骷髅指挥官身体的一部分的奥夫
500	怨恨之契约石	第一阶段骸骨，\n可以在战场通过PVP获得\n可以用精灵石提炼器提炼成上一级骸骨　
981	憎恶之契约石	第二阶段骸骨，\n将怨恨之骸骨提炼成上一级骸骨获得\n可以用精灵石提炼器提炼成上一级骸骨　
982	血之契约石	第三阶段骸骨，\n将憎恶之骸骨提炼成上一级骸骨获得\n可以用精灵石提炼器提炼成上一级骸骨　
983	复仇之契约石	第四阶段骸骨，\n将血之骸骨提炼成上一级骸骨获得\n可以用精灵石提炼器提炼成上一级骸骨　
984	超越之契约石	第五阶段骸骨，\n将复仇的骸骨提炼成上一级骸骨获得
985	狼毛	从豺狼颈下部拔出的毛
986	龙鳞	从龙的腹部摘除的鳞片
987	哥布林之头	粗鲁地切割的哥布林的头颅
988	洞穴巨魔眼睛	外露神经的特罗尔的眼睛
989	窃贼脖子	粗鲁地切割的窃贼的头
990	蜥蜴人之尾	割得很大的蜥蜴人的尾巴
991	鹰身人长毛	从胳膊底部拔出的神秘的羽毛
992	石像鬼之角	被称为石像鬼力量之源泉的犄角
993	狮鹫羽毛	轻于空气的羽毛
994	豺狼肉	豺狼的臀部肉\n用于恢复之烤肉、地攻击之腌肉\n呼吸攻击之腌肉、健康之烤肉的\n材料
995	蜘蛛肉	蜘蛛的腿\n用于活力之烤肉、火攻击之腌肉\n治愈之烤肉、涅磐之烧烤的\n材料
996	哥布林肉	哥布林侧面腰部的肉\n用于恢复糕点和治愈糕点\n的主要材料
997	蜥蜴人肉	蜥蜴人的尾巴肉\n可作为恢复糕点、魔法攻击之腌肉\n河攻击之腌肉、健康鲜味糕点\n的材料
998	骷髅骨	骷髅的腿骨
999	蜘蛛皮	用于炼金术中蜘蛛变身药水的\n材料
1000	蠕虫皮	用于炼金术中蠕虫变身药水的\n材料
1001	龙皮	用于炼金术中龙变身药水的\n材料
1002	哥布林皮	用于炼金术中哥布林变身药水的\n材料
1003	洞穴巨魔皮	用于炼金术中特罗尔变身药水的\n材料
1004	蜥蜴人皮	用于炼金术中蜥蜴人变身药水的\n材料
1005	狮鹫皮	用于炼金术中狮鹫兽变身药水的\n材料
1006	超越的销魂饭	最大生命上升35% 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
1007	热板的销魂饭	最大魔力上升35% 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
1008	愤怒什锦炒面	最大攻击力增加+7 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
1009	防守濑尿虾	最大防御力增加+7 持续五分钟\n再次使用时间10分钟\n可以在道具栏或快捷栏使用
1010	恢复的糕点	魔力恢复每10秒上升+20 持续一分钟\n再次使用时间3分钟\n可以在道具栏或快捷栏使用
1011	治愈的糕点	魔力恢复每10秒上升+40 持续一分钟\n再次使用时间3分钟\n可以在道具栏或快捷栏使用
1012	健康的糕点	魔力恢复每10秒上升+60 持续一分钟\n再次使用时间3分钟\n可以在道具栏或快捷栏使用
1013	恢复的烤肉	生命恢复每10秒上升+20 持续一分钟\n再次使用时间3分钟\n可以在道具栏或快捷栏使用
1014	治愈的烤肉	生命恢复每10秒上升+40 持续一分钟\n再次使用时间3分钟\n可以在道具栏或快捷栏使用
1015	健康的烤肉	生命恢复每10秒上升+60 持续一分钟\n再次使用时间3分钟\n可以在道具栏或快捷栏使用
1016	炼金术缸	黑色铁锅\n炼金术中使用（不能装备）
1017	半人马角	具有隐藏的知识的犄角
1018	半人马大腿	半人马后大腿\n用于治愈之烤肉的主要材料
1019	九头蛇眼	中间头上的眼睛
1020	九头蛇肉	九头怪蛇腹部肉\n用于袭击羹汤、涅盘之烤肉\n健康之烤肉的\n材料
1021	狮身蝎尾怪之尾	有毒的尾巴
1022	蛇身蝎尾怪之肉	食人兽的颈部肉\n可作为贤人烤肉、超越烤肉\n防卫拔丝料理的\n材料
1023	蛇身蝎尾怪之皮	用于炼金术中食人兽变身药水的\n材料
1024	狮鹫肉	狮鹫兽翅膀部位的肉\n用于愤怒羹汤和健康糕点的\n材料
1025	龙肉	龙的心脏周围的肌肉\n用于生命之烤肉和大地攻击之腌肉的\n材料
1026	熊肉	熊颈部肉\n可作为守备拔丝料理和超越烤肉的\n材料
1027	毒蛇肉	毒蛇的尾巴肉\n用于纯化之烧烤的\n材料
1028	石像鬼肉	石像鬼肩膀部位的肉\n用于精神攻击之腌肉的\n材料
1029	龙变身药水	四分钟变身为龙\n追加攻击力+42\n追加防御力+15
1030	豺狼变身药水	变身为豺狼 持续四分钟\n追加攻击力+36\n追加移动速度58%
1031	窃贼变身药水	变身为窃贼 持续四分钟\n追加攻击力+77
1032	蜥蜴人变身药水	变身为蜥蜴人 持续四分钟\n追加攻击力+48\n追加HP+188
1033	洞穴巨魔变身药水	变身为特罗尔 持续四分钟\n追加攻击力+66\n追加HP+278
1034	蛇身蝎尾怪之变身药水	变身为食人兽 持续四分钟\n追加攻击力+54\n追加移动速度66%
1035	石像鬼变身药剂	变身为石像鬼 持续四分钟\n追加攻击力+78\n追加HP+312
1036	狮鹫变身药剂	变身为狮鹫兽 持续四分钟\n追加攻击力+84\n追加移动速度66%
1037	龙变身配方	提高龙变身药水的制作成功率
1038	豺狼变身配方	提高豺狼变身药水的制作成功率
1039	窃贼变身配方	提高窃贼变身药水的制作成功率
1040	蜥蜴人变身配方	提高蜥蜴人变身药水的制作成功率
1041	洞穴巨人变身配方	提高特罗尔变身药水的制作成功率
1042	狮身蝎尾怪变身配方	提高食人兽变身药水的制作成功率
1043	石像鬼变身配方	提高石像鬼变身药水的制作成功率
1044	狮鹫变身配方	提高狮鹫兽变身药水的制作成功率
1045	帝王曲剑	火属性攻击力+3
1046	银色长弓	水属性攻击力+3
1048	小型神速药水	移动速度上升+10%\n再次使用时间6分钟，维持时间5分钟\n重复使用相同性能的药水或技能时,\n具有最高效果的那一方会产生作用
1049	一般神速药水	移动速度上升+15%\n再次使用时间6分钟，维持时间5分钟\n重复使用相同性能的药水或技能时,\n具有最高效果的那一方会产生作用
1050	大型神速药水	移动速度上升+20%\n再次使用时间6分钟，维持时间5分钟\n重复使用相同性能的药水或技能时,\n具有最高效果的那一方会产生作用
1051	小型光速药水	攻击速度上升+5%\n再次使用时间6分钟，维持时间5分钟\n重复使用相同性能的药水或技能时,\n具有最高效果的那一方会产生作用
1052	一般光速药水	攻击速度上升+10%\n再次使用时间6分钟，维持时间5分钟\n重复使用相同性能的药水或技能时,\n具有最高效果的那一方会产生作用
1053	大型速攻药水	攻击速度上升+15%\n再次使用时间6分钟，维持时间5分钟\n重复使用相同性能的药水或技能时,\n具有最高效果的那一方会产生作用
1054	复活魔杖	使用后将可不损失经验值复活\n 30分钟后才能再次使用\n死亡后可在选单上选择原地复活\n(不能在危险地区使用)
1091	蛇发妖女变身药水	变为蛇发女妖 持续四分钟\n追加攻击力+84\n追加HP+348
1092	食尸鬼变身药水	变为食尸鬼 持续四分钟\n追加攻击力+60\n追加防御力+24
1093	吸血鬼变身药水	变为吸血鬼 持续四分钟\n追加攻击力+48\n追加防御力+18
1094	女妖变身药水	变为女妖 持续四分钟\n追加攻击力+56
1095	六臂蛇妖变身药水	变为六臂蛇妖 持续四分钟\n追加攻击力 +49
1096	巨兽变身配方	提高蛇发女妖变身药水制作成功率
1097	食尸鬼变身配方	提高食尸鬼变身药水制作成功率
1098	吸血鬼变身配方	提高吸血鬼 变身药水制作成功率
1099	女怪变身配方	提高女妖 变身药水制作成功率
1100	六臂蛇妖变身配方	提高六臂蛇妖变身药水制作成功率
1101	蛇发妖女之皮	作为炼金术蛇发女妖\n变身药水的材料。
1102	吸尸鬼皮	作为炼金术食尸鬼\n变身药水的材料。
1103	蝙蝠牙齿	带血的蝙蝠的牙齿
1104	女妖仆人毒液	能够融化骨头的可怕的毒
1105	六臂蛇妖之鳞	从六臂蛇妖尾巴掉下来的麟
1106	树人之叶	拥有生命气息的叶子
1107	吸血鬼之血	寒气逼人的血
1108	旁观者之眼	拥有比人类的头还要大的眼球的眼睛
1109	融尸者之油	从死尸流出来的油
1110	蛇发女妖角	象征力量的角
1111	食尸鬼之犬牙齿	比小孩拳头还要大的龅牙
1112	窃贼之短剑	刻有血盟标志的短剑
1113	灵魂石	能够赋予生命的神秘的石头
1114	火力攻击之腌肉	火属性攻击力上升+3 持续两分钟\n再次使用时间3分钟
1115	火焰攻击之腌肉	火属性攻击力上升+5 持续两分钟\n再次使用时间3分钟
1116	空气攻击之腌肉	空气属性攻击力上升+3 持续两分钟\n再次使用时间3分钟
1117	呼吸攻击之腌肉	空气属性攻击力上升+5 持续两分钟\n再次使用时间3分钟
1118	水攻击之腌肉	水属性攻击力上升+3 持续两分钟\n再次使用时间3分钟
1119	江攻击之腌肉	水属性攻击力上升+5 持续两分钟\n再次使用时间3分钟
1120	土地攻击之腌肉	土地属性攻击力上升+3 持续两分钟\n再次使用时间3分钟
1121	大地攻击之腌肉	土地属性攻击力上升+5 持续两分钟\n再次使用时间3分钟
1122	魔法攻击之腌肉	魔法属性攻击力上升+3 持续两分钟\n再次使用时间3分钟
1123	精神攻击之腌肉	魔法属性攻击力上升+5 持续两分钟\n再次使用时间3分钟
1164	遗迹守护者变身配方	提高斯波理根 变身药水制作成功率
1165	遗迹保护者变身药水	变身为斯波理根 持续四分钟\n追加攻击力 +98
1166	石巨人变身药水	变身为石巨人 持续四分钟\n追加攻击力 +84\n追加防御力 +30
1167	石巨人变身配方	提高石巨人 变身药水制作成功率
1168	斯波理根之短剑	刻着队伍标志的短剑
1182	丢失的胸甲	王子丢失的胸盔甲
1184	丢失的头盔	王子丢失的头盔
1185	埃拉珍斯腕章	有艾兰珍斯标志的袖标
1187	魔法吸血蝙蝠村子标志	可以进入隐藏的魔法蝙蝠村庄的标志
1193	蜥蜴人的宝物	蜥蜴人爱惜的宝物
1195	1000金币袋子	罗金用于存放偷盗物品的钱袋
1202	小矮人的钢锭	小矮人提炼的钢锭
1203	小矮人的钢锭	小矮人提炼的钢锭
1206	黄金卷轴	记载炼金术委托的文书
1211	魔法皮革	支恩爱惜的皮革
1212	金锭	价值连城的纯金块
1218	黑暗宝石	六臂蛇妖游动者偷窃的宝石
1230	驱动魔法石	帮助解析复杂数学题的魔法石
1232	破碎的魔法师	粉碎后技能变弱的魔法石
1246	黄色魔法宝石	用于咒术的魔法宝石
1247	魔法阵的宝石	保护巴特纳遗址的魔法宝石
1249	西雷里努斯的宝物	希里雷诺斯的哥哥希雷里诺斯的宝物
1252	魔法阵的宝石	小偷盗窃的宝石
1253	海德依的角	没有多大价值的黑尔代的犄角
1254	小偷的钱袋	库珀截取的小偷的钱袋
1256	小偷的钱袋	小偷们藏钱的袋子
1262	旧金属	只有小矮人才知道使用方法的奇怪的金属
1265	魔法瓶	能把魔法的力量装起来的瓶子
1268	包装的大地之鹿肉	包装了地洞鹿的肉
1270	哥布林的牙齿	哥布林粗短的牙齿
1271	洛莫德脚趾甲	成为洛佛复活之源泉的脚趾甲
1272	闪亮的金属	不明成分的闪光的钢锭
1273	黑色魔法阵之石	为了暗地进行调查而一直留着的魔法阵的石头
1283	安乐符咒	使心情平静的符
1294	生命之树液	一年中只能采集一次的贵重的树液
1299	银杏山谷魔法石	保护银杏山谷的魔法石之一
1302	火之结晶	豺狼人爱惜的宝石，但不如盔甲箱子。
1304	红色魔法宝石	用于冰上行进的象征性宝石
1305	赃物宝石	蜥蜴人窃贼的赃物
1308	复活项链	根据古代魔法可以复活的项链
1309	青龙和雪人契约项链	证明宏沸令措弗和雪人有关的证据
1319	含毒戒指	有毒而人气居高的指环
1320	被诅咒的戒指	必定杀死主人的指环
1323	装有石像鬼心脏的箱子	安全地保管着石像鬼心脏的箱子
1325	罗斯多的遗物箱	贵族罗斯多的遗物箱
1327	拉姆内实的箱子	无法知道内容物的传说中的箱子
1328	保护箱	保护秘密内容的箱子
1329	使者的行李	友好几件东西的使者的包袱
1330	诅咒之花	总是招来横祸的倒霉的花朵
1331	幸运草	象征美好的草
1333	石像鬼心脏	拥有潜在电力的石像鬼 杭飘的心脏
1339	无生命的戒指	给不死族强大力量的指环
1346	盗贼的警告文	小偷用粗糙的语言书写的文书
1356	凯迪派克的契约文书	船长帕克和马伊纳斯的约定书
1360	奇萨的命令书	特立尔卡特大王给出的文书
1363	赃物项链	被盗的项链
1368	水之卷轴	埃塞理安制作的水的袍子
1369	记载伯尼埃尔的纪录	有关燃烧之眼的秘密记录
1370	斯内尔生命的文书	维持斯内尔生命的文书
1378	魔法师的卷轴	魔法师伦丢失的文书
1384	无限食粮的咒文书	能养活百万大军的咒语书
1386	隐身卷轴	交给特罗尔的魔法袍子
1388	杰罗的牙齿	野猪杰罗的牙齿
1389	雪人族的脚趾甲	雪人族敲出来的脚趾甲
1393	可拉巴斯的牙齿	易碎难求的克拉巴斯的牙齿
1395	操纵戒指	营高拥有的邪恶的指环
1396	洞穴蝙蝠戒指	贴在洞穴蝙蝠身上的指环
