TYPE	POINT	FX	TEXTURE	AMBIENT	DIFFUSE	SPECULAR	Uv Translation	UV Scale	UV Rotation	UV Anim weight	U Selection vector	V Selection vector		
RUNE	20	uvAnim.fx	SOUL_BLACK_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
FIRE	30	uvAnim.fx	SOUL_RED_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
AIR	30	uvAnim.fx	SOUL_SKYBLUE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
WATER	30	uvAnim.fx	SOUL_Blue_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
MAGIC	30	uvAnim.fx	SOUL_PURPLE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
EARTH	30	uvAnim.fx	SOUL_ORANGE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
PHYSICAL	30	uvAnim.fx	SOUL_WHITE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
RUNE	30	uvAnim.fx	SOUL_BLACK_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.120,0.120,0,0"	"0.026,0.026,0,0"	0	0.4	"0,0,0.330,0"	"0,0,0.330,0"		
FIRE	45	uvAnim.fx	SOUL_RED_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
AIR	45	uvAnim.fx	SOUL_SKYBLUE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
WATER	45	uvAnim.fx	SOUL_Blue_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
MAGIC	45	uvAnim.fx	SOUL_PURPLE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
EARTH	45	uvAnim.fx	SOUL_ORANGE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
PHYSICAL	45	uvAnim.fx	SOUL_WHITE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
RUNE	45	uvAnim.fx	SOUL_BLACK_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
FIRE	60	uvAnim.fx	SOUL_RED_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
AIR	60	uvAnim.fx	SOUL_SKYBLUE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
WATER	60	uvAnim.fx	SOUL_Blue_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
MAGIC	60	uvAnim.fx	SOUL_PURPLE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
EARTH	60	uvAnim.fx	SOUL_ORANGE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
PHYSICAL	60	uvAnim.fx	SOUL_WHITE_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
RUNE	60	uvAnim.fx	SOUL_BLACK_00.tif	"255,255,255"	"255,255,255"	"60,60,60"	"0.230,0.230,0,0"	"0.050,0.050,0,0"	0	0.65	"0,0,0.330,0"	"0,0,0.330,0"		
